date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,4.75,5.3,4.75,5.3,1764688
2021-01-04 00:00:00+05:30,5.5,5.8,5.5,5.8,836894
2021-01-05 00:00:00+05:30,5.9,6.2,5.45,5.8,1984105
2021-01-06 00:00:00+05:30,5.95,5.95,5.25,5.5,1705664
2021-01-07 00:00:00+05:30,5.7,5.7,5.15,5.25,1451426
2021-01-08 00:00:00+05:30,5.25,5.4,4.95,5.05,1121333
2021-01-11 00:00:00+05:30,5.1,5.55,4.8,5.55,2376603
2021-01-12 00:00:00+05:30,5.6,6.05,5.35,5.5,2597997
2021-01-13 00:00:00+05:30,5.6,5.65,5.15,5.2,1452801
2021-01-14 00:00:00+05:30,5.25,5.55,5.05,5.1,1127602
2021-01-15 00:00:00+05:30,5.05,5.1,4.95,5,885520
2021-01-18 00:00:00+05:30,4.95,5.15,4.8,5,767854
2021-01-19 00:00:00+05:30,5.05,5.15,4.9,4.95,511269
2021-01-20 00:00:00+05:30,5,5,4.85,4.95,407309
2021-01-21 00:00:00+05:30,4.95,5,4.8,4.85,261598
2021-01-22 00:00:00+05:30,4.85,4.9,4.75,4.85,288123
2021-01-25 00:00:00+05:30,4.95,4.95,4.6,4.65,342460
2021-01-27 00:00:00+05:30,4.65,4.75,4.35,4.7,428312
2021-01-28 00:00:00+05:30,4.65,4.7,4.5,4.65,198032
2021-01-29 00:00:00+05:30,4.65,4.75,4.55,4.55,320555
2021-02-01 00:00:00+05:30,4.6,4.75,4.45,4.65,331689
2021-02-02 00:00:00+05:30,4.75,4.8,4.5,4.6,320624
2021-02-03 00:00:00+05:30,4.6,4.65,4.4,4.55,295335
2021-02-04 00:00:00+05:30,4.65,4.65,4.45,4.6,301131
2021-02-05 00:00:00+05:30,4.6,4.6,4.45,4.45,324210
2021-02-08 00:00:00+05:30,4.5,4.5,4.25,4.45,411277
2021-02-09 00:00:00+05:30,4.45,4.45,4.3,4.4,342546
2021-02-10 00:00:00+05:30,4.35,4.4,4.25,4.3,261507
2021-02-11 00:00:00+05:30,4.3,4.3,3.9,4.2,1007486
2021-02-12 00:00:00+05:30,4.2,4.55,4.15,4.45,443660
2021-02-15 00:00:00+05:30,4.45,4.5,4.1,4.3,339082
2021-02-16 00:00:00+05:30,4.35,4.35,4.2,4.3,215088
2021-02-17 00:00:00+05:30,4.35,4.35,4.15,4.2,498575
2021-02-18 00:00:00+05:30,4.2,4.35,4.15,4.2,230880
2021-02-19 00:00:00+05:30,4.25,4.3,4.2,4.25,229350
2021-02-22 00:00:00+05:30,4.3,4.3,4.1,4.1,297430
2021-02-23 00:00:00+05:30,4.15,4.2,4.1,4.1,153585
2021-02-24 00:00:00+05:30,4.2,4.25,4,4.15,60833
2021-02-25 00:00:00+05:30,4.2,4.3,4.2,4.25,198587
2021-02-26 00:00:00+05:30,4.3,4.3,4.15,4.2,221036
2021-03-01 00:00:00+05:30,4.2,4.3,4.1,4.15,226640
2021-03-02 00:00:00+05:30,4.15,4.25,4.15,4.15,401022
2021-03-03 00:00:00+05:30,4.25,4.4,4.15,4.3,715000
2021-03-04 00:00:00+05:30,4.2,4.3,4.15,4.25,418060
2021-03-05 00:00:00+05:30,4.25,4.5,4.15,4.35,574618
2021-03-08 00:00:00+05:30,4.4,4.4,4.25,4.35,307102
2021-03-09 00:00:00+05:30,4.4,4.4,4.3,4.4,203769
2021-03-10 00:00:00+05:30,4.35,4.4,4.25,4.3,356660
2021-03-12 00:00:00+05:30,4.3,4.35,4.15,4.2,410126
2021-03-15 00:00:00+05:30,4.2,4.25,4.05,4.1,240400
2021-03-16 00:00:00+05:30,4.15,4.15,3.95,4,285654
2021-03-17 00:00:00+05:30,3.95,4.1,3.9,3.95,400489
2021-03-18 00:00:00+05:30,4,4.05,3.8,3.85,264377
2021-03-19 00:00:00+05:30,3.85,3.85,3.7,3.85,388288
2021-03-22 00:00:00+05:30,3.9,4.2,3.8,3.95,829493
2021-03-23 00:00:00+05:30,4.05,4.05,3.95,3.95,522544
2021-03-24 00:00:00+05:30,4,4,3.85,3.95,420373
2021-03-25 00:00:00+05:30,4,4,3.75,3.8,433040
2021-03-26 00:00:00+05:30,3.8,3.95,3.75,3.75,1011899
2021-03-30 00:00:00+05:30,3.85,3.85,3.7,3.75,300152
2021-03-31 00:00:00+05:30,3.8,3.95,3.7,3.75,402378
2021-04-01 00:00:00+05:30,3.85,3.95,3.75,3.8,845562
2021-04-05 00:00:00+05:30,3.85,3.85,3.7,3.7,438051
2021-04-06 00:00:00+05:30,3.8,3.85,3.7,3.7,287581
2021-04-07 00:00:00+05:30,3.7,3.85,3.7,3.7,314973
2021-04-08 00:00:00+05:30,3.8,4.4,3.8,4.1,4215877
2021-04-09 00:00:00+05:30,4.25,4.6,4.05,4.1,2257144
2021-04-12 00:00:00+05:30,4.2,4.2,3.75,3.85,757961
2021-04-13 00:00:00+05:30,4,4,3.7,3.8,756050
2021-04-15 00:00:00+05:30,3.8,3.85,3.7,3.75,666938
2021-04-16 00:00:00+05:30,3.7,3.85,3.7,3.75,662288
2021-04-19 00:00:00+05:30,3.7,4.15,3.6,4.1,1599570
2021-04-20 00:00:00+05:30,4.4,4.4,3.9,4,1128626
2021-04-22 00:00:00+05:30,3.9,4.1,3.8,3.95,747649
2021-04-23 00:00:00+05:30,3.95,4.1,3.8,3.85,793050
2021-04-26 00:00:00+05:30,3.95,4,3.7,3.75,1739023
2021-04-27 00:00:00+05:30,3.85,3.85,3.75,3.8,424463
2021-04-28 00:00:00+05:30,3.9,3.9,3.7,3.8,850842
2021-04-29 00:00:00+05:30,3.8,3.85,3.75,3.75,288138
2021-04-30 00:00:00+05:30,3.75,3.8,3.65,3.65,958717
2021-05-03 00:00:00+05:30,3.7,4.25,3.65,4.15,3946496
2021-05-04 00:00:00+05:30,4.25,4.35,3.9,3.95,1149644
2021-05-05 00:00:00+05:30,3.95,4.15,3.9,4,740128
2021-05-06 00:00:00+05:30,4.1,4.1,4,4.05,360870
2021-05-07 00:00:00+05:30,4.05,4.3,3.95,4.15,1097816
2021-05-10 00:00:00+05:30,4.15,4.9,4,4.7,5768885
2021-05-11 00:00:00+05:30,4.5,5.45,4.4,5.1,6179933
2021-05-12 00:00:00+05:30,5.15,5.45,4.8,4.95,3267159
2021-05-14 00:00:00+05:30,4.95,5.15,4.75,4.8,1065324
2021-05-17 00:00:00+05:30,4.8,4.85,4.55,4.6,1155699
2021-05-18 00:00:00+05:30,4.7,4.75,4.45,4.6,682331
2021-05-19 00:00:00+05:30,4.45,4.65,4.4,4.45,986419
2021-05-20 00:00:00+05:30,4.3,4.5,4.25,4.35,308644
2021-05-21 00:00:00+05:30,4.3,4.35,4.15,4.15,694672
2021-05-24 00:00:00+05:30,4.2,4.2,4.05,4.15,637865
2021-05-25 00:00:00+05:30,4.15,4.3,4.1,4.25,428767
2021-05-26 00:00:00+05:30,4.3,4.45,4.2,4.45,286095
2021-05-27 00:00:00+05:30,4.65,4.65,4.55,4.65,251087
2021-05-28 00:00:00+05:30,4.85,4.85,4.5,4.55,825379
2021-05-31 00:00:00+05:30,4.5,4.75,4.4,4.7,700126
2021-06-01 00:00:00+05:30,4.7,4.9,4.6,4.9,1495561
2021-06-02 00:00:00+05:30,5.1,5.1,5,5.1,781849
2021-06-03 00:00:00+05:30,5.35,5.35,4.9,5.05,1416741
2021-06-04 00:00:00+05:30,5,5,4.85,4.9,381215
2021-06-07 00:00:00+05:30,4.9,5.1,4.85,5.1,1317599
2021-06-08 00:00:00+05:30,5.05,5.15,4.9,5.05,620500
