date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,10.6,10.6,10.15,10.5,13592
2021-01-04 00:00:00+05:30,10.7,11,10.3,10.85,9948
2021-01-05 00:00:00+05:30,10.85,11.2,10.7,10.95,9193
2021-01-06 00:00:00+05:30,11.45,11.45,10.95,11.3,8500
2021-01-07 00:00:00+05:30,11,11.3,11,11,5564
2021-01-08 00:00:00+05:30,11,11.55,10.45,11.5,31638
2021-01-11 00:00:00+05:30,11.5,12.05,10.95,11.95,15349
2021-01-12 00:00:00+05:30,11.4,11.95,11.4,11.75,3640
2021-01-13 00:00:00+05:30,11.4,11.8,11.2,11.7,12470
2021-01-14 00:00:00+05:30,11.15,12,11.15,11.25,4965
2021-01-15 00:00:00+05:30,11,11.7,10.7,11.6,910
2021-01-18 00:00:00+05:30,12.15,12.15,11.05,11.05,5961
2021-01-19 00:00:00+05:30,11.4,11.6,10.5,10.5,5037
2021-01-20 00:00:00+05:30,10.2,11,10,10.7,2437
2021-01-21 00:00:00+05:30,10.85,10.85,10.75,10.75,50
2021-01-22 00:00:00+05:30,10.5,10.7,10.25,10.45,2748
2021-01-25 00:00:00+05:30,9.95,9.95,9.95,9.95,1607
2021-01-27 00:00:00+05:30,9.95,9.95,9.5,9.5,445
2021-01-28 00:00:00+05:30,9.85,9.85,9.05,9.75,741
2021-01-29 00:00:00+05:30,9.3,9.5,9.3,9.3,4521
2021-02-01 00:00:00+05:30,9,9.7,8.85,9.3,15032
2021-02-02 00:00:00+05:30,9.75,9.75,8.95,9.4,5827
2021-02-03 00:00:00+05:30,9.8,9.85,9.8,9.85,2509
2021-02-04 00:00:00+05:30,10.25,10.3,9.4,9.6,14380
2021-02-05 00:00:00+05:30,9.2,9.55,9.2,9.55,159
2021-02-08 00:00:00+05:30,9.6,10,9.15,9.85,2027
2021-02-09 00:00:00+05:30,10.3,10.3,9.4,9.5,3467
2021-02-10 00:00:00+05:30,9.1,9.95,9.05,9.05,8490
2021-02-11 00:00:00+05:30,9.05,9.4,8.6,9,3953
2021-02-12 00:00:00+05:30,8.9,9,8.55,8.55,6825
2021-02-15 00:00:00+05:30,8.15,8.85,8.15,8.25,15122
2021-02-16 00:00:00+05:30,8.2,8.2,7.9,8.1,7504
2021-02-17 00:00:00+05:30,8.45,8.45,7.75,7.85,1211
2021-02-18 00:00:00+05:30,7.85,8.2,7.6,7.8,8879
2021-02-19 00:00:00+05:30,7.8,7.8,7.65,7.7,2512
2021-02-22 00:00:00+05:30,7.95,7.95,7.35,7.7,3376
2021-02-23 00:00:00+05:30,7.7,7.7,7.5,7.55,1456
2021-02-24 00:00:00+05:30,7.85,7.9,7.2,7.9,4633
2021-02-25 00:00:00+05:30,7.9,8.25,7.6,7.95,15841
2021-02-26 00:00:00+05:30,7.95,8.3,7.95,8.3,359
2021-03-01 00:00:00+05:30,8.3,8.7,8.3,8.7,4010
2021-03-02 00:00:00+05:30,9,9.1,9,9.1,4868
2021-03-03 00:00:00+05:30,9.55,9.55,9.1,9.55,1725
2021-03-04 00:00:00+05:30,10,10,10,10,3636
2021-03-05 00:00:00+05:30,10.5,10.5,10.5,10.5,3950
2021-03-08 00:00:00+05:30,11,11,11,11,13341
2021-03-09 00:00:00+05:30,11.55,11.55,11.55,11.55,3519
2021-03-10 00:00:00+05:30,12.1,12.1,12.1,12.1,5372
2021-03-12 00:00:00+05:30,12.7,12.7,11.55,12.55,25093
2021-03-15 00:00:00+05:30,12.6,13.1,11.95,11.95,8485
2021-03-16 00:00:00+05:30,11.4,12.5,11.4,11.4,3638
2021-03-17 00:00:00+05:30,11.8,11.95,11.05,11.9,13722
2021-03-18 00:00:00+05:30,11.9,12.25,11.35,11.35,501
