date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,38,40.45,38,39.95,5659
2021-01-04 00:00:00+05:30,39.5,40.45,38.25,39.8,9158
2021-01-05 00:00:00+05:30,39,40.45,37.9,39.25,7711
2021-01-06 00:00:00+05:30,40.4,41,38.25,40.35,6171
2021-01-07 00:00:00+05:30,40.4,40.9,38.5,39.7,7185
2021-01-08 00:00:00+05:30,39.7,40.3,38.65,38.95,4454
2021-01-11 00:00:00+05:30,39.9,39.9,37.55,38.75,3241
2021-01-12 00:00:00+05:30,39.55,39.55,37.5,38.15,4959
2021-01-13 00:00:00+05:30,37.2,39.45,37.2,39.1,4733
2021-01-14 00:00:00+05:30,39,39,37.85,38,4961
2021-01-15 00:00:00+05:30,38.75,39,37.1,37.3,2569
2021-01-18 00:00:00+05:30,38.05,38.2,35.8,37.65,2109
2021-01-19 00:00:00+05:30,36.2,38,36.2,37.5,3537
2021-01-20 00:00:00+05:30,36.1,37.8,36.05,37.1,3925
2021-01-21 00:00:00+05:30,37.85,37.85,36,37.35,3868
2021-01-22 00:00:00+05:30,37.5,37.5,35.5,35.8,1821
2021-01-25 00:00:00+05:30,35,36.9,34.1,34.35,2497
2021-01-27 00:00:00+05:30,35.85,35.85,32.65,35.5,5488
2021-01-28 00:00:00+05:30,35.5,37,34.6,35.3,1268
2021-01-29 00:00:00+05:30,34.15,36.95,34.15,36.45,3314
2021-02-01 00:00:00+05:30,36.45,38.25,34.65,36.6,6118
2021-02-02 00:00:00+05:30,36.9,38,36.2,36.8,5929
2021-02-03 00:00:00+05:30,36.8,37.15,35.65,36.5,4110
2021-02-04 00:00:00+05:30,36.85,38.2,35.25,37.5,31116
2021-02-05 00:00:00+05:30,38.25,41,35,35.6,24289
2021-02-08 00:00:00+05:30,38.5,38.5,36.3,37.05,9906
2021-02-09 00:00:00+05:30,36.6,37.5,35.5,36.45,5496
2021-02-10 00:00:00+05:30,36.85,37,35.35,35.55,7764
2021-02-11 00:00:00+05:30,37,37,35.25,35.9,4666
2021-02-12 00:00:00+05:30,35.95,36,35.2,35.95,5232
2021-02-15 00:00:00+05:30,35.3,37.35,34.6,34.7,8302
2021-02-16 00:00:00+05:30,35.95,35.95,34.4,35,3300
2021-02-17 00:00:00+05:30,35.5,35.5,34.5,35.3,4633
2021-02-18 00:00:00+05:30,33.15,36,33.15,34,12719
2021-02-19 00:00:00+05:30,34.65,35.1,33.45,33.9,4025
2021-02-22 00:00:00+05:30,33.95,34.95,32.75,32.8,4538
2021-02-23 00:00:00+05:30,32.5,35.1,30.15,33.5,10471
2021-02-24 00:00:00+05:30,35.7,35.7,33.1,34.9,2535
2021-02-25 00:00:00+05:30,35.85,35.85,33.8,35.4,7726
2021-02-26 00:00:00+05:30,34.1,35.6,33.9,35.3,15150
2021-03-01 00:00:00+05:30,36,36,33.75,34.4,6463
2021-03-02 00:00:00+05:30,35.1,35.55,34.15,34.55,6177
2021-03-03 00:00:00+05:30,35.95,38,34.7,35.85,14831
2021-03-04 00:00:00+05:30,37.1,37.1,34.05,35,7055
2021-03-05 00:00:00+05:30,35.9,36,34.5,34.85,3787
2021-03-08 00:00:00+05:30,36.9,37.95,34.2,34.55,8877
2021-03-09 00:00:00+05:30,33.75,35.35,33.7,35.05,5746
2021-03-10 00:00:00+05:30,34.1,34.6,33.75,33.9,7769
2021-03-12 00:00:00+05:30,35.9,35.9,34,35.6,11051
2021-03-15 00:00:00+05:30,35.6,35.6,32.6,34.05,12069
2021-03-16 00:00:00+05:30,33.7,35.7,32.7,35.55,10319
2021-03-17 00:00:00+05:30,36.6,36.6,33.5,33.75,5598
2021-03-18 00:00:00+05:30,33.9,36,33,33.75,8769
2021-03-19 00:00:00+05:30,33.1,35.5,31.2,33.55,7015
2021-03-22 00:00:00+05:30,33.9,34.95,33.05,33.75,4792
2021-03-23 00:00:00+05:30,33.95,34.5,33.3,34,6583
2021-03-24 00:00:00+05:30,32.9,33.6,32.85,32.9,4059
2021-03-25 00:00:00+05:30,34.4,34.4,31.6,32.3,4023
2021-03-26 00:00:00+05:30,32.55,34.05,31.65,31.9,6578
2021-03-30 00:00:00+05:30,33.5,33.5,31,31.8,9913
2021-03-31 00:00:00+05:30,30.45,32.9,30.05,30.85,9761
2021-04-01 00:00:00+05:30,30.75,32.2,30.7,31.85,3330
2021-04-05 00:00:00+05:30,32.45,33.35,31.35,32.65,6438
2021-04-06 00:00:00+05:30,34.1,34.1,32.65,32.8,3256
2021-04-07 00:00:00+05:30,33.5,33.95,32.4,32.75,2591
2021-04-08 00:00:00+05:30,32.55,39.3,31.55,39.3,79797
2021-04-09 00:00:00+05:30,42.95,47.15,42,47.15,216245
2021-04-12 00:00:00+05:30,45.25,45.25,42.45,42.45,39048
2021-04-13 00:00:00+05:30,38.25,40.95,38.25,38.65,105688
2021-04-15 00:00:00+05:30,38.75,42.45,38.75,40.85,124055
2021-04-16 00:00:00+05:30,41.45,41.45,39.5,39.75,35004
2021-04-19 00:00:00+05:30,38.1,39.4,36.6,37.6,14826
2021-04-20 00:00:00+05:30,36,37.55,35.75,35.75,24857
2021-04-22 00:00:00+05:30,35.5,35.5,34,34.35,33631
2021-04-23 00:00:00+05:30,35.45,36,33.85,34.55,22162
2021-04-26 00:00:00+05:30,34.65,36,33.9,34.15,15712
2021-04-27 00:00:00+05:30,33.7,35.35,33.25,33.65,22498
2021-04-28 00:00:00+05:30,34.9,35.3,33.65,35.3,33971
2021-04-29 00:00:00+05:30,36.95,37.05,36.1,37.05,20050
2021-04-30 00:00:00+05:30,37.95,38.9,37.95,38.9,28529
2021-05-03 00:00:00+05:30,40.7,40.8,39.8,40.7,38647
2021-05-04 00:00:00+05:30,41.95,42.6,38.7,38.7,47126
2021-05-05 00:00:00+05:30,39.5,39.5,37.45,38.95,13505
2021-05-06 00:00:00+05:30,39.1,40,38.45,38.65,14715
2021-05-07 00:00:00+05:30,39.45,40.4,38.65,39.6,14191
2021-05-10 00:00:00+05:30,41,41,38.3,40.75,27200
2021-05-11 00:00:00+05:30,41.5,42,39.45,41.55,23313
2021-05-12 00:00:00+05:30,43.4,43.6,40.25,43.2,73286
2021-05-14 00:00:00+05:30,45.15,45.35,42.2,43.4,32993
2021-05-17 00:00:00+05:30,44.3,44.9,42.8,44.1,24563
2021-05-18 00:00:00+05:30,44.95,44.95,43.4,43.65,14268
2021-05-19 00:00:00+05:30,42.8,44.95,42.55,43.8,12176
2021-05-20 00:00:00+05:30,44.7,45.95,42.3,44.55,23825
2021-05-21 00:00:00+05:30,45.75,45.9,42.5,43.65,24415
2021-05-24 00:00:00+05:30,43.65,44.9,43.4,43.75,7811
2021-05-25 00:00:00+05:30,43.75,44.7,43.35,43.6,5364
2021-05-26 00:00:00+05:30,43.6,45.75,43.5,45.25,20978
2021-05-27 00:00:00+05:30,46.15,47,46,46.3,23062
2021-05-28 00:00:00+05:30,47.4,47.4,44.65,45.15,10822
2021-05-31 00:00:00+05:30,46.75,46.75,44.05,44.25,7808
2021-06-01 00:00:00+05:30,42.55,46.45,42.55,43.3,33861
2021-06-02 00:00:00+05:30,43.45,45.2,42.7,44.3,13795
2021-06-03 00:00:00+05:30,44,46.5,43.95,46.5,35445
2021-06-04 00:00:00+05:30,48.7,48.8,46.55,48.8,39560
2021-06-07 00:00:00+05:30,46.4,48.8,46.4,47.9,73045
2021-06-08 00:00:00+05:30,47,50,47,48.6,35041
2021-06-09 00:00:00+05:30,46.4,50.9,46.4,47,20462
2021-06-10 00:00:00+05:30,47.55,49,47,47.7,13761
2021-06-11 00:00:00+05:30,47.1,48.9,46,46.3,15548
2021-06-14 00:00:00+05:30,47.25,47.3,46.1,46.8,7321
2021-06-15 00:00:00+05:30,47.2,47.25,45.05,45.95,13514
2021-06-16 00:00:00+05:30,45,45.05,43.7,44.65,20340
2021-06-17 00:00:00+05:30,42.75,45.8,42.75,44.75,15548
2021-06-18 00:00:00+05:30,44.9,46.95,44.05,44.65,29549
2021-06-21 00:00:00+05:30,43,45.9,43,45.5,12404
2021-06-22 00:00:00+05:30,46.8,46.8,45.1,45.3,5923
