date,open,high,low,close,volume
2021-10-13 00:00:00+05:30,85.6,88.7,81.1,83.7,180673
2021-10-14 00:00:00+05:30,88,88,75.55,85.05,124444
2021-10-18 00:00:00+05:30,87.85,88,76.55,79.05,118889
2021-10-19 00:00:00+05:30,83.9,83.9,71.15,72.05,58905
2021-10-20 00:00:00+05:30,72.05,73.65,66.25,70.65,46838
2021-10-21 00:00:00+05:30,72,73.25,69,71.15,27524
2021-10-22 00:00:00+05:30,70,73.25,70,71.65,10717
2021-10-25 00:00:00+05:30,71,72.4,64.5,65.5,58662
2021-10-26 00:00:00+05:30,65.4,69,63.6,68.6,15135
2021-10-27 00:00:00+05:30,69.9,72.4,66.95,69.65,10361
2021-10-28 00:00:00+05:30,72.9,72.9,66,67.65,11797
2021-10-29 00:00:00+05:30,65.9,69.25,65,67.8,7198
2021-11-01 00:00:00+05:30,71.45,71.45,68.3,68.95,3715
2021-11-02 00:00:00+05:30,71.95,72,69.35,70.05,7889
2021-11-03 00:00:00+05:30,68.6,69,63.05,63.05,139751
2021-11-04 00:00:00+05:30,66.8,66.8,63,63.9,11046
2021-11-08 00:00:00+05:30,63.05,65,61,62,31278
2021-11-09 00:00:00+05:30,65.8,65.8,62,63.35,17171
2021-11-10 00:00:00+05:30,64.65,64.65,61.75,62,38945
2021-11-11 00:00:00+05:30,61.1,62.45,60.75,60.8,27228
2021-11-12 00:00:00+05:30,62.05,62.05,58.3,60.45,29880
2021-11-15 00:00:00+05:30,60.45,62.65,58.5,59.7,26917
2021-11-16 00:00:00+05:30,61.25,62,59.5,59.75,16970
2021-11-17 00:00:00+05:30,62.4,62.4,58.3,59.1,7782
2021-11-18 00:00:00+05:30,61.6,61.6,57.2,58,24049
2021-11-22 00:00:00+05:30,60.8,60.8,56,56.1,24688
2021-11-23 00:00:00+05:30,57.95,58.05,55,56.05,13731
2021-11-24 00:00:00+05:30,57.9,58.4,54.15,55.4,12211
2021-11-25 00:00:00+05:30,54.45,57.9,54.4,57,9158
2021-11-26 00:00:00+05:30,62.7,62.7,54.3,55.3,9821
2021-11-29 00:00:00+05:30,58.6,58.6,53,54.1,3767
2021-11-30 00:00:00+05:30,54.05,56.5,52.15,55.3,5015
2021-12-01 00:00:00+05:30,57,57,54.1,55.1,3906
2021-12-02 00:00:00+05:30,54.35,56.3,52,55.45,13352
2021-12-03 00:00:00+05:30,53.2,57.25,53.2,55.35,9949
2021-12-06 00:00:00+05:30,55.35,57.05,55,55.95,6645
2021-12-07 00:00:00+05:30,56.95,58,56,57.2,6916
2021-12-08 00:00:00+05:30,58,63.9,52.35,61.8,78200
2021-12-09 00:00:00+05:30,64.35,64.35,58.1,59.55,25248
2021-12-10 00:00:00+05:30,61.45,62.3,59.95,61.5,21156
2021-12-13 00:00:00+05:30,64.2,64.2,60.6,63.1,14702
2021-12-14 00:00:00+05:30,63.85,64.55,61.2,63.5,9634
2021-12-15 00:00:00+05:30,64.8,64.8,62,62.35,15004
2021-12-16 00:00:00+05:30,64.45,64.5,57.25,58.55,19586
2021-12-17 00:00:00+05:30,63.8,63.8,58.3,59,26132
2021-12-20 00:00:00+05:30,62.1,62.15,56.4,59.55,11818
2021-12-21 00:00:00+05:30,63.5,63.5,59.45,60.5,43296
2021-12-22 00:00:00+05:30,61.8,63.4,61.05,62.95,28608
2021-12-23 00:00:00+05:30,62.1,63.15,62.1,62.45,6432
2021-12-24 00:00:00+05:30,62.5,62.9,60,60.45,28226
2021-12-27 00:00:00+05:30,60.6,61.55,59,59.9,33469
2021-12-28 00:00:00+05:30,61.35,61.9,60,61.45,15694
2021-12-29 00:00:00+05:30,61.85,63.85,61.25,62.55,38859
2021-12-30 00:00:00+05:30,63.3,68,61.3,66.6,80936
2021-12-31 00:00:00+05:30,68.6,79.9,66.7,79.9,302279
