date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,113.35,115,112.2,113.35,49449
2021-01-04 00:00:00+05:30,113.9,115.6,111.5,112.2,107223
2021-01-05 00:00:00+05:30,112,114.8,111.2,112.55,113922
2021-01-06 00:00:00+05:30,113.95,114.7,109.45,110.95,118517
2021-01-07 00:00:00+05:30,115,118,112.65,113,182285
2021-01-08 00:00:00+05:30,114,114.9,112,112.65,79980
2021-01-11 00:00:00+05:30,112.7,115.45,111,111.7,113220
2021-01-12 00:00:00+05:30,112.7,119.25,110.1,114.2,340605
2021-01-13 00:00:00+05:30,114.8,115,110,111.4,177192
2021-01-14 00:00:00+05:30,112,114.2,110.35,112.2,194373
2021-01-15 00:00:00+05:30,112.05,112.65,108.2,109.3,97897
2021-01-18 00:00:00+05:30,110.9,110.95,106,106.55,56074
2021-01-19 00:00:00+05:30,108.95,112,108,108.8,87800
2021-01-20 00:00:00+05:30,109.6,110,106.6,107.35,59668
2021-01-21 00:00:00+05:30,107.5,109.95,105.75,106.3,115215
2021-01-22 00:00:00+05:30,107,108.5,104,105.25,73183
2021-01-25 00:00:00+05:30,106.5,107.45,96.9,98.75,148314
2021-01-27 00:00:00+05:30,99.7,102.55,97.25,99.85,69713
2021-01-28 00:00:00+05:30,98.5,103.5,97.3,99.9,327700
2021-01-29 00:00:00+05:30,99.9,101.7,97,97.7,78101
2021-02-01 00:00:00+05:30,98.9,100.8,97.1,98.8,114547
2021-02-02 00:00:00+05:30,100.95,102,99.75,100.5,74370
2021-02-03 00:00:00+05:30,101.5,103.15,99.8,100.4,85033
2021-02-04 00:00:00+05:30,99.15,102.7,99.15,100.6,137129
2021-02-05 00:00:00+05:30,101.45,106.15,100.9,103.95,185982
2021-02-08 00:00:00+05:30,104.9,105.95,101.1,102.4,78533
2021-02-09 00:00:00+05:30,103.15,104,100.5,100.9,158767
2021-02-10 00:00:00+05:30,101,102.45,98.5,99.5,97766
2021-02-11 00:00:00+05:30,100.25,101.65,95.6,97.5,197336
2021-02-12 00:00:00+05:30,98.35,101.5,98.3,99.7,123192
2021-02-15 00:00:00+05:30,100.6,107.7,99.8,103.5,280330
2021-02-16 00:00:00+05:30,104.45,107,99.45,100.1,177194
2021-02-17 00:00:00+05:30,99.05,102.95,98.6,99,168378
2021-02-18 00:00:00+05:30,99.9,102.6,99.5,101.7,149457
2021-02-19 00:00:00+05:30,101.7,106.6,100,100.75,204874
2021-02-22 00:00:00+05:30,101.25,101.5,97.9,98.7,77832
2021-02-23 00:00:00+05:30,99.9,101.05,98.4,98.85,67956
2021-02-24 00:00:00+05:30,99.9,102.25,98.9,99.55,48381
2021-02-25 00:00:00+05:30,102,102,99.4,99.7,98049
2021-02-26 00:00:00+05:30,99,101.2,97.75,98.25,90553
2021-03-01 00:00:00+05:30,99,103.15,98.85,100.75,215526
2021-03-02 00:00:00+05:30,100.1,102.15,99.8,100.3,154826
2021-03-03 00:00:00+05:30,103,110,103,106.25,567506
2021-03-04 00:00:00+05:30,104,108.35,103.9,104.25,181134
2021-03-05 00:00:00+05:30,103.9,106.8,101.5,102.05,134972
2021-03-08 00:00:00+05:30,102.75,105.2,100.55,101.05,115078
2021-03-09 00:00:00+05:30,102.8,102.9,100,100.25,64832
2021-03-10 00:00:00+05:30,101,102.15,99.45,99.9,71734
2021-03-12 00:00:00+05:30,101.15,101.3,99,99.45,64242
2021-03-15 00:00:00+05:30,99.55,99.95,97.65,98.65,72642
2021-03-16 00:00:00+05:30,100,103.3,98.75,100.6,85934
2021-03-17 00:00:00+05:30,101.8,101.8,95.6,96.65,61933
2021-03-18 00:00:00+05:30,96.8,102.95,95.2,96.2,300474
2021-03-19 00:00:00+05:30,96,96.45,93,95.4,98547
2021-03-22 00:00:00+05:30,95.45,99,95.45,97.05,55988
2021-03-23 00:00:00+05:30,98,98.45,96.6,97.15,61100
2021-03-24 00:00:00+05:30,97,98.7,96,96.3,49867
2021-03-25 00:00:00+05:30,97,97,92.6,93,59742
2021-03-26 00:00:00+05:30,94,96.15,91,91.95,76643
2021-03-30 00:00:00+05:30,92.6,95.55,90.25,94.8,180201
2021-03-31 00:00:00+05:30,96,97.75,94.3,96.9,94336
2021-04-01 00:00:00+05:30,96.1,99.9,96,98.85,78317
2021-04-05 00:00:00+05:30,98,100.85,94.5,99.3,133391
2021-04-06 00:00:00+05:30,99.95,101,98.15,100.05,58699
2021-04-07 00:00:00+05:30,99.35,102.25,99.35,100.6,64999
2021-04-08 00:00:00+05:30,100.9,102.4,100.1,100.95,71779
2021-04-09 00:00:00+05:30,101.8,101.8,98.4,98.9,101399
2021-04-12 00:00:00+05:30,97,98.75,95,95.7,107339
2021-04-13 00:00:00+05:30,95,99,95,98.15,66783
2021-04-15 00:00:00+05:30,98.5,99.15,96.05,97.1,75220
2021-04-16 00:00:00+05:30,97.65,98.45,94.55,95.8,60211
2021-04-19 00:00:00+05:30,95,95.75,93.1,94,75102
2021-04-20 00:00:00+05:30,94,102,94,95.35,138678
2021-04-22 00:00:00+05:30,94.8,96.3,94.35,94.95,96871
