date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,385,387.4,381,381.6,93263
2021-01-04 00:00:00+05:30,386,406.45,381.85,386.85,141393
2021-01-05 00:00:00+05:30,385,391.1,380.4,382.1,140509
2021-01-06 00:00:00+05:30,382.1,387.65,378.5,379.2,142666
2021-01-07 00:00:00+05:30,383.8,387.55,375.25,379.05,142457
2021-01-08 00:00:00+05:30,384,387.15,375.25,378.45,142527
2021-01-11 00:00:00+05:30,386.6,386.6,375.5,375.9,165500
2021-01-12 00:00:00+05:30,375,381.8,372.5,375.15,153929
2021-01-13 00:00:00+05:30,378,381.3,371,374.75,163739
2021-01-14 00:00:00+05:30,378,380.95,372,373.05,167756
2021-01-15 00:00:00+05:30,376.85,379.65,369.1,372.3,186552
2021-01-18 00:00:00+05:30,378.75,385,370.3,379.1,175507
2021-01-19 00:00:00+05:30,385.55,387.75,371,371.7,171050
2021-01-20 00:00:00+05:30,371.1,377.6,369.35,371.75,144855
2021-01-21 00:00:00+05:30,375,378.35,370,373.25,146953
2021-01-22 00:00:00+05:30,376,377.75,368,373.75,168575
2021-01-25 00:00:00+05:30,379,379,370.75,372.4,141465
2021-01-27 00:00:00+05:30,379,379,369.1,377.8,131670
2021-01-28 00:00:00+05:30,373.8,376.95,366.1,369.75,122098
2021-01-29 00:00:00+05:30,375.15,375.25,370,370.95,106937
2021-02-01 00:00:00+05:30,375,379.8,370.05,373.25,116928
2021-02-02 00:00:00+05:30,375.65,380.9,374.5,376.9,109050
2021-02-03 00:00:00+05:30,380.5,386.5,374.25,379.6,125086
2021-02-04 00:00:00+05:30,385,387.7,375.5,377,140607
2021-02-05 00:00:00+05:30,381,404.55,377.05,383.7,130202
2021-02-08 00:00:00+05:30,394.85,394.85,377.5,379.8,153001
2021-02-09 00:00:00+05:30,385,386.4,372.5,374.1,130392
2021-02-10 00:00:00+05:30,379.7,381.8,366,371.95,146034
2021-02-11 00:00:00+05:30,378.8,379.7,372.25,375.35,126623
2021-02-12 00:00:00+05:30,380,380,372.65,373.65,125961
2021-02-15 00:00:00+05:30,377.8,379.55,372.6,374.5,138245
2021-02-16 00:00:00+05:30,378,379.75,372.6,374.55,121671
2021-02-17 00:00:00+05:30,377.25,405.1,369.8,376.2,134159
2021-02-18 00:00:00+05:30,381.85,381.85,373.1,374.65,125691
2021-02-19 00:00:00+05:30,372,390,368,370.5,165942
2021-02-22 00:00:00+05:30,374.95,385.7,366.95,375.2,159113
2021-02-23 00:00:00+05:30,376.8,379,371.3,373.6,109356
2021-02-24 00:00:00+05:30,375.15,384.8,365,380.1,68082
2021-02-25 00:00:00+05:30,380.2,394,380.2,389.65,139478
2021-02-26 00:00:00+05:30,383.45,396.4,380,380.85,153243
2021-03-01 00:00:00+05:30,380,387.5,374.9,384.65,206237
2021-03-02 00:00:00+05:30,390,390,377.6,380.1,147236
2021-03-03 00:00:00+05:30,381,387.35,375,378.7,173177
2021-03-04 00:00:00+05:30,383.9,383.9,376,378.45,132863
2021-03-05 00:00:00+05:30,378.45,382.35,374.9,376,115645
2021-03-08 00:00:00+05:30,379,380.75,375,375.25,103602
2021-03-09 00:00:00+05:30,379,379.5,375,376.65,115781
2021-03-10 00:00:00+05:30,379,379.9,375,375.6,103861
2021-03-12 00:00:00+05:30,378.8,399.8,367.15,384,129565
2021-03-15 00:00:00+05:30,385,385,374.1,375.25,108144
2021-03-16 00:00:00+05:30,383.55,384.6,370.55,374.1,111877
2021-03-17 00:00:00+05:30,377.95,378.65,370.3,375.6,107632
2021-03-18 00:00:00+05:30,375.65,378.9,372.05,374.95,117031
2021-03-19 00:00:00+05:30,372.9,378.5,370.35,374.05,145009
2021-03-22 00:00:00+05:30,377.8,378,372.4,374.2,112246
2021-03-23 00:00:00+05:30,377.5,378.6,373.5,375.15,96738
2021-03-24 00:00:00+05:30,378,383,370.1,372.4,101893
2021-03-25 00:00:00+05:30,373.7,377,369.9,370.2,115709
2021-03-26 00:00:00+05:30,375.95,376.9,365.45,368.95,115589
2021-03-30 00:00:00+05:30,373.6,391.3,371.3,385.95,114058
2021-03-31 00:00:00+05:30,387,387,375.3,378.1,99675
2021-04-01 00:00:00+05:30,383.75,384.8,375.45,379.1,123925
2021-04-05 00:00:00+05:30,382,382.3,375.1,376.3,97037
2021-04-06 00:00:00+05:30,376,382.5,374.6,375.8,99622
2021-04-07 00:00:00+05:30,375,383.5,375,381.8,97459
2021-04-08 00:00:00+05:30,383.6,383.6,373.5,374.45,120411
2021-04-09 00:00:00+05:30,377.25,380,375.1,377.15,93594
2021-04-12 00:00:00+05:30,378.5,378.5,370.5,372.55,93358
2021-04-13 00:00:00+05:30,372.85,377.4,370.85,374.35,97576
2021-04-15 00:00:00+05:30,375,377.65,370.25,371.15,98417
2021-04-16 00:00:00+05:30,375.15,376.5,370.5,370.6,113462
2021-04-19 00:00:00+05:30,370.3,372,368.5,368.95,99165
2021-04-20 00:00:00+05:30,371.45,373.4,370.1,370.2,92737
2021-04-22 00:00:00+05:30,372.4,374,368.1,369.2,96068
2021-04-23 00:00:00+05:30,372.4,372.4,368.5,368.6,102273
2021-04-26 00:00:00+05:30,373,373,366.15,369.55,116650
2021-04-27 00:00:00+05:30,373,373,367.7,368.1,100335
2021-04-28 00:00:00+05:30,370.3,372,369.45,371.15,96844
2021-04-29 00:00:00+05:30,369.3,372.2,369.3,371.55,120142
2021-04-30 00:00:00+05:30,370.55,371.95,369.6,370.55,121191
2021-05-03 00:00:00+05:30,373.1,373.1,369,369.7,132686
2021-05-04 00:00:00+05:30,370.3,372,369.8,371.3,114512
2021-05-05 00:00:00+05:30,370.75,371.15,368.35,370.6,117243
2021-05-06 00:00:00+05:30,370.05,371.5,369.8,370.35,76104
2021-05-07 00:00:00+05:30,371,379.7,369.5,371.05,91542
2021-05-10 00:00:00+05:30,375,375.75,370,370.95,75893
2021-05-11 00:00:00+05:30,375.2,375.2,370,370.7,84912
2021-05-12 00:00:00+05:30,373.95,373.95,370.1,370.2,53132
2021-05-14 00:00:00+05:30,371.4,372.35,369.8,370.5,74728
2021-05-17 00:00:00+05:30,369.9,374.15,369.9,370.25,76910
2021-05-18 00:00:00+05:30,371.9,372.35,367,369.75,102596
2021-05-19 00:00:00+05:30,372.1,372.85,367.5,369.4,91989
2021-05-20 00:00:00+05:30,371.1,372.5,369.8,370.65,80736
2021-05-21 00:00:00+05:30,372,372.65,364.15,369.55,97818
2021-05-24 00:00:00+05:30,375,377,367.55,369,92455
2021-05-25 00:00:00+05:30,371.5,373.9,369.1,369.6,93788
2021-05-26 00:00:00+05:30,370,374.8,369.25,370.15,68104
2021-05-27 00:00:00+05:30,369,384,369,378.85,110014
2021-05-28 00:00:00+05:30,384.6,388.7,378.55,380.7,92162
2021-05-31 00:00:00+05:30,381,400,381,390.55,130089
2021-06-01 00:00:00+05:30,394.3,411.95,383.5,398.25,167960
2021-06-02 00:00:00+05:30,388.6,399.5,388.6,393.95,111016
2021-06-03 00:00:00+05:30,395.5,400,391.1,396.5,100573
2021-06-04 00:00:00+05:30,390.15,397.3,381.35,385.5,97330
2021-06-07 00:00:00+05:30,380.5,395.9,380.5,393.7,109199
2021-06-08 00:00:00+05:30,396.45,396.45,392.7,394.5,105465
2021-06-09 00:00:00+05:30,393.4,397.75,380.25,383.85,92598
2021-06-10 00:00:00+05:30,388,398.2,384.3,388.65,104918
2021-06-11 00:00:00+05:30,394.95,394.95,388.6,389,94507
2021-06-14 00:00:00+05:30,394.9,394.9,385.05,387.5,160107
2021-06-15 00:00:00+05:30,387.9,393.9,386.2,387.2,154444
2021-06-16 00:00:00+05:30,386.6,417,383.4,408.7,128540
2021-06-17 00:00:00+05:30,414,414,404.1,407.3,136623
