date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,31.8,33,31.8,32.8,13530
2021-01-04 00:00:00+05:30,32.8,33.5,32.25,32.8,31750
2021-01-05 00:00:00+05:30,32.65,33.5,32.5,33.25,25060
2021-01-06 00:00:00+05:30,33.05,35.1,32.45,34.6,264292
2021-01-07 00:00:00+05:30,35.3,38.05,34.8,38.05,290580
2021-01-08 00:00:00+05:30,41.45,41.85,39,39.6,432892
2021-01-11 00:00:00+05:30,39,39.6,36.4,37.3,78888
2021-01-12 00:00:00+05:30,38.6,38.6,34.55,34.9,125884
2021-01-13 00:00:00+05:30,35,36.95,35,35.8,59224
2021-01-14 00:00:00+05:30,35.9,37.7,34.55,36.5,55264
2021-01-15 00:00:00+05:30,37,37,35.6,35.8,31286
2021-01-18 00:00:00+05:30,35.9,36.45,34.05,34.8,22524
2021-01-19 00:00:00+05:30,33.75,36.25,33.6,34.45,23716
2021-01-20 00:00:00+05:30,34.7,35.45,34.55,35.3,18924
2021-01-21 00:00:00+05:30,36.2,36.2,33.55,34.1,36126
2021-01-22 00:00:00+05:30,34.1,34.85,34,34,21028
2021-01-25 00:00:00+05:30,35.7,35.7,32.7,33,21584
2021-01-27 00:00:00+05:30,34.3,34.3,32.6,32.65,11468
2021-01-28 00:00:00+05:30,33.15,33.15,30.75,31.9,17226
2021-01-29 00:00:00+05:30,31.9,32.85,31.05,31.75,10622
2021-02-01 00:00:00+05:30,31.1,33.65,31.1,33.45,15448
2021-02-02 00:00:00+05:30,34.25,35.45,32.15,34.75,81650
2021-02-03 00:00:00+05:30,35,36,33.55,34.45,63884
2021-02-04 00:00:00+05:30,35.4,35.45,33.4,33.65,39536
2021-02-05 00:00:00+05:30,34.25,36.25,33.4,34.4,118530
2021-02-08 00:00:00+05:30,36.25,36.25,34.1,34.8,23194
2021-02-09 00:00:00+05:30,35.95,35.95,34.05,34.2,11834
2021-02-10 00:00:00+05:30,33.8,35.05,32.2,32.35,57640
2021-02-11 00:00:00+05:30,32.45,33.95,32.35,33.2,27470
2021-02-12 00:00:00+05:30,34.15,35.35,33,35,191846
2021-02-15 00:00:00+05:30,35,35.95,33.75,34.25,110722
2021-02-16 00:00:00+05:30,33.95,35.15,33,33.55,57922
2021-02-17 00:00:00+05:30,34.5,34.5,33,34.05,17570
2021-02-18 00:00:00+05:30,35.2,37.05,34.7,35.4,63144
2021-02-19 00:00:00+05:30,34.15,36.45,34.15,34.95,32242
2021-02-22 00:00:00+05:30,34.5,35.5,33,33.4,69108
2021-02-23 00:00:00+05:30,33.1,34.9,33.1,34.45,35632
2021-02-24 00:00:00+05:30,34,35.15,33.15,33.75,8338
2021-02-25 00:00:00+05:30,35.05,35.05,33.75,34.4,18584
2021-02-26 00:00:00+05:30,34.5,34.5,33.35,33.75,18784
2021-03-01 00:00:00+05:30,33.8,34.95,33.5,34.15,53074
2021-03-02 00:00:00+05:30,34.7,34.7,34,34.35,12516
2021-03-03 00:00:00+05:30,34.7,35.15,33.8,34.65,16374
2021-03-04 00:00:00+05:30,34.95,34.95,33.9,34.5,35468
2021-03-05 00:00:00+05:30,34.25,34.65,33.75,33.9,6872
2021-03-08 00:00:00+05:30,34.7,34.85,33.05,34.15,21628
2021-03-09 00:00:00+05:30,34.7,35.15,33.15,33.4,17462
2021-03-10 00:00:00+05:30,34.45,35.95,33.55,35.05,91654
2021-03-12 00:00:00+05:30,36.45,42.05,36,42.05,1228686
2021-03-15 00:00:00+05:30,44,50.45,42.25,50.4,3302990
2021-03-16 00:00:00+05:30,47.6,47.7,45.35,45.35,677852
2021-03-17 00:00:00+05:30,42.7,44.5,41,41.4,295798
2021-03-18 00:00:00+05:30,41.5,44.2,37.75,40.2,477990
2021-03-19 00:00:00+05:30,39.5,40.5,38.2,39.4,133530
2021-03-22 00:00:00+05:30,39.4,41.35,37.95,38.25,106892
2021-03-23 00:00:00+05:30,38.7,40.15,38.65,40.15,84026
2021-03-24 00:00:00+05:30,42.15,42.15,40,41.4,130120
2021-03-25 00:00:00+05:30,42.15,42.15,39.5,39.85,193726
2021-03-26 00:00:00+05:30,40.35,41.85,40,41.85,54790
2021-03-30 00:00:00+05:30,41.85,43.9,41.3,43.55,55332
2021-03-31 00:00:00+05:30,45.35,45.75,43.45,45.75,54434
2021-04-01 00:00:00+05:30,47.35,48,46.05,48,51092
2021-04-05 00:00:00+05:30,48.7,50.4,47.1,47.95,246490
2021-04-06 00:00:00+05:30,47.95,47.95,45.6,45.6,51376
2021-04-07 00:00:00+05:30,44.5,45,43.3,43.7,73302
