date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,30.5,30.5,28.35,28.5,29877
2021-01-04 00:00:00+05:30,28.5,29.3,28,28.8,27514
2021-01-05 00:00:00+05:30,28.05,29.8,27.85,28.55,53433
2021-01-06 00:00:00+05:30,29.45,29.45,27.8,27.9,27742
2021-01-07 00:00:00+05:30,28.5,28.7,27.9,28.1,27131
2021-01-08 00:00:00+05:30,28,28.45,27.45,28.05,28394
2021-01-11 00:00:00+05:30,28.8,28.85,27.65,28.35,38657
2021-01-12 00:00:00+05:30,27.8,28.65,27.8,28.25,49265
2021-01-13 00:00:00+05:30,28.9,29.25,27.35,27.6,31178
2021-01-14 00:00:00+05:30,28.25,28.65,27.1,27.6,35144
2021-01-15 00:00:00+05:30,28.3,28.3,26.6,27.5,17063
2021-01-18 00:00:00+05:30,27.9,28.25,26.7,27.8,7791
2021-01-19 00:00:00+05:30,27.3,28.5,27.3,27.75,29598
2021-01-20 00:00:00+05:30,27.6,28.25,26.5,27.4,39189
2021-01-21 00:00:00+05:30,26.75,27.45,26.3,26.75,27278
2021-01-22 00:00:00+05:30,27.6,27.8,26.65,26.85,13140
2021-01-25 00:00:00+05:30,26.5,27.1,26,26.1,16031
2021-01-27 00:00:00+05:30,26.1,27.2,25.45,26.7,26080
2021-01-28 00:00:00+05:30,27.25,27.6,26.55,27.25,20783
2021-01-29 00:00:00+05:30,27.6,28,26.85,27.2,12932
2021-02-01 00:00:00+05:30,27.2,28.4,27.05,27.7,14278
2021-02-02 00:00:00+05:30,28.75,28.75,27,27.45,21819
2021-02-03 00:00:00+05:30,28.2,28.2,26.5,26.75,26358
2021-02-04 00:00:00+05:30,27.6,27.6,26.2,26.55,22929
2021-02-05 00:00:00+05:30,27.1,27.1,25.15,25.8,49478
2021-02-08 00:00:00+05:30,27,27.5,26.55,27,42823
2021-02-09 00:00:00+05:30,26.6,27.4,26.2,26.65,31771
2021-02-10 00:00:00+05:30,28.5,29.3,28.4,29.3,112702
2021-02-11 00:00:00+05:30,32.2,32.2,32.2,32.2,28652
2021-02-12 00:00:00+05:30,35.4,35.4,32,32.55,453137
2021-02-15 00:00:00+05:30,31,31,30.95,30.95,19612
2021-02-16 00:00:00+05:30,29.65,29.95,29.45,29.45,9047
2021-02-17 00:00:00+05:30,28,30.75,28,28,79775
2021-02-18 00:00:00+05:30,28,29.4,26.6,28.65,108280
2021-02-19 00:00:00+05:30,29.25,29.8,27.65,28.05,35496
2021-02-22 00:00:00+05:30,28.65,28.65,26.65,26.7,34194
2021-02-23 00:00:00+05:30,26.95,28,26.55,28,36660
2021-02-24 00:00:00+05:30,29.3,29.3,27,28.45,20426
2021-02-25 00:00:00+05:30,28.5,28.95,27.65,28,24336
2021-02-26 00:00:00+05:30,27,27.95,26.8,27,37401
2021-03-01 00:00:00+05:30,27.75,28.2,25.65,27.45,49724
2021-03-02 00:00:00+05:30,28,28.35,27.2,27.35,26753
2021-03-03 00:00:00+05:30,27.2,27.95,26.3,27.05,33421
2021-03-04 00:00:00+05:30,27.45,28.4,27.2,27.3,47544
2021-03-05 00:00:00+05:30,27.95,27.95,26.6,26.8,20651
2021-03-08 00:00:00+05:30,27.75,27.75,26.5,26.65,27194
2021-03-09 00:00:00+05:30,27.5,27.5,26.45,26.55,15839
2021-03-10 00:00:00+05:30,26.05,27.5,26.05,26.85,11436
2021-03-12 00:00:00+05:30,28,28,25.55,26.85,32975
2021-03-15 00:00:00+05:30,26.7,26.75,25.65,26.05,22685
2021-03-16 00:00:00+05:30,26.15,27,26.05,26.3,19290
2021-03-17 00:00:00+05:30,25.85,26.75,25.3,25.55,36425
2021-03-18 00:00:00+05:30,26.3,26.3,24.3,24.45,26670
2021-03-19 00:00:00+05:30,25.45,25.45,23.25,24.6,22429
2021-03-22 00:00:00+05:30,25.5,25.5,23.8,23.95,31190
2021-03-23 00:00:00+05:30,24.9,24.9,23.15,24.4,20351
2021-03-24 00:00:00+05:30,24.4,24.5,23.75,23.9,11592
2021-03-25 00:00:00+05:30,23.15,24.95,23.15,23.95,20607
2021-03-26 00:00:00+05:30,24,25.1,23.2,24.15,37032
2021-03-30 00:00:00+05:30,24.65,24.65,23.5,23.85,4408
2021-03-31 00:00:00+05:30,24.45,25,23,24.15,23317
2021-04-01 00:00:00+05:30,24.9,25,24.2,24.45,13861
2021-04-05 00:00:00+05:30,23.7,24.75,23.6,23.9,4376
2021-04-06 00:00:00+05:30,24.5,25.05,23.95,25.05,14608
2021-04-07 00:00:00+05:30,26.1,26.1,25.2,25.75,15155
2021-04-08 00:00:00+05:30,26.3,28,25.85,26.4,18880
2021-04-09 00:00:00+05:30,27.5,27.5,26.4,26.45,19686
2021-04-12 00:00:00+05:30,26.5,26.6,24.15,24.5,16349
2021-04-13 00:00:00+05:30,25,25,23.85,24.7,7498
2021-04-15 00:00:00+05:30,26.75,26.75,24.05,25,4727
2021-04-16 00:00:00+05:30,25.85,26,24.65,25.4,21331
2021-04-19 00:00:00+05:30,23.7,25.5,23.6,24.25,14662
2021-04-20 00:00:00+05:30,24.15,25.45,24.1,24.4,10008
2021-04-22 00:00:00+05:30,25.45,25.45,23.2,24.2,18019
2021-04-23 00:00:00+05:30,24.2,24.6,23.55,24,7481
2021-04-26 00:00:00+05:30,24.6,24.9,24.1,24.4,10553
2021-04-27 00:00:00+05:30,25.4,25.55,24.3,25.05,18378
2021-04-28 00:00:00+05:30,26,26,24.8,25.15,19312
2021-04-29 00:00:00+05:30,26.7,26.7,24.05,24.35,25932
2021-04-30 00:00:00+05:30,25.85,25.85,23.25,25.35,20213
2021-05-03 00:00:00+05:30,25.9,26.25,24.3,25.45,46321
2021-05-04 00:00:00+05:30,26.4,26.4,24.6,24.95,41168
2021-05-05 00:00:00+05:30,25.8,25.8,25,25.3,11057
2021-05-06 00:00:00+05:30,24.55,27.65,24.55,27.1,61047
2021-05-07 00:00:00+05:30,27.65,28.2,26.5,27.1,43266
2021-05-10 00:00:00+05:30,26.65,28.45,26.1,26.75,51782
2021-05-11 00:00:00+05:30,26.75,27.15,25.3,26.1,47215
2021-05-12 00:00:00+05:30,26.05,27.8,25.55,27.05,146345
2021-05-14 00:00:00+05:30,27.45,27.45,25.4,25.85,36312
2021-05-17 00:00:00+05:30,25.85,28.4,25.1,28.4,194229
2021-05-18 00:00:00+05:30,29.5,30.4,28.1,28.7,87102
2021-05-19 00:00:00+05:30,29.65,30.15,28.55,28.9,47875
2021-05-20 00:00:00+05:30,28.65,31.45,28.5,30.05,131178
2021-05-21 00:00:00+05:30,31.75,31.75,28.7,29.2,148331
2021-05-24 00:00:00+05:30,29.2,30.5,29.05,29.7,59472
2021-05-25 00:00:00+05:30,30.75,30.75,28.65,29.85,76869
2021-05-26 00:00:00+05:30,29.9,30.15,29.35,29.85,22378
2021-05-27 00:00:00+05:30,29.5,30.8,29.3,29.45,52893
2021-05-28 00:00:00+05:30,30.45,30.45,27.2,28.65,51902
2021-05-31 00:00:00+05:30,28.65,31.5,28.05,31.45,359763
2021-06-01 00:00:00+05:30,31.6,34.55,30.15,34.45,566750
2021-06-02 00:00:00+05:30,34.45,36.7,34,35.2,409377
2021-06-03 00:00:00+05:30,34.9,35.65,34.3,34.65,87941
