date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,0.5,0.6,0.5,0.6,22931
2021-01-04 00:00:00+05:30,0.6,0.65,0.6,0.65,14332
2021-01-05 00:00:00+05:30,0.65,0.7,0.65,0.7,31230
2021-01-06 00:00:00+05:30,0.7,0.7,0.65,0.65,15151
2021-01-07 00:00:00+05:30,0.65,0.65,0.6,0.65,6102
2021-01-08 00:00:00+05:30,0.65,0.65,0.6,0.6,9498
2021-01-11 00:00:00+05:30,0.65,0.65,0.6,0.6,100173
2021-01-12 00:00:00+05:30,0.6,0.65,0.55,0.65,27581
2021-01-13 00:00:00+05:30,0.7,0.7,0.6,0.7,62469
2021-01-14 00:00:00+05:30,0.65,0.7,0.65,0.7,49728
2021-01-15 00:00:00+05:30,0.65,0.75,0.65,0.7,33239
2021-01-18 00:00:00+05:30,0.7,0.75,0.65,0.7,90506
2021-01-19 00:00:00+05:30,0.75,0.75,0.65,0.7,50946
2021-01-20 00:00:00+05:30,0.75,0.75,0.65,0.75,95035
2021-01-21 00:00:00+05:30,0.75,0.75,0.7,0.7,49173
2021-01-22 00:00:00+05:30,0.75,0.75,0.65,0.7,54286
2021-01-25 00:00:00+05:30,0.7,0.75,0.65,0.65,53068
2021-01-27 00:00:00+05:30,0.65,0.7,0.65,0.7,11794
2021-01-28 00:00:00+05:30,0.7,0.75,0.65,0.7,67571
2021-01-29 00:00:00+05:30,0.7,0.75,0.65,0.7,63992
2021-02-01 00:00:00+05:30,0.7,0.75,0.65,0.7,58793
2021-02-02 00:00:00+05:30,0.75,0.75,0.65,0.7,62739
2021-02-03 00:00:00+05:30,0.7,0.75,0.7,0.7,60276
2021-02-04 00:00:00+05:30,0.7,0.75,0.65,0.75,31218
2021-02-05 00:00:00+05:30,0.75,0.75,0.7,0.75,95922
2021-02-08 00:00:00+05:30,0.7,0.8,0.7,0.7,113900
2021-02-09 00:00:00+05:30,0.75,0.75,0.7,0.7,54062
2021-02-10 00:00:00+05:30,0.7,0.75,0.65,0.75,37519
2021-02-11 00:00:00+05:30,0.75,0.75,0.7,0.7,24328
2021-02-12 00:00:00+05:30,0.75,0.75,0.75,0.75,84948
2021-02-15 00:00:00+05:30,0.8,0.8,0.8,0.8,53036
2021-02-16 00:00:00+05:30,0.85,0.85,0.85,0.85,58800
2021-02-17 00:00:00+05:30,0.9,0.9,0.9,0.9,210255
2021-02-18 00:00:00+05:30,0.95,0.95,0.95,0.95,4388
2021-02-19 00:00:00+05:30,1,1,0.9,0.9,65760
2021-03-01 00:00:00+05:30,0.85,0.85,0.85,0.85,16000
2021-03-08 00:00:00+05:30,0.8,0.8,0.8,0.8,200
2021-03-16 00:00:00+05:30,0.75,0.85,0.75,0.85,426532
2021-03-17 00:00:00+05:30,0.85,0.85,0.8,0.8,73291
2021-03-18 00:00:00+05:30,0.85,0.85,0.75,0.8,64581
2021-03-19 00:00:00+05:30,0.75,0.85,0.75,0.8,220292
2021-03-22 00:00:00+05:30,0.85,0.85,0.75,0.8,87292
2021-03-23 00:00:00+05:30,0.75,0.8,0.75,0.8,109833
2021-03-24 00:00:00+05:30,0.8,0.8,0.75,0.75,22201
2021-03-25 00:00:00+05:30,0.75,0.75,0.7,0.75,61397
