date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,0.7,0.75,0.7,0.75,8203853
2021-01-04 00:00:00+05:30,0.75,0.8,0.7,0.8,44554405
2021-01-05 00:00:00+05:30,0.8,0.85,0.8,0.85,46883942
2021-01-06 00:00:00+05:30,0.9,0.9,0.9,0.9,7512526
2021-01-07 00:00:00+05:30,0.95,0.95,0.85,0.9,159887617
2021-01-08 00:00:00+05:30,0.9,0.95,0.85,0.95,57763272
2021-01-11 00:00:00+05:30,1,1,0.95,1,47609204
2021-01-12 00:00:00+05:30,1.05,1.05,1,1.05,56510653
2021-01-13 00:00:00+05:30,1.1,1.1,1,1,73080069
2021-01-14 00:00:00+05:30,1.05,1.05,0.95,1,31563934
2021-01-15 00:00:00+05:30,0.95,1,0.95,1,17777481
2021-01-18 00:00:00+05:30,1,1.05,0.95,1.05,36193084
2021-01-19 00:00:00+05:30,1.05,1.1,1,1.1,37919760
2021-01-20 00:00:00+05:30,1.15,1.15,1.1,1.15,44869641
2021-01-21 00:00:00+05:30,1.2,1.2,1.15,1.2,16899775
2021-01-22 00:00:00+05:30,1.25,1.25,1.15,1.25,88953472
2021-01-25 00:00:00+05:30,1.3,1.3,1.2,1.2,35484298
2021-01-27 00:00:00+05:30,1.15,1.15,1.15,1.15,1950011
2021-01-28 00:00:00+05:30,1.1,1.15,1.1,1.1,29980168
2021-01-29 00:00:00+05:30,1.05,1.05,1.05,1.05,3608046
2021-02-01 00:00:00+05:30,1,1.1,1,1,44579524
2021-02-02 00:00:00+05:30,1.05,1.05,1,1.05,24552866
2021-02-03 00:00:00+05:30,1.1,1.1,1.05,1.1,16315878
2021-02-04 00:00:00+05:30,1.15,1.15,1.1,1.15,7526595
2021-02-05 00:00:00+05:30,1.2,1.2,1.1,1.1,30446488
2021-02-08 00:00:00+05:30,1.1,1.1,1.05,1.05,12282778
2021-02-09 00:00:00+05:30,1.1,1.1,1.05,1.1,18716317
2021-02-10 00:00:00+05:30,1.05,1.1,1.05,1.05,18874981
2021-02-11 00:00:00+05:30,1,1.05,1,1,12679161
2021-02-12 00:00:00+05:30,1.05,1.05,1,1.05,5728119
2021-02-15 00:00:00+05:30,1.05,1.05,1,1,22156281
2021-02-16 00:00:00+05:30,0.95,1,0.95,0.95,20992796
2021-02-17 00:00:00+05:30,0.95,0.95,0.9,0.9,24163301
2021-02-18 00:00:00+05:30,0.95,0.95,0.85,0.9,12796431
2021-02-19 00:00:00+05:30,0.9,0.9,0.85,0.9,6389448
2021-02-22 00:00:00+05:30,0.9,0.9,0.85,0.85,10428913
2021-02-23 00:00:00+05:30,0.8,0.85,0.8,0.8,15380871
2021-02-24 00:00:00+05:30,0.8,0.85,0.8,0.85,10204709
2021-02-25 00:00:00+05:30,0.9,0.9,0.85,0.9,7335622
2021-02-26 00:00:00+05:30,0.9,0.95,0.85,0.9,22082497
2021-03-01 00:00:00+05:30,0.95,0.95,0.9,0.95,14258056
2021-03-02 00:00:00+05:30,1,1,0.95,1,22925462
2021-03-03 00:00:00+05:30,1.05,1.05,1,1.05,26010699
2021-03-04 00:00:00+05:30,1.05,1.1,1,1.1,22842345
2021-03-05 00:00:00+05:30,1.05,1.1,1.05,1.05,9635705
2021-03-08 00:00:00+05:30,1,1,1,1,4470277
2021-03-09 00:00:00+05:30,0.95,1,0.95,0.95,34816709
2021-03-10 00:00:00+05:30,0.95,1,0.9,1,52340449
2021-03-12 00:00:00+05:30,1,1.05,0.95,0.95,21262404
2021-03-15 00:00:00+05:30,0.95,0.95,0.9,0.9,16840500
2021-03-16 00:00:00+05:30,0.9,0.95,0.85,0.85,43828305
2021-03-17 00:00:00+05:30,0.8,0.8,0.8,0.8,11586863
2021-03-18 00:00:00+05:30,0.75,0.75,0.75,0.75,15865325
2021-03-19 00:00:00+05:30,0.7,0.8,0.7,0.8,78963167
2021-03-22 00:00:00+05:30,0.8,0.8,0.75,0.8,7714400
2021-03-23 00:00:00+05:30,0.8,0.85,0.75,0.8,15263212
2021-03-24 00:00:00+05:30,0.8,0.8,0.75,0.75,24453019
2021-03-25 00:00:00+05:30,0.75,0.75,0.7,0.7,7680191
2021-03-26 00:00:00+05:30,0.7,0.75,0.65,0.75,10463875
2021-03-30 00:00:00+05:30,0.75,0.8,0.7,0.75,11209866
2021-03-31 00:00:00+05:30,0.75,0.8,0.75,0.8,6796582
2021-04-01 00:00:00+05:30,0.8,0.85,0.75,0.8,10249793
2021-04-05 00:00:00+05:30,0.75,0.8,0.75,0.75,13528766
2021-04-06 00:00:00+05:30,0.75,0.8,0.7,0.75,24402882
2021-04-07 00:00:00+05:30,0.75,0.75,0.7,0.75,9310658
2021-04-08 00:00:00+05:30,0.75,0.75,0.7,0.7,27986480
2021-04-09 00:00:00+05:30,0.7,0.75,0.65,0.7,24903048
2021-04-12 00:00:00+05:30,0.7,0.7,0.65,0.65,7506568
2021-04-13 00:00:00+05:30,0.7,0.7,0.65,0.7,18602238
2021-04-15 00:00:00+05:30,0.7,0.75,0.65,0.7,11898819
2021-04-16 00:00:00+05:30,0.7,0.75,0.65,0.7,12042170
2021-04-19 00:00:00+05:30,0.7,0.7,0.65,0.7,7500314
2021-04-20 00:00:00+05:30,0.7,0.75,0.65,0.7,10855221
2021-04-22 00:00:00+05:30,0.7,0.75,0.65,0.65,9728553
2021-04-23 00:00:00+05:30,0.65,0.7,0.65,0.65,6226818
2021-04-26 00:00:00+05:30,0.65,0.7,0.65,0.65,5861673
2021-04-27 00:00:00+05:30,0.65,0.7,0.65,0.65,6522396
2021-04-28 00:00:00+05:30,0.7,0.7,0.65,0.7,4418541
2021-04-29 00:00:00+05:30,0.7,0.7,0.65,0.7,4912191
2021-04-30 00:00:00+05:30,0.7,0.7,0.65,0.65,23142978
2021-05-03 00:00:00+05:30,0.65,0.7,0.65,0.7,10378945
2021-05-04 00:00:00+05:30,0.65,0.7,0.65,0.65,3710152
2021-05-05 00:00:00+05:30,0.65,0.7,0.65,0.7,4000880
2021-05-06 00:00:00+05:30,0.65,0.7,0.65,0.65,3940632
2021-05-07 00:00:00+05:30,0.7,0.7,0.65,0.7,8350849
2021-05-10 00:00:00+05:30,0.7,0.7,0.65,0.7,5665963
2021-05-11 00:00:00+05:30,0.65,0.75,0.65,0.75,45910100
2021-05-12 00:00:00+05:30,0.75,0.8,0.7,0.8,33586081
2021-05-14 00:00:00+05:30,0.8,0.8,0.75,0.8,10216197
2021-05-17 00:00:00+05:30,0.75,0.8,0.75,0.75,8323797
2021-05-18 00:00:00+05:30,0.75,0.8,0.75,0.8,5137363
2021-05-19 00:00:00+05:30,0.8,0.8,0.75,0.75,11026409
2021-05-20 00:00:00+05:30,0.75,0.75,0.7,0.75,6945782
2021-05-21 00:00:00+05:30,0.7,0.75,0.7,0.75,8252842
2021-05-24 00:00:00+05:30,0.75,0.8,0.75,0.75,11489367
2021-05-25 00:00:00+05:30,0.8,0.8,0.75,0.8,6477917
2021-05-26 00:00:00+05:30,0.8,0.85,0.8,0.85,58047354
2021-05-27 00:00:00+05:30,0.9,0.9,0.85,0.9,25224403
2021-05-28 00:00:00+05:30,0.95,0.95,0.9,0.95,40347180
2021-05-31 00:00:00+05:30,1,1,0.95,1,20883803
2021-06-01 00:00:00+05:30,1.05,1.05,1,1.05,54873888
2021-06-02 00:00:00+05:30,1.1,1.1,1.05,1.1,46434478
2021-06-03 00:00:00+05:30,1.15,1.15,1.1,1.15,42758587
2021-06-04 00:00:00+05:30,1.15,1.15,1.1,1.1,39308565
2021-06-07 00:00:00+05:30,1.05,1.05,1.05,1.05,11454334
2021-06-08 00:00:00+05:30,1,1.1,1,1.1,112508203
2021-06-09 00:00:00+05:30,1.15,1.15,1.1,1.15,37450207
2021-06-10 00:00:00+05:30,1.2,1.2,1.15,1.2,26200075
2021-06-11 00:00:00+05:30,1.25,1.25,1.2,1.25,89806948
2021-06-14 00:00:00+05:30,1.25,1.3,1.25,1.3,48919419
2021-06-15 00:00:00+05:30,1.35,1.35,1.35,1.35,6174778
2021-06-16 00:00:00+05:30,1.4,1.4,1.4,1.4,7230139
2021-06-17 00:00:00+05:30,1.45,1.45,1.45,1.45,5749492
2021-06-18 00:00:00+05:30,1.5,1.5,1.4,1.5,118776359
2021-06-21 00:00:00+05:30,1.55,1.55,1.55,1.55,5253913
2021-06-22 00:00:00+05:30,1.6,1.6,1.6,1.6,1466507
2021-06-23 00:00:00+05:30,1.65,1.65,1.65,1.65,1486741
2021-06-24 00:00:00+05:30,1.7,1.7,1.7,1.7,2750042
2021-06-25 00:00:00+05:30,1.75,1.75,1.75,1.75,4875062
2021-06-28 00:00:00+05:30,1.8,1.8,1.8,1.8,2273890
2021-06-29 00:00:00+05:30,1.85,1.85,1.85,1.85,2746679
2021-06-30 00:00:00+05:30,1.9,1.9,1.9,1.9,1067869
2021-07-01 00:00:00+05:30,1.95,1.95,1.95,1.95,1581035
2021-07-02 00:00:00+05:30,2,2,2,2,1635243
2021-07-05 00:00:00+05:30,2.1,2.1,2.1,2.1,1409208
2021-07-06 00:00:00+05:30,2.2,2.2,2.2,2.2,1250453
2021-07-07 00:00:00+05:30,2.3,2.3,2.15,2.3,140455691
2021-07-08 00:00:00+05:30,2.35,2.4,2.35,2.4,26982814
2021-07-09 00:00:00+05:30,2.5,2.5,2.5,2.5,2316833
2021-07-12 00:00:00+05:30,2.6,2.6,2.6,2.6,1384802
2021-07-13 00:00:00+05:30,2.7,2.7,2.7,2.7,1944714
2021-07-14 00:00:00+05:30,2.8,2.8,2.8,2.8,952062
2021-07-15 00:00:00+05:30,2.9,2.9,2.9,2.9,2498930
2021-07-16 00:00:00+05:30,3,3,3,3,1429373
2021-07-19 00:00:00+05:30,3.15,3.15,3.15,3.15,1139088
2021-07-20 00:00:00+05:30,3.3,3.3,3.3,3.3,1106375
2021-07-22 00:00:00+05:30,3.45,3.45,3.45,3.45,6504837
2021-07-23 00:00:00+05:30,3.6,3.6,3.6,3.6,1343008
2021-07-26 00:00:00+05:30,3.75,3.75,3.75,3.75,1528174
2021-07-27 00:00:00+05:30,3.9,3.9,3.9,3.9,924594
2021-07-28 00:00:00+05:30,4.05,4.05,3.75,3.75,43605316
2021-07-29 00:00:00+05:30,3.6,3.6,3.6,3.6,7626751
2021-07-30 00:00:00+05:30,3.45,3.45,3.45,3.45,6257987
2021-08-02 00:00:00+05:30,3.35,3.45,3.3,3.3,44914809
2021-08-03 00:00:00+05:30,3.15,3.15,3.15,3.15,4988318
2021-08-04 00:00:00+05:30,3,3,3,3,5200233
2021-08-05 00:00:00+05:30,2.85,2.85,2.85,2.85,3277662
2021-08-06 00:00:00+05:30,2.75,2.95,2.75,2.95,62955060
2021-08-09 00:00:00+05:30,2.9,2.9,2.85,2.85,13090923
2021-08-10 00:00:00+05:30,2.75,2.8,2.75,2.75,10763551
2021-08-11 00:00:00+05:30,2.65,2.65,2.65,2.65,1650667
2021-08-12 00:00:00+05:30,2.55,2.75,2.55,2.65,48036632
2021-08-13 00:00:00+05:30,2.55,2.55,2.55,2.55,4227960
2021-08-16 00:00:00+05:30,2.45,2.45,2.45,2.45,1823768
2021-08-17 00:00:00+05:30,2.35,2.35,2.35,2.35,1224467
2021-08-18 00:00:00+05:30,2.25,2.25,2.25,2.25,1217536
2021-08-20 00:00:00+05:30,2.15,2.15,2.15,2.15,1444101
2021-08-23 00:00:00+05:30,2.05,2.05,2.05,2.05,1565120
2021-08-24 00:00:00+05:30,1.95,1.95,1.95,1.95,2084278
2021-08-25 00:00:00+05:30,1.9,2,1.9,2,58870647
2021-08-26 00:00:00+05:30,2,2.1,1.9,1.9,36914033
2021-08-27 00:00:00+05:30,1.85,1.85,1.85,1.85,3491936
2021-08-30 00:00:00+05:30,1.8,1.8,1.8,1.8,2720711
2021-08-31 00:00:00+05:30,1.75,1.75,1.75,1.75,2118545
2021-09-01 00:00:00+05:30,1.75,1.8,1.7,1.7,22729113
2021-09-02 00:00:00+05:30,1.7,1.7,1.65,1.65,7132724
2021-09-03 00:00:00+05:30,1.6,1.6,1.6,1.6,3991622
2021-09-06 00:00:00+05:30,1.55,1.65,1.55,1.65,64031412
2021-09-07 00:00:00+05:30,1.7,1.7,1.65,1.7,24538372
2021-09-08 00:00:00+05:30,1.75,1.75,1.65,1.75,40404641
2021-09-09 00:00:00+05:30,1.75,1.75,1.7,1.7,14158050
2021-09-13 00:00:00+05:30,1.65,1.65,1.65,1.65,4236077
2021-09-14 00:00:00+05:30,1.6,1.6,1.6,1.6,4566322
2021-09-15 00:00:00+05:30,1.55,1.65,1.55,1.65,48509407
2021-09-16 00:00:00+05:30,1.7,1.7,1.65,1.7,27024161
2021-09-17 00:00:00+05:30,1.75,1.75,1.7,1.75,12284078
2021-09-20 00:00:00+05:30,1.75,1.8,1.7,1.8,18191418
2021-09-21 00:00:00+05:30,1.85,1.85,1.75,1.85,24797751
2021-09-22 00:00:00+05:30,1.9,1.9,1.85,1.9,38530783
2021-09-23 00:00:00+05:30,1.85,1.9,1.85,1.85,6094317
2021-09-24 00:00:00+05:30,1.8,1.8,1.8,1.8,3582530
2021-09-27 00:00:00+05:30,1.75,1.75,1.75,1.75,2308926
2021-09-28 00:00:00+05:30,1.7,1.8,1.7,1.8,13293784
2021-09-29 00:00:00+05:30,1.8,1.85,1.75,1.8,20567450
2021-09-30 00:00:00+05:30,1.8,1.85,1.75,1.75,13116571
2021-10-01 00:00:00+05:30,1.7,1.7,1.7,1.7,4321867
2021-10-04 00:00:00+05:30,1.65,1.75,1.65,1.7,13622774
2021-10-05 00:00:00+05:30,1.75,1.75,1.65,1.7,10152490
2021-10-06 00:00:00+05:30,1.7,1.75,1.65,1.7,8956662
2021-10-07 00:00:00+05:30,1.65,1.75,1.65,1.7,14210982
2021-10-08 00:00:00+05:30,1.7,1.75,1.65,1.75,15648619
2021-10-11 00:00:00+05:30,1.8,1.8,1.7,1.8,24335068
2021-10-12 00:00:00+05:30,1.75,1.75,1.75,1.75,6583027
2021-10-13 00:00:00+05:30,1.7,1.75,1.7,1.7,18380467
2021-10-14 00:00:00+05:30,1.7,1.75,1.65,1.7,22103409
2021-10-18 00:00:00+05:30,1.7,1.75,1.65,1.7,22235442
2021-10-19 00:00:00+05:30,1.7,1.7,1.65,1.65,16511704
2021-10-20 00:00:00+05:30,1.65,1.65,1.6,1.65,7744340
2021-10-21 00:00:00+05:30,1.65,1.65,1.6,1.65,10559685
2021-10-22 00:00:00+05:30,1.65,1.65,1.6,1.6,10698954
2021-10-25 00:00:00+05:30,1.6,1.6,1.55,1.55,8640207
2021-10-26 00:00:00+05:30,1.5,1.55,1.5,1.5,13267693
2021-10-27 00:00:00+05:30,1.5,1.55,1.5,1.5,24756176
2021-10-28 00:00:00+05:30,1.55,1.55,1.45,1.45,25712128
2021-10-29 00:00:00+05:30,1.45,1.45,1.4,1.4,11705310
2021-11-01 00:00:00+05:30,1.4,1.45,1.4,1.45,6736346
2021-11-02 00:00:00+05:30,1.5,1.5,1.45,1.5,2149904
2021-11-03 00:00:00+05:30,1.55,1.55,1.55,1.55,1134373
2021-11-04 00:00:00+05:30,1.6,1.6,1.6,1.6,847096
2021-11-08 00:00:00+05:30,1.65,1.65,1.55,1.55,30565421
2021-11-09 00:00:00+05:30,1.6,1.6,1.5,1.5,27252840
2021-11-10 00:00:00+05:30,1.55,1.55,1.45,1.5,30845922
2021-11-11 00:00:00+05:30,1.5,1.55,1.45,1.5,24599632
2021-11-12 00:00:00+05:30,1.5,1.55,1.45,1.45,32704569
2021-11-15 00:00:00+05:30,1.45,1.5,1.4,1.5,18088893
2021-11-16 00:00:00+05:30,1.5,1.55,1.45,1.55,25337220
2021-11-17 00:00:00+05:30,1.55,1.55,1.5,1.5,24557187
2021-11-18 00:00:00+05:30,1.55,1.55,1.45,1.45,9731311
2021-11-22 00:00:00+05:30,1.5,1.5,1.4,1.5,18357899
2021-11-23 00:00:00+05:30,1.5,1.5,1.45,1.5,11052591
2021-11-24 00:00:00+05:30,1.5,1.55,1.45,1.5,76020017
2021-11-25 00:00:00+05:30,1.5,1.55,1.45,1.55,38584765
2021-11-26 00:00:00+05:30,1.55,1.6,1.55,1.6,54957516
2021-11-29 00:00:00+05:30,1.65,1.65,1.6,1.65,134755227
2021-11-30 00:00:00+05:30,1.7,1.7,1.6,1.6,43755753
2021-12-01 00:00:00+05:30,1.55,1.55,1.55,1.55,5787842
2021-12-02 00:00:00+05:30,1.5,1.5,1.5,1.5,6069613
2021-12-03 00:00:00+05:30,1.45,1.5,1.45,1.5,40002790
2021-12-06 00:00:00+05:30,1.5,1.55,1.45,1.55,27905813
2021-12-07 00:00:00+05:30,1.6,1.6,1.55,1.6,21620276
2021-12-08 00:00:00+05:30,1.65,1.65,1.6,1.65,57690227
2021-12-09 00:00:00+05:30,1.65,1.7,1.65,1.7,54657765
2021-12-10 00:00:00+05:30,1.75,1.75,1.7,1.75,153140785
2021-12-13 00:00:00+05:30,1.8,1.8,1.8,1.8,3017680
2021-12-14 00:00:00+05:30,1.85,1.85,1.85,1.85,2440703
2021-12-15 00:00:00+05:30,1.9,1.9,1.9,1.9,1740252
2021-12-16 00:00:00+05:30,1.95,1.95,1.95,1.95,3189616
2021-12-17 00:00:00+05:30,2,2,1.9,2,207783904
2021-12-20 00:00:00+05:30,2,2.1,1.9,1.9,83892146
2021-12-21 00:00:00+05:30,1.85,1.9,1.85,1.85,145736500
2021-12-22 00:00:00+05:30,1.8,1.8,1.8,1.8,10482480
2021-12-23 00:00:00+05:30,1.75,1.75,1.75,1.75,10565094
2021-12-24 00:00:00+05:30,1.7,1.8,1.7,1.8,144422637
2021-12-27 00:00:00+05:30,1.85,1.85,1.8,1.85,50495324
2021-12-28 00:00:00+05:30,1.9,1.9,1.9,1.9,13524084
2021-12-29 00:00:00+05:30,1.95,1.95,1.95,1.95,3463380
2021-12-30 00:00:00+05:30,2,2,2,2,4804750
2021-12-31 00:00:00+05:30,2.1,2.1,2.1,2.1,3335470
