date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,22,22,21.5,21.5,640592
2021-01-04 00:00:00+05:30,21.7,21.9,21,21.6,1204404
2021-01-05 00:00:00+05:30,21.1,21.6,21.1,21.45,2847392
2021-01-06 00:00:00+05:30,21.5,21.7,20.5,20.65,3359348
2021-01-07 00:00:00+05:30,20.75,20.95,19.95,20.2,2387896
2021-01-08 00:00:00+05:30,20.3,20.6,20.1,20.35,2543988
2021-01-11 00:00:00+05:30,20.6,20.95,20.4,20.75,1265132
2021-01-12 00:00:00+05:30,20.9,21,20.3,20.85,1397820
2021-01-13 00:00:00+05:30,21.1,24.25,20.45,21.4,9959656
2021-01-14 00:00:00+05:30,21.55,21.7,20.85,21.1,3292260
2021-01-15 00:00:00+05:30,21.1,22.25,20.1,20.65,4456324
2021-01-18 00:00:00+05:30,20.75,20.75,20.25,20.35,1274704
2021-01-19 00:00:00+05:30,20.45,20.9,20.2,20.8,1876284
2021-01-20 00:00:00+05:30,20.9,21.45,20.6,20.9,2889148
2021-01-21 00:00:00+05:30,21.05,21.1,20.25,20.45,2137432
2021-01-22 00:00:00+05:30,20.6,20.65,20.05,20.1,2095508
2021-01-25 00:00:00+05:30,20.1,20.25,19.3,19.55,4997820
2021-01-27 00:00:00+05:30,19.6,19.7,18.85,19.5,1557656
2021-01-28 00:00:00+05:30,19.5,19.5,18.9,19.1,3141916
2021-01-29 00:00:00+05:30,19.1,19.35,18.5,19,1549724
2021-02-01 00:00:00+05:30,19.6,19.65,18.6,19.3,2375844
2021-02-02 00:00:00+05:30,19.35,20.1,18.6,19.6,3577408
2021-02-03 00:00:00+05:30,19.6,19.75,19.1,19.45,6943060
2021-02-04 00:00:00+05:30,21,21,20.2,20.4,4453652
2021-02-05 00:00:00+05:30,20.75,20.85,20.3,20.65,1343904
2021-02-08 00:00:00+05:30,20.95,20.95,20.45,20.6,4224076
2021-02-09 00:00:00+05:30,20.6,20.85,20.5,20.7,7135652
2021-02-10 00:00:00+05:30,20.85,21.1,20.5,20.8,4864724
2021-02-11 00:00:00+05:30,21.05,23.55,20.95,22.9,35898256
2021-02-12 00:00:00+05:30,23.45,23.65,22.35,22.8,12590540
2021-02-15 00:00:00+05:30,23.15,23.15,22.15,22.35,7095896
2021-02-16 00:00:00+05:30,22.25,22.6,21.85,22.1,2473788
2021-02-17 00:00:00+05:30,22.05,22.75,21.9,22.45,5686928
2021-02-18 00:00:00+05:30,22.55,22.65,22.1,22.3,3463740
2021-02-19 00:00:00+05:30,22.25,22.65,22.05,22.25,2426984
2021-02-22 00:00:00+05:30,22.45,22.45,22,22.1,1642800
2021-02-23 00:00:00+05:30,22,22.2,21.65,21.95,2847408
2021-02-24 00:00:00+05:30,22.1,22.25,21.8,21.9,911780
2021-02-25 00:00:00+05:30,22.15,22.55,21.9,22.45,8178152
2021-02-26 00:00:00+05:30,22.35,23.15,22,22.9,5180292
2021-03-01 00:00:00+05:30,25.25,26.75,24.5,25.3,34314424
2021-03-02 00:00:00+05:30,25.85,25.85,24.5,24.95,20687404
2021-03-03 00:00:00+05:30,25.25,25.35,24.3,24.7,17001552
2021-03-04 00:00:00+05:30,24.6,24.95,23.05,23.9,19826928
2021-03-05 00:00:00+05:30,23.85,24.6,23.25,24.2,24586960
2021-03-08 00:00:00+05:30,24.3,24.65,23.65,23.8,33264672
2021-03-09 00:00:00+05:30,23.95,24.1,23.55,23.85,29808680
2021-03-10 00:00:00+05:30,24.35,24.65,23.55,23.65,36840400
2021-03-12 00:00:00+05:30,24.2,28.4,24.15,24.6,61706316
2021-03-15 00:00:00+05:30,24.95,25.3,23.7,24.25,84849768
2021-03-16 00:00:00+05:30,24.65,27.95,24.4,27,146281388
2021-03-17 00:00:00+05:30,26.2,26.9,24.8,25.25,164355844
2021-03-18 00:00:00+05:30,24.45,24.8,21.15,21.6,73879780
2021-03-19 00:00:00+05:30,21.8,22.5,21.1,21.95,34490180
2021-03-22 00:00:00+05:30,21.6,21.6,20.25,21.1,37883684
2021-03-23 00:00:00+05:30,21.25,23.5,21.25,22.85,24400212
2021-03-24 00:00:00+05:30,22.75,24,22.75,23,23223392
2021-03-25 00:00:00+05:30,23.25,23.5,22.45,23.15,19231884
2021-03-26 00:00:00+05:30,23.35,24,22.9,23.55,14777612
2021-03-30 00:00:00+05:30,23.8,24.35,23,23.15,13940282
2021-03-31 00:00:00+05:30,23,24,23,23.7,15515064
2021-04-01 00:00:00+05:30,23.75,24.2,23.25,23.8,6284354
2021-04-05 00:00:00+05:30,23.95,24.1,22.2,22.7,5506140
2021-04-06 00:00:00+05:30,22.75,23.2,22.25,22.55,9367662
2021-04-07 00:00:00+05:30,22.7,22.85,22.05,22.15,4117028
2021-04-08 00:00:00+05:30,22.4,22.65,22.2,22.35,4228486
2021-04-09 00:00:00+05:30,22.4,22.6,22.05,22.35,3121746
2021-04-12 00:00:00+05:30,22.15,22.2,20.5,21.35,5690824
2021-04-13 00:00:00+05:30,21.35,21.95,21.25,21.65,3755980
2021-04-15 00:00:00+05:30,21.9,21.95,21.05,21.4,6954336
2021-04-16 00:00:00+05:30,21.4,21.75,21,21.15,3281128
2021-04-19 00:00:00+05:30,21,21,20,20.1,2403140
2021-04-20 00:00:00+05:30,20.25,20.7,20.1,20.35,1762632
2021-04-22 00:00:00+05:30,20.75,20.75,20.25,20.4,1415358
2021-04-23 00:00:00+05:30,20.4,20.65,20.1,20.2,1021192
2021-04-26 00:00:00+05:30,20.25,20.6,19.85,19.9,2716362
2021-04-27 00:00:00+05:30,20,20.1,19.75,19.85,2442174
2021-04-28 00:00:00+05:30,19.75,20.7,19.75,20.05,2372836
2021-04-29 00:00:00+05:30,20.15,20.45,19.65,19.75,2713226
2021-04-30 00:00:00+05:30,19.45,20,19.45,19.65,2500490
2021-05-03 00:00:00+05:30,19.65,19.8,19.35,19.4,1674042
2021-05-04 00:00:00+05:30,19.5,19.7,18.9,19.05,3778802
2021-05-05 00:00:00+05:30,19.25,19.25,18.8,18.8,1770622
2021-05-06 00:00:00+05:30,19,19.6,18.35,19.2,2409148
2021-05-07 00:00:00+05:30,19.4,20.4,19.35,19.8,6518510
2021-05-10 00:00:00+05:30,20.15,20.3,19.35,20.1,4639454
2021-05-11 00:00:00+05:30,19.9,21.7,19.8,21.6,9844578
2021-05-12 00:00:00+05:30,21.7,22.45,21.4,21.7,10514186
