date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,15.85,15.85,14.55,15.8,618391
2021-01-04 00:00:00+05:30,15.6,15.6,15.05,15.05,62893
2021-01-05 00:00:00+05:30,14.3,14.3,14.3,14.3,115315
2021-01-06 00:00:00+05:30,14,14,13.6,13.6,88680
2021-01-07 00:00:00+05:30,13.5,14.25,12.95,14.15,198501
2021-01-08 00:00:00+05:30,14.8,14.8,13.45,14.25,187156
2021-01-11 00:00:00+05:30,13.75,14.95,13.75,14.3,78425
2021-01-12 00:00:00+05:30,14.75,15,14,15,223035
2021-01-13 00:00:00+05:30,15,15.75,14.7,15.25,347840
2021-01-14 00:00:00+05:30,15.65,15.65,14.5,15.2,142518
2021-01-15 00:00:00+05:30,15.45,15.45,14.45,14.65,98958
2021-01-18 00:00:00+05:30,14.65,14.7,13.95,14,63583
2021-01-19 00:00:00+05:30,13.75,14.7,13.55,14,50641
2021-01-20 00:00:00+05:30,14.6,14.6,13.7,13.8,67570
2021-01-21 00:00:00+05:30,14.35,14.35,13.15,13.55,305227
2021-01-22 00:00:00+05:30,13.45,13.95,12.9,12.9,89646
2021-01-25 00:00:00+05:30,13.5,13.5,12.3,12.3,39838
2021-01-27 00:00:00+05:30,11.7,11.95,11.7,11.85,78113
2021-01-28 00:00:00+05:30,11.75,12.4,11.4,12.4,85939
2021-01-29 00:00:00+05:30,12.4,12.7,11.8,11.8,121128
2021-02-01 00:00:00+05:30,11.8,12,11.35,11.6,69163
2021-02-02 00:00:00+05:30,11.95,12.15,11.55,12.15,74924
2021-02-03 00:00:00+05:30,12.75,12.75,12.75,12.75,21638
2021-02-04 00:00:00+05:30,13.15,13.35,12.7,13.35,127496
2021-02-05 00:00:00+05:30,14,14.65,13.05,13.75,149038
2021-02-08 00:00:00+05:30,13.95,13.95,12.75,13.05,88072
2021-02-09 00:00:00+05:30,13.05,14.35,13.05,13.5,181536
2021-02-10 00:00:00+05:30,13.3,14.15,13.1,13.95,158786
2021-02-11 00:00:00+05:30,14.1,14.5,13.5,14,118146
2021-02-12 00:00:00+05:30,14,15.4,13.5,15.25,883320
2021-02-15 00:00:00+05:30,15.2,15.2,13.75,13.85,360223
2021-02-16 00:00:00+05:30,14.45,14.45,12.8,13.15,234721
2021-02-17 00:00:00+05:30,12.25,13.35,12.25,13.05,69555
2021-02-18 00:00:00+05:30,13.05,13.45,12.8,12.9,116185
2021-02-19 00:00:00+05:30,12.6,13.25,12.05,12.75,319114
2021-02-22 00:00:00+05:30,12.75,13.15,12.75,12.8,211951
2021-02-23 00:00:00+05:30,13.05,13.25,12.6,12.8,220772
2021-02-24 00:00:00+05:30,12.8,13.15,12.05,12.9,58811
2021-02-25 00:00:00+05:30,12.75,13,12,12.75,80312
2021-02-26 00:00:00+05:30,12.75,12.8,12.35,12.5,223664
2021-03-01 00:00:00+05:30,13,13,11.95,12.05,285381
2021-03-02 00:00:00+05:30,12.55,12.55,11.9,12,251799
2021-03-03 00:00:00+05:30,12.2,12.6,11.85,12.1,538138
2021-03-04 00:00:00+05:30,12.1,12.5,12,12.15,306286
2021-03-05 00:00:00+05:30,13.1,13.1,11.9,11.95,441178
2021-03-08 00:00:00+05:30,12.45,12.5,11.9,12,276361
2021-03-09 00:00:00+05:30,12.25,12.25,11.6,11.75,154554
2021-03-10 00:00:00+05:30,11.75,11.95,11.35,11.4,181732
2021-03-12 00:00:00+05:30,11.6,12.2,11.2,11.35,344418
2021-03-15 00:00:00+05:30,11.6,11.65,10.7,10.75,211603
2021-03-16 00:00:00+05:30,10.85,11.5,10.35,10.55,399304
2021-03-17 00:00:00+05:30,10.7,10.9,9.65,10.7,146736
2021-03-18 00:00:00+05:30,11,11.55,10.8,11.15,459841
2021-03-19 00:00:00+05:30,11.05,11.9,11,11.5,209760
2021-03-22 00:00:00+05:30,11.75,12.25,11.2,11.4,595274
2021-03-23 00:00:00+05:30,11.4,12.5,11.4,12.5,314154
2021-03-24 00:00:00+05:30,13.75,13.75,13.75,13.75,309649
2021-03-25 00:00:00+05:30,13.5,14,13.1,13.45,938847
2021-03-26 00:00:00+05:30,13.4,14.1,13.4,14.1,510171
2021-03-30 00:00:00+05:30,14.4,14.8,14.2,14.8,261183
2021-03-31 00:00:00+05:30,15.25,15.35,14.1,14.7,488491
2021-04-01 00:00:00+05:30,15.1,15.15,14.05,14.2,181997
2021-04-05 00:00:00+05:30,14.4,14.5,13.55,14.25,249674
2021-04-06 00:00:00+05:30,14.45,14.45,13.9,14.05,108168
2021-04-07 00:00:00+05:30,13.6,14.75,13.6,14.75,261661
2021-04-08 00:00:00+05:30,15.3,15.45,14.95,15.45,408751
2021-04-09 00:00:00+05:30,15.6,16.2,15.5,16.2,663764
2021-04-12 00:00:00+05:30,17,17,15.7,17,1818351
2021-04-13 00:00:00+05:30,17.85,17.85,17.85,17.85,122752
2021-04-15 00:00:00+05:30,18.7,18.7,18.7,18.7,51824
2021-04-16 00:00:00+05:30,19.6,19.6,19.6,19.6,43151
2021-04-19 00:00:00+05:30,18.65,20.55,18.65,20.55,1486797
2021-04-20 00:00:00+05:30,21.55,21.55,21.55,21.55,39547
2021-04-22 00:00:00+05:30,22.6,22.6,20.5,20.9,2021908
2021-04-23 00:00:00+05:30,19.9,19.9,19.9,19.9,84204
2021-04-26 00:00:00+05:30,18.95,18.95,18.95,18.95,57008
2021-04-27 00:00:00+05:30,18.05,18.05,18.05,18.05,7988
2021-04-28 00:00:00+05:30,17.15,17.15,17.15,17.15,9132
2021-04-29 00:00:00+05:30,16.3,16.3,16.3,16.3,27172
2021-04-30 00:00:00+05:30,15.5,17.1,15.5,17.1,839754
2021-05-03 00:00:00+05:30,16.3,17.5,16.25,16.25,211732
2021-05-04 00:00:00+05:30,16,16.1,15.45,15.45,160961
2021-05-05 00:00:00+05:30,14.75,16.2,14.7,16.15,351012
2021-05-06 00:00:00+05:30,16.25,16.95,15.65,16.2,175240
2021-05-07 00:00:00+05:30,15.9,16.5,15.75,15.85,137420
