date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,111.8,112.3,108.75,111.6,46973
2021-01-04 00:00:00+05:30,112.15,113.2,109.35,111.2,58928
2021-01-05 00:00:00+05:30,110,117,109.4,114.95,343043
2021-01-06 00:00:00+05:30,115.55,129.15,114.95,125.2,978818
2021-01-07 00:00:00+05:30,125.2,129.6,124,124.8,317948
2021-01-08 00:00:00+05:30,126.2,127.35,121.2,122,155528
2021-01-11 00:00:00+05:30,122.2,135.35,121.65,127.2,847765
2021-01-12 00:00:00+05:30,127.55,131.6,125.95,127.7,121930
2021-01-13 00:00:00+05:30,128.7,130.05,123.6,126.15,101045
2021-01-14 00:00:00+05:30,126.95,129.9,124.55,125.5,60448
2021-01-15 00:00:00+05:30,127.2,132.05,122.2,128.3,97265
2021-01-18 00:00:00+05:30,138,139.6,133.6,134.75,950975
2021-01-19 00:00:00+05:30,130.7,146.8,130.7,144.45,726770
2021-01-20 00:00:00+05:30,147.55,154.2,144.85,153.1,778805
2021-01-21 00:00:00+05:30,155.2,159.2,147.2,149.1,490055
2021-01-22 00:00:00+05:30,151.1,152.95,143.4,145.75,273575
2021-01-25 00:00:00+05:30,146.5,151.2,144.85,150,162250
2021-01-27 00:00:00+05:30,151.2,152.3,144.7,150.25,134750
2021-01-28 00:00:00+05:30,146.05,156,146.05,150.1,171353
2021-01-29 00:00:00+05:30,150.2,153.45,148.8,150.5,111755
2021-02-01 00:00:00+05:30,151.5,154,147.2,152.5,130203
2021-02-02 00:00:00+05:30,156.2,168,155.6,162.05,672153
2021-02-03 00:00:00+05:30,163.6,168.7,161.3,162.8,268838
2021-02-04 00:00:00+05:30,163.35,166.8,162.1,165.5,138903
2021-02-05 00:00:00+05:30,166.8,167.15,161.2,163.8,151330
2021-02-08 00:00:00+05:30,166.4,167.95,165.5,166.25,116325
2021-02-09 00:00:00+05:30,167.35,167.9,162.2,163.9,317430
2021-02-10 00:00:00+05:30,166.25,166.25,158,158.85,162140
2021-02-11 00:00:00+05:30,158.85,163.8,158.6,161.25,66263
2021-02-12 00:00:00+05:30,160.5,162.85,154.7,159.35,105318
2021-02-15 00:00:00+05:30,161.5,161.7,156.4,157.2,57578
2021-02-16 00:00:00+05:30,157.2,169.85,156,166.25,148143
2021-02-17 00:00:00+05:30,167.6,169.1,162,164.05,115738
2021-02-18 00:00:00+05:30,164.8,166.45,162,162.6,54818
2021-02-19 00:00:00+05:30,162.6,163.4,160,161.25,48740
2021-02-22 00:00:00+05:30,162.05,163.05,156.3,157.4,61955
2021-02-23 00:00:00+05:30,156.1,174.6,156.1,167.3,670848
2021-02-24 00:00:00+05:30,169.6,180,169.45,175.25,402335
2021-02-25 00:00:00+05:30,176.4,178.6,174.15,174.7,149948
2021-02-26 00:00:00+05:30,170,173.65,166.8,168.7,131430
2021-03-01 00:00:00+05:30,170,175.3,170,173,111100
2021-03-02 00:00:00+05:30,173.9,173.9,169.3,170.6,72598
2021-03-03 00:00:00+05:30,170.6,177.7,170.4,174.7,150393
2021-03-04 00:00:00+05:30,171.2,183.6,171.2,178.4,197228
2021-03-05 00:00:00+05:30,177.6,187.6,176,178,370625
2021-03-08 00:00:00+05:30,178.1,182,170.9,172.45,141173
2021-03-09 00:00:00+05:30,172.8,174.2,166.8,168.55,101003
2021-03-10 00:00:00+05:30,169.8,181.15,161.95,178.95,214498
2021-03-12 00:00:00+05:30,180.8,187.2,180,181.1,255748
2021-03-15 00:00:00+05:30,182.8,187.2,178.75,182.65,83533
2021-03-16 00:00:00+05:30,182.65,189.9,182.2,183.9,119480
2021-03-17 00:00:00+05:30,185,185,170.8,172.95,107075
2021-03-18 00:00:00+05:30,174.4,180.2,169.4,171.1,88963
2021-03-19 00:00:00+05:30,166,173.6,164,172.5,79845
2021-03-22 00:00:00+05:30,173.9,173.9,167.3,169.05,54810
2021-03-23 00:00:00+05:30,171.9,177.55,170.7,174.6,70705
2021-03-24 00:00:00+05:30,175.4,186.8,170.05,170.6,49778
2021-03-25 00:00:00+05:30,168.1,172.1,164.45,166.25,68325
2021-03-26 00:00:00+05:30,169.9,171.2,161.9,164.6,76143
2021-03-30 00:00:00+05:30,168.8,170.35,164.95,166.75,35885
2021-03-31 00:00:00+05:30,169,171.1,167.2,168.6,28700
2021-04-01 00:00:00+05:30,170.8,173.15,167.15,170.4,43245
2021-04-05 00:00:00+05:30,171.5,171.5,164.4,165.5,41520
2021-04-06 00:00:00+05:30,165,169.6,163.25,164,54368
2021-04-07 00:00:00+05:30,165.4,166.8,162.45,163.45,85253
2021-04-08 00:00:00+05:30,164.75,168.8,160.05,162.6,86975
2021-04-09 00:00:00+05:30,164,165.55,162.1,162.7,58033
2021-04-12 00:00:00+05:30,158.4,160,150,151.85,91235
2021-04-13 00:00:00+05:30,147.85,154.7,147.85,152.65,47715
2021-04-15 00:00:00+05:30,149.1,152.25,146.8,147.95,69188
2021-04-16 00:00:00+05:30,151.2,151.9,148.2,149.9,43880
2021-04-19 00:00:00+05:30,145.8,145.8,134.7,138.65,164383
2021-04-20 00:00:00+05:30,139.25,142.7,136.1,136.8,45735
2021-04-22 00:00:00+05:30,136.8,141.6,136.1,139.45,40810
2021-04-23 00:00:00+05:30,141.5,141.5,136.5,137,33500
2021-04-26 00:00:00+05:30,137.6,141.1,137.6,138.1,34190
2021-04-27 00:00:00+05:30,138.2,153.6,138.2,150.85,143015
2021-04-28 00:00:00+05:30,151.95,155.5,149.15,151.25,65948
2021-04-29 00:00:00+05:30,153.25,153.25,150.2,150.6,33943
2021-04-30 00:00:00+05:30,151.2,165.6,151.2,157.6,174458
2021-05-03 00:00:00+05:30,157.2,172,154.5,166.85,143945
2021-05-04 00:00:00+05:30,166.8,169.6,162,163.3,97110
2021-05-05 00:00:00+05:30,164.8,166,162.7,164.2,22548
