date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,96,97.95,95,96.15,17727
2021-01-04 00:00:00+05:30,93.3,98,93.3,95.1,27467
2021-01-05 00:00:00+05:30,96.95,96.95,93.55,94.35,28770
2021-01-06 00:00:00+05:30,94.05,95.55,91,92.9,23110
2021-01-07 00:00:00+05:30,94.5,94.5,92.1,93.25,20364
2021-01-08 00:00:00+05:30,93.25,94.2,91.05,91.6,25340
2021-01-11 00:00:00+05:30,92.4,95,91,91.4,21787
2021-01-12 00:00:00+05:30,92.95,93.4,90,92.25,17311
2021-01-13 00:00:00+05:30,92.25,93.55,90.6,91.95,23928
2021-01-14 00:00:00+05:30,90.8,91.85,89.9,90.45,22076
2021-01-15 00:00:00+05:30,90.05,90.95,89,89.8,12615
2021-01-18 00:00:00+05:30,90,92,86.1,87.15,20733
2021-01-19 00:00:00+05:30,86.2,88.65,85.5,86.75,14857
2021-01-20 00:00:00+05:30,87.95,88.55,86,86.35,22746
2021-01-21 00:00:00+05:30,86.35,88.4,84,84.4,29080
2021-01-22 00:00:00+05:30,82.9,85.95,80.5,80.8,22136
2021-01-25 00:00:00+05:30,81.55,81.55,77,77.85,19859
2021-01-27 00:00:00+05:30,79.5,79.5,74.4,76.8,11244
2021-01-28 00:00:00+05:30,76.8,77.8,74.2,77.4,18674
2021-01-29 00:00:00+05:30,80,80,77.45,78.45,15451
2021-02-01 00:00:00+05:30,78.45,80,77,79.85,6952
2021-02-02 00:00:00+05:30,80,83.6,78.4,82.7,32379
2021-02-03 00:00:00+05:30,82.8,83.5,80.55,81.7,21247
2021-02-04 00:00:00+05:30,82.4,85.75,81.75,85.75,29028
2021-02-05 00:00:00+05:30,87,93.45,85.15,86.65,58305
2021-02-08 00:00:00+05:30,88,88.45,83.95,84.25,27358
2021-02-09 00:00:00+05:30,84.25,87.15,82,82.35,20332
2021-02-10 00:00:00+05:30,82.35,87.65,82.05,85.1,35682
2021-02-11 00:00:00+05:30,85.1,86.25,83.6,83.9,14165
2021-02-12 00:00:00+05:30,84.35,92.25,84.15,92.25,260139
2021-02-15 00:00:00+05:30,98.55,101.45,95,101.45,543328
2021-02-16 00:00:00+05:30,103,103,91.35,91.35,422553
2021-02-17 00:00:00+05:30,91,94.25,90.6,91.5,166509
2021-02-18 00:00:00+05:30,92.5,94,91,92.95,88053
2021-02-19 00:00:00+05:30,92.9,97.4,91,92,132610
2021-02-22 00:00:00+05:30,93.25,93.25,90,90.1,42751
2021-02-23 00:00:00+05:30,92.65,92.65,89,90,24049
2021-02-24 00:00:00+05:30,91.65,92,87,89.4,18311
2021-02-25 00:00:00+05:30,91.2,91.2,88,89.55,36547
2021-02-26 00:00:00+05:30,87.9,91.1,87,89.95,30885
2021-03-01 00:00:00+05:30,91,91,88.25,88.9,103817
2021-03-02 00:00:00+05:30,88.25,90.45,87.25,88.35,29654
2021-03-03 00:00:00+05:30,89.4,96.95,88.2,92.85,153586
2021-03-04 00:00:00+05:30,92.35,95,91.6,93.6,54626
