date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,95,97.5,89.2,97.5,10579
2021-01-04 00:00:00+05:30,102.2,102.35,93.15,102.3,7669
2021-01-05 00:00:00+05:30,97.25,107.4,97.25,103.15,7841
2021-01-06 00:00:00+05:30,105,106.95,98.5,99.7,9145
2021-01-07 00:00:00+05:30,101,103.45,94.75,95,8416
2021-01-08 00:00:00+05:30,97.95,97.95,90.25,90.25,26736
2021-01-11 00:00:00+05:30,90.25,92,87.1,88.35,5672
2021-01-12 00:00:00+05:30,91,91.75,85.1,90.2,4862
2021-01-13 00:00:00+05:30,86.5,90.9,86.5,86.85,3230
2021-01-14 00:00:00+05:30,89,89,85,86.95,1457
2021-01-15 00:00:00+05:30,84.15,86.8,82.65,83.85,10796
2021-01-18 00:00:00+05:30,81.2,86.95,79.7,82.4,11832
2021-01-19 00:00:00+05:30,82,84.8,80.5,80.85,6311
2021-01-20 00:00:00+05:30,82.9,83.6,79.25,81.05,2274
2021-01-21 00:00:00+05:30,81.3,84.9,79.25,80.25,5368
2021-01-22 00:00:00+05:30,80,82.1,80,81,2362
2021-01-25 00:00:00+05:30,81,81,77.5,80.05,1761
2021-01-27 00:00:00+05:30,80.05,80.05,76.15,79.95,1067
2021-01-28 00:00:00+05:30,76.25,81.9,76.1,78.1,1227
2021-01-29 00:00:00+05:30,78.1,80.85,74.2,77.25,10005
2021-02-01 00:00:00+05:30,76.5,78.95,74.15,77.55,1961
2021-02-02 00:00:00+05:30,77.55,81,76,80.7,3110
2021-02-03 00:00:00+05:30,80,83.5,76.7,79.5,9142
2021-02-04 00:00:00+05:30,82,82,79,81.25,1544
2021-02-05 00:00:00+05:30,81.25,82.5,78,78.2,2543
2021-02-08 00:00:00+05:30,80,81.65,78.6,79.2,412
2021-02-09 00:00:00+05:30,81.15,83.15,79.95,80.05,5462
2021-02-10 00:00:00+05:30,83.5,83.5,79.25,81.05,843
2021-02-11 00:00:00+05:30,83.5,84.8,82,82,1297
2021-02-12 00:00:00+05:30,80,84,77.9,81.9,47622
2021-02-15 00:00:00+05:30,81,81,77.85,78.4,22831
2021-02-16 00:00:00+05:30,79.7,81,76,78.55,5895
2021-02-17 00:00:00+05:30,76,79.95,76,77.5,1875
2021-02-18 00:00:00+05:30,78.8,79.5,76,76,815
2021-02-19 00:00:00+05:30,79.45,79.45,77,77,738
2021-02-22 00:00:00+05:30,77,77.5,77,77,345
2021-02-23 00:00:00+05:30,78.6,78.6,76.05,76.55,1952
2021-02-25 00:00:00+05:30,78.5,79,76.6,78.6,1451
2021-02-26 00:00:00+05:30,76.25,78.45,75.5,77.35,1353
2021-03-01 00:00:00+05:30,77.35,79.5,77.35,79.05,3049
2021-03-02 00:00:00+05:30,79.5,79.5,75.1,76.05,29341
