date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,15.15,16.35,15.15,15.85,15007
2021-01-04 00:00:00+05:30,16.2,17.25,15.65,17,107732
2021-01-05 00:00:00+05:30,18.25,18.25,17.25,17.7,108503
2021-01-06 00:00:00+05:30,18.25,18.65,17.3,17.65,74041
2021-01-07 00:00:00+05:30,18,18,17,17.2,17256
2021-01-08 00:00:00+05:30,17.8,17.8,17,17.15,29731
2021-01-11 00:00:00+05:30,17.3,17.4,16.65,17.05,19568
2021-01-12 00:00:00+05:30,17.4,17.4,16.3,16.65,16794
2021-01-13 00:00:00+05:30,16.85,17.3,16.3,16.55,20754
2021-01-14 00:00:00+05:30,17,17.7,16.6,16.8,11108
2021-01-15 00:00:00+05:30,16.85,16.9,16.35,16.5,26635
2021-01-18 00:00:00+05:30,15.3,16.55,15.3,15.85,14366
2021-01-19 00:00:00+05:30,16.9,17.5,16.15,16.95,44746
2021-01-20 00:00:00+05:30,16.55,17.9,16.55,17.55,123142
2021-01-21 00:00:00+05:30,18,18.45,17.4,17.6,81746
2021-01-22 00:00:00+05:30,17.25,17.95,16,16.65,19663
2021-01-25 00:00:00+05:30,17.45,17.45,15.75,16.1,11395
2021-01-27 00:00:00+05:30,16.45,16.45,15.35,15.65,8595
2021-01-28 00:00:00+05:30,15.4,15.95,15.25,15.9,3980
2021-01-29 00:00:00+05:30,16,16.65,15.5,15.95,8071
2021-02-01 00:00:00+05:30,15.7,16.5,15.7,16.1,17889
2021-02-02 00:00:00+05:30,15.9,16.2,14.25,15.35,48544
2021-02-03 00:00:00+05:30,15.75,16,15.35,15.55,21129
2021-02-04 00:00:00+05:30,15.5,15.9,15.4,15.6,9814
2021-02-05 00:00:00+05:30,15.8,16.9,15.8,16.3,59020
2021-02-08 00:00:00+05:30,16.3,16.7,16,16.15,10772
2021-02-09 00:00:00+05:30,16.1,16.65,15.85,16.05,10049
2021-02-10 00:00:00+05:30,16.2,16.4,15.3,15.95,10156
2021-02-11 00:00:00+05:30,15.8,16.5,14.55,15.75,17023
2021-02-12 00:00:00+05:30,15.4,16.3,15.15,16,24858
2021-02-15 00:00:00+05:30,15.95,16.2,15,15.25,24137
2021-02-16 00:00:00+05:30,15.15,15.9,15.15,15.5,18145
2021-02-17 00:00:00+05:30,15.4,15.75,15.3,15.35,15931
2021-02-18 00:00:00+05:30,15.15,16.9,15.15,16.35,88538
2021-02-19 00:00:00+05:30,16.45,16.9,15.55,15.8,23839
2021-02-22 00:00:00+05:30,15.5,15.95,15.1,15.45,14541
2021-02-23 00:00:00+05:30,15.45,16.35,15.35,16,33032
2021-02-24 00:00:00+05:30,16,16.5,15.65,16.1,8144
2021-02-25 00:00:00+05:30,16.45,16.5,15.6,15.9,21717
2021-02-26 00:00:00+05:30,15.75,17,15.7,16.8,71856
2021-03-01 00:00:00+05:30,17.45,17.5,16.55,16.85,25808
2021-03-02 00:00:00+05:30,17,17.45,16.55,16.9,42278
2021-03-03 00:00:00+05:30,17,20.25,17,20.15,461052
2021-03-04 00:00:00+05:30,19.7,20.85,18.6,19.95,353803
2021-03-05 00:00:00+05:30,19.75,23.9,19.6,23.9,453468
2021-03-08 00:00:00+05:30,25.2,25.45,21.7,22.95,431608
2021-03-09 00:00:00+05:30,23.45,24.2,22.1,22.2,109995
2021-03-10 00:00:00+05:30,23.4,23.4,20.5,20.8,82556
2021-03-12 00:00:00+05:30,21.3,21.3,19.8,20.1,65598
2021-03-15 00:00:00+05:30,20.1,20.5,19.2,19.6,14599
2021-03-16 00:00:00+05:30,19.1,20,18.65,19,13710
2021-03-17 00:00:00+05:30,18.2,19.85,18.2,18.65,11309
2021-03-18 00:00:00+05:30,19.5,19.5,17.8,18.05,11668
2021-03-19 00:00:00+05:30,17.8,18.95,17.25,18.7,8679
2021-03-22 00:00:00+05:30,19.4,19.55,18.25,18.6,7516
2021-03-23 00:00:00+05:30,19,19.5,18.1,19.2,14843
2021-03-24 00:00:00+05:30,19,19.35,18.3,18.35,8009
2021-03-25 00:00:00+05:30,18.35,18.5,17.45,17.55,10790
2021-03-26 00:00:00+05:30,16.8,18,16.75,17.45,15090
2021-03-30 00:00:00+05:30,17.45,18.3,16.9,17.05,15858
2021-03-31 00:00:00+05:30,17.8,17.85,16.55,17.65,9569
2021-04-01 00:00:00+05:30,17.8,18.4,17.15,18.1,12347
2021-04-05 00:00:00+05:30,19,19,17.7,17.9,14436
2021-04-06 00:00:00+05:30,17.9,18.3,17.25,17.9,4196
2021-04-07 00:00:00+05:30,18,18.7,17.5,18.4,5533
2021-04-08 00:00:00+05:30,18.4,19,17.5,18.2,8539
2021-04-09 00:00:00+05:30,17.6,18.95,17.6,18.25,10248
2021-04-12 00:00:00+05:30,18.75,18.75,17.35,17.7,3481
2021-04-13 00:00:00+05:30,17,17.95,16.95,17.5,1800
2021-04-15 00:00:00+05:30,17.85,18.35,17.05,17.7,9165
2021-04-16 00:00:00+05:30,17.5,18.5,17.5,18.15,7978
2021-04-19 00:00:00+05:30,18.55,18.55,17.3,17.4,7655
2021-04-20 00:00:00+05:30,17.75,17.9,17,17.05,4747
2021-04-22 00:00:00+05:30,17.1,17.75,16.55,17.65,11349
2021-04-23 00:00:00+05:30,17.65,18.45,16.8,17.75,17851
2021-04-26 00:00:00+05:30,18.4,18.6,18.2,18.6,10199
2021-04-27 00:00:00+05:30,18.3,19.5,18.05,18.5,34397
2021-04-28 00:00:00+05:30,18.5,19.4,18.5,18.95,28981
2021-04-29 00:00:00+05:30,18.95,19.85,18.15,19.85,58396
2021-04-30 00:00:00+05:30,19.85,20.8,19.8,20.65,105649
2021-05-03 00:00:00+05:30,20,21.65,20,21.65,107837
2021-05-04 00:00:00+05:30,22.7,22.7,20.7,21.05,153776
2021-05-05 00:00:00+05:30,21.45,22,20.4,21.2,50722
2021-05-06 00:00:00+05:30,21.55,22.2,20.4,20.65,40746
2021-05-07 00:00:00+05:30,21.2,21.65,20.5,21.25,64671
2021-05-10 00:00:00+05:30,21.6,22.3,21.5,22.3,131496
2021-05-11 00:00:00+05:30,22.1,23.4,22.1,23.4,78339
2021-05-12 00:00:00+05:30,24.5,24.55,23.45,24.5,169465
2021-05-14 00:00:00+05:30,25.1,25.1,23.3,23.7,101544
2021-05-17 00:00:00+05:30,23.4,24.5,23.4,23.85,87953
2021-05-18 00:00:00+05:30,24.05,24.25,23.1,23.4,56761
2021-05-19 00:00:00+05:30,23.5,24.25,22.6,22.85,48849
2021-05-20 00:00:00+05:30,23,23.45,22.15,22.25,29364
2021-05-21 00:00:00+05:30,22.05,22.6,21.3,21.5,38860
2021-05-24 00:00:00+05:30,22.5,22.5,20.8,21.85,36188
2021-05-25 00:00:00+05:30,22.3,22.7,21.4,21.65,39037
2021-05-26 00:00:00+05:30,22.2,22.6,21.9,22.2,41506
2021-05-27 00:00:00+05:30,22.2,23,21.25,21.6,21918
2021-05-28 00:00:00+05:30,21.65,22.05,21,21.1,10083
2021-05-31 00:00:00+05:30,21.25,21.9,21.2,21.35,19117
2021-06-01 00:00:00+05:30,21.45,21.45,21,21.15,11315
2021-06-02 00:00:00+05:30,21,21.8,20.8,21.5,33589
2021-06-03 00:00:00+05:30,22.05,22.55,21.75,22.05,44706
2021-06-04 00:00:00+05:30,22.4,23.15,22.25,23.15,72968
2021-06-07 00:00:00+05:30,24.3,24.3,24.25,24.3,78045
2021-06-08 00:00:00+05:30,25.5,25.5,24,25.5,210183
2021-06-09 00:00:00+05:30,26.75,26.75,25.1,25.75,247686
2021-06-10 00:00:00+05:30,26.25,27,26.25,27,73889
2021-06-11 00:00:00+05:30,28.35,28.35,28.05,28.35,80799
2021-06-14 00:00:00+05:30,29.75,29.75,26.95,28.6,192450
2021-06-15 00:00:00+05:30,28.1,29.4,27.2,27.45,98862
2021-06-16 00:00:00+05:30,26.55,27.9,26.1,26.2,77389
2021-06-17 00:00:00+05:30,27.2,27.2,25,26.45,17303
2021-06-18 00:00:00+05:30,25.25,26.85,25.15,25.45,23376
2021-06-21 00:00:00+05:30,25.45,26.5,24.2,26.35,23469
2021-06-22 00:00:00+05:30,25.2,27.5,25.1,26.05,47193
2021-06-23 00:00:00+05:30,27.05,27.05,24.95,25.2,16161
2021-06-24 00:00:00+05:30,25.2,26.45,24.1,26.35,43683
2021-06-25 00:00:00+05:30,26.8,27.45,25.6,27.25,100694
2021-06-28 00:00:00+05:30,28.4,28.6,28,28.6,68717
2021-06-29 00:00:00+05:30,29.8,30,29.8,30,89638
2021-06-30 00:00:00+05:30,31.5,31.5,31.5,31.5,78691
2021-07-01 00:00:00+05:30,33.05,33.05,32.25,33.05,103800
2021-07-02 00:00:00+05:30,34.7,34.7,34.7,34.7,49879
2021-07-05 00:00:00+05:30,36.4,36.4,36.4,36.4,28656
2021-07-06 00:00:00+05:30,38.2,38.2,34.6,36.4,129503
2021-07-07 00:00:00+05:30,34.6,34.6,34.6,34.6,20049
2021-07-08 00:00:00+05:30,32.9,36.3,32.9,34.8,193752
2021-07-09 00:00:00+05:30,34.95,34.95,33.1,33.75,61685
2021-07-12 00:00:00+05:30,34.45,35.4,34.45,35.4,41045
2021-07-13 00:00:00+05:30,37,37,34,35.45,56882
2021-07-14 00:00:00+05:30,35.95,36,33.7,34.3,34745
2021-07-15 00:00:00+05:30,33.65,33.65,32.6,32.6,43692
2021-07-16 00:00:00+05:30,32,32,31,31.2,34189
2021-07-19 00:00:00+05:30,30,32.75,29.65,32.75,38688
2021-07-20 00:00:00+05:30,31.5,33.9,31.15,31.15,38019
2021-07-22 00:00:00+05:30,30.55,32.35,29.8,30.1,23277
2021-07-23 00:00:00+05:30,29.2,30.55,28.6,28.8,52999
2021-07-26 00:00:00+05:30,29.25,30.2,28.15,30.2,36640
2021-07-27 00:00:00+05:30,30.85,31.7,29.6,31.7,77148
2021-07-28 00:00:00+05:30,32.4,33.2,30.2,30.4,81184
2021-07-29 00:00:00+05:30,29.75,31.35,29.65,30.85,49666
2021-07-30 00:00:00+05:30,31.5,31.5,29.4,29.7,28620
2021-08-02 00:00:00+05:30,30.8,30.8,29.3,29.45,19338
2021-08-03 00:00:00+05:30,30.05,30.05,28.2,28.45,36749
2021-08-04 00:00:00+05:30,29.05,29.05,27.05,27.05,65409
2021-08-05 00:00:00+05:30,26.2,26.45,25.7,25.75,32437
2021-08-06 00:00:00+05:30,25.05,27,25.05,27,14729
2021-08-09 00:00:00+05:30,27.8,28.35,25.65,25.65,63944
2021-08-10 00:00:00+05:30,25.4,26,24.4,24.55,38402
2021-08-11 00:00:00+05:30,24.75,25.75,23.5,24.35,52115
2021-08-12 00:00:00+05:30,24.95,25.45,24.1,25.1,25174
2021-08-13 00:00:00+05:30,25.75,25.75,24.1,24.6,10865
2021-08-16 00:00:00+05:30,23.75,25.45,23.75,25.25,27093
2021-08-17 00:00:00+05:30,26.4,26.5,25.7,26.5,37728
2021-08-18 00:00:00+05:30,27.6,27.8,25.3,25.65,58200
2021-08-20 00:00:00+05:30,24.65,25.5,24.55,24.75,19269
2021-08-23 00:00:00+05:30,25.85,25.85,23.55,23.55,21160
2021-08-24 00:00:00+05:30,24,24.65,22.4,24.35,31930
