date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,1.45,1.5,1.45,1.5,6469
2021-01-04 00:00:00+05:30,1.55,1.55,1.55,1.55,21395
2021-01-05 00:00:00+05:30,1.6,1.6,1.6,1.6,7220
2021-01-06 00:00:00+05:30,1.65,1.65,1.65,1.65,4489
2021-01-07 00:00:00+05:30,1.7,1.7,1.6,1.7,30831
2021-01-08 00:00:00+05:30,1.75,1.75,1.75,1.75,11767
2021-01-11 00:00:00+05:30,1.8,1.8,1.8,1.8,19939
2021-01-12 00:00:00+05:30,1.85,1.85,1.85,1.85,9001
2021-01-13 00:00:00+05:30,1.9,1.9,1.9,1.9,64875
2021-01-14 00:00:00+05:30,1.95,1.95,1.85,1.95,75934
2021-01-15 00:00:00+05:30,2,2,2,2,4216
2021-01-18 00:00:00+05:30,2.1,2.1,1.95,2.05,57706
2021-01-19 00:00:00+05:30,2.1,2.15,2.1,2.15,12711
2021-01-20 00:00:00+05:30,2.25,2.25,2.25,2.25,6490
2021-01-21 00:00:00+05:30,2.35,2.35,2.35,2.35,5443
2021-01-22 00:00:00+05:30,2.45,2.45,2.45,2.45,8324
2021-01-25 00:00:00+05:30,2.55,2.55,2.55,2.55,12078
2021-01-27 00:00:00+05:30,2.65,2.65,2.65,2.65,10483
2021-01-28 00:00:00+05:30,2.75,2.75,2.75,2.75,5726
2021-01-29 00:00:00+05:30,2.85,2.85,2.85,2.85,17531
2021-02-01 00:00:00+05:30,2.95,2.95,2.95,2.95,1940
2021-02-02 00:00:00+05:30,3.05,3.05,3.05,3.05,3405
2021-02-03 00:00:00+05:30,3.2,3.2,3.2,3.2,1661
2021-02-08 00:00:00+05:30,3.05,3.05,3.05,3.05,2250
2021-02-15 00:00:00+05:30,2.9,2.9,2.9,2.9,100
2021-03-01 00:00:00+05:30,2.8,2.8,2.8,2.8,700
2021-03-08 00:00:00+05:30,2.7,2.7,2.7,2.7,100
2021-03-09 00:00:00+05:30,2.6,2.6,2.6,2.6,208
2021-03-12 00:00:00+05:30,2.5,2.5,2.5,2.5,2000
2021-03-15 00:00:00+05:30,2.4,2.4,2.4,2.4,150
2021-03-16 00:00:00+05:30,2.3,2.3,2.3,2.3,100
2021-03-17 00:00:00+05:30,2.2,2.2,2.2,2.2,150
2021-03-18 00:00:00+05:30,2.1,2.1,2.1,2.1,7000
2021-03-19 00:00:00+05:30,2,2,2,2,150
2021-03-22 00:00:00+05:30,1.9,1.9,1.9,1.9,5900
2021-03-23 00:00:00+05:30,1.85,1.85,1.85,1.85,5000
2021-03-26 00:00:00+05:30,1.8,1.8,1.8,1.8,5555
2021-04-01 00:00:00+05:30,1.75,1.85,1.75,1.85,94376
2021-04-05 00:00:00+05:30,1.9,1.9,1.8,1.8,12860
2021-04-06 00:00:00+05:30,1.75,1.75,1.75,1.75,1000
2021-04-07 00:00:00+05:30,1.7,1.7,1.7,1.7,2000
2021-04-08 00:00:00+05:30,1.65,1.65,1.65,1.65,1000
2021-04-09 00:00:00+05:30,1.6,1.6,1.6,1.6,2000
2021-04-12 00:00:00+05:30,1.6,1.6,1.55,1.55,16036
2021-04-13 00:00:00+05:30,1.5,1.5,1.5,1.5,35031
2021-04-15 00:00:00+05:30,1.45,1.5,1.45,1.45,22014
2021-04-16 00:00:00+05:30,1.5,1.5,1.4,1.4,14415
2021-04-19 00:00:00+05:30,1.35,1.35,1.35,1.35,1450
2021-04-20 00:00:00+05:30,1.3,1.4,1.3,1.3,24639
2021-04-22 00:00:00+05:30,1.35,1.35,1.35,1.35,8292
2021-04-23 00:00:00+05:30,1.4,1.4,1.4,1.4,854
2021-04-26 00:00:00+05:30,1.45,1.45,1.45,1.45,72502
2021-04-27 00:00:00+05:30,1.5,1.5,1.4,1.5,20408
2021-04-28 00:00:00+05:30,1.55,1.55,1.55,1.55,13576
2021-04-29 00:00:00+05:30,1.6,1.6,1.6,1.6,29547
2021-04-30 00:00:00+05:30,1.65,1.65,1.65,1.65,8085
2021-05-03 00:00:00+05:30,1.7,1.7,1.7,1.7,961
2021-05-04 00:00:00+05:30,1.75,1.75,1.75,1.75,6712
2021-05-05 00:00:00+05:30,1.8,1.8,1.8,1.8,9398
2021-05-06 00:00:00+05:30,1.85,1.85,1.85,1.85,5556
2021-05-07 00:00:00+05:30,1.9,1.9,1.9,1.9,6618
2021-05-10 00:00:00+05:30,1.95,1.95,1.95,1.95,1012
2021-05-11 00:00:00+05:30,2,2,2,2,359
2021-05-12 00:00:00+05:30,2.1,2.1,2.1,2.1,3928
2021-05-14 00:00:00+05:30,2.2,2.2,2.2,2.2,2
2021-05-17 00:00:00+05:30,2.3,2.3,2.3,2.3,1452
2021-05-18 00:00:00+05:30,2.4,2.4,2.4,2.4,1301
2021-05-19 00:00:00+05:30,2.45,2.5,2.45,2.5,3080
2021-05-20 00:00:00+05:30,2.6,2.6,2.6,2.6,36
2021-05-21 00:00:00+05:30,2.7,2.7,2.7,2.7,6795
2021-05-24 00:00:00+05:30,2.8,2.8,2.8,2.8,4599
2021-05-31 00:00:00+05:30,2.7,2.75,2.7,2.7,31157
2021-06-07 00:00:00+05:30,2.8,2.8,2.8,2.8,10887
2021-06-14 00:00:00+05:30,2.9,2.9,2.9,2.9,12063
2021-06-21 00:00:00+05:30,2.9,3,2.9,3,7703
2021-06-28 00:00:00+05:30,3.15,3.15,3.15,3.15,16250
2021-07-05 00:00:00+05:30,3.3,3.3,3.3,3.3,21913
2021-07-12 00:00:00+05:30,3.3,3.3,3.3,3.3,7488
2021-07-19 00:00:00+05:30,3.3,3.3,3.3,3.3,8192
2021-07-26 00:00:00+05:30,3.3,3.3,3.3,3.3,15396
2021-08-02 00:00:00+05:30,3.3,3.3,3.3,3.3,8552
2021-08-09 00:00:00+05:30,3.45,3.45,3.45,3.45,12208
2021-08-16 00:00:00+05:30,3.45,3.45,3.45,3.45,9601
2021-08-23 00:00:00+05:30,3.45,3.45,3.45,3.45,19680
2021-08-30 00:00:00+05:30,3.45,3.45,3.45,3.45,27085
2021-09-06 00:00:00+05:30,3.45,3.45,3.45,3.45,9127
2021-09-13 00:00:00+05:30,3.45,3.45,3.45,3.45,848
2021-09-14 00:00:00+05:30,3.75,3.75,3.75,3.75,17751
2021-09-15 00:00:00+05:30,4.1,4.1,4.1,4.1,7579
2021-09-16 00:00:00+05:30,4.5,4.5,4.5,4.5,8295
2021-09-17 00:00:00+05:30,4.7,4.7,4.7,4.7,10962
2021-09-20 00:00:00+05:30,4.9,4.9,4.9,4.9,206
2021-09-21 00:00:00+05:30,5.1,5.1,5.1,5.1,127
2021-09-22 00:00:00+05:30,5.35,5.35,5.35,5.35,2166
2021-09-23 00:00:00+05:30,5.6,5.6,5.6,5.6,25800
2021-09-24 00:00:00+05:30,5.85,5.85,5.85,5.85,14850
2021-09-27 00:00:00+05:30,6.1,6.1,6.1,6.1,2189
2021-09-28 00:00:00+05:30,6.4,6.4,6.4,6.4,9338
2021-09-29 00:00:00+05:30,6.7,6.7,6.7,6.7,2146
2021-09-30 00:00:00+05:30,7,7,7,7,5132
2021-10-01 00:00:00+05:30,7.35,7.35,7.35,7.35,8180
2021-10-04 00:00:00+05:30,7.7,7.7,7.7,7.7,3476
2021-10-05 00:00:00+05:30,8.05,8.05,8.05,8.05,6630
2021-10-06 00:00:00+05:30,8.45,8.45,8.45,8.45,4692
2021-10-07 00:00:00+05:30,8.85,8.85,8.85,8.85,7376
2021-10-08 00:00:00+05:30,9.25,9.25,9.25,9.25,6706
2021-10-11 00:00:00+05:30,9.7,9.7,9.7,9.7,2240
2021-10-12 00:00:00+05:30,10.15,10.15,10.15,10.15,7167
2021-10-13 00:00:00+05:30,10.65,10.65,10.65,10.65,58237
2021-10-14 00:00:00+05:30,11.15,11.15,11.15,11.15,10547
2021-10-18 00:00:00+05:30,11.7,11.7,11.7,11.7,26093
2021-10-19 00:00:00+05:30,12.25,12.25,12.25,12.25,1975
2021-10-20 00:00:00+05:30,12.85,12.85,12.85,12.85,180149
2021-10-21 00:00:00+05:30,13.45,13.45,13.45,13.45,17768
2021-10-22 00:00:00+05:30,14.1,14.1,14.1,14.1,9734
2021-10-25 00:00:00+05:30,14.8,14.8,14.8,14.8,18838
2021-10-26 00:00:00+05:30,15.5,15.5,15.5,15.5,45328
2021-10-27 00:00:00+05:30,16.25,16.25,16.25,16.25,51374
2021-10-28 00:00:00+05:30,17.05,17.05,17.05,17.05,5199
2021-10-29 00:00:00+05:30,17.9,17.9,17.9,17.9,30460
2021-11-01 00:00:00+05:30,18.75,18.75,18.75,18.75,110650
2021-11-02 00:00:00+05:30,19.65,19.65,19.65,19.65,79455
2021-11-03 00:00:00+05:30,20.6,20.6,18.7,18.7,318775
2021-11-04 00:00:00+05:30,17.8,17.8,17.8,17.8,66250
2021-11-08 00:00:00+05:30,16.95,18.65,16.95,18.65,397296
2021-11-09 00:00:00+05:30,19.55,19.55,17.75,18.05,760688
2021-11-10 00:00:00+05:30,17.55,18.95,17.15,17.35,367646
2021-11-11 00:00:00+05:30,17.5,17.5,16.5,16.5,86254
2021-11-12 00:00:00+05:30,15.7,15.7,15.7,15.7,50019
2021-11-15 00:00:00+05:30,14.95,14.95,14.95,14.95,38641
2021-11-16 00:00:00+05:30,14.25,14.25,14.25,14.25,33031
2021-11-17 00:00:00+05:30,13.55,14.95,13.55,14.95,372559
2021-11-18 00:00:00+05:30,15.65,15.65,14.3,15.65,353257
2021-11-22 00:00:00+05:30,16.3,16.4,15.8,16.4,237598
2021-11-23 00:00:00+05:30,17.2,17.2,17,17.2,55957
2021-11-24 00:00:00+05:30,18.05,18.05,18.05,18.05,60041
2021-11-25 00:00:00+05:30,18.95,18.95,18.95,18.95,78662
2021-11-26 00:00:00+05:30,19.85,19.85,19.85,19.85,132348
2021-11-29 00:00:00+05:30,20.8,20.8,18.9,18.9,156825
2021-11-30 00:00:00+05:30,18,18,18,18,56909
2021-12-01 00:00:00+05:30,17.1,17.1,17.1,17.1,68002
2021-12-02 00:00:00+05:30,16.25,17.95,16.25,17.95,72699
2021-12-03 00:00:00+05:30,18.8,18.8,17.1,18.2,313942
2021-12-06 00:00:00+05:30,18.5,18.5,17.3,17.3,87432
2021-12-07 00:00:00+05:30,17.3,18.15,16.55,18.15,138435
2021-12-08 00:00:00+05:30,19,19.05,17.3,19.05,250015
2021-12-09 00:00:00+05:30,19.95,20,19.05,19.85,327754
2021-12-10 00:00:00+05:30,20.45,20.8,19.25,20.8,417510
2021-12-13 00:00:00+05:30,21.8,21.8,21.8,21.8,106014
2021-12-14 00:00:00+05:30,22.85,22.85,22.85,22.85,90659
2021-12-15 00:00:00+05:30,23.95,23.95,23.95,23.95,62112
2021-12-16 00:00:00+05:30,25.1,25.1,25.1,25.1,375553
2021-12-17 00:00:00+05:30,26.35,26.35,25,26.35,432333
2021-12-20 00:00:00+05:30,27.65,27.65,26.75,27.65,400441
2021-12-21 00:00:00+05:30,29,29,29,29,143749
2021-12-22 00:00:00+05:30,30.45,30.45,30.45,30.45,106146
2021-12-23 00:00:00+05:30,31.95,31.95,31.95,31.95,88253
2021-12-24 00:00:00+05:30,33.5,33.5,33.5,33.5,54181
2021-12-27 00:00:00+05:30,35.15,35.15,35.15,35.15,124411
2021-12-28 00:00:00+05:30,36.9,36.9,36.9,36.9,77037
2021-12-29 00:00:00+05:30,38.7,38.7,38.7,38.7,108131
2021-12-30 00:00:00+05:30,40.6,40.6,36.8,38.3,970277
2021-12-31 00:00:00+05:30,39.9,40.2,36.4,40.2,1025216
