date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,2.25,2.25,2.15,2.25,48656
2021-01-04 00:00:00+05:30,2.35,2.35,2.2,2.3,40982
2021-01-05 00:00:00+05:30,2.3,2.35,2.2,2.25,59463
2021-01-06 00:00:00+05:30,2.3,2.35,2.25,2.35,19269
2021-01-07 00:00:00+05:30,2.45,2.45,2.3,2.45,328559
2021-01-08 00:00:00+05:30,2.45,2.55,2.45,2.55,39685
2021-01-11 00:00:00+05:30,2.65,2.65,2.65,2.65,83111
2021-01-12 00:00:00+05:30,2.75,2.75,2.75,2.75,75915
2021-01-13 00:00:00+05:30,2.85,2.85,2.85,2.85,41323
2021-01-14 00:00:00+05:30,2.95,2.95,2.95,2.95,26136
2021-01-15 00:00:00+05:30,3.05,3.05,2.85,3,114461
2021-01-18 00:00:00+05:30,3.15,3.15,2.85,2.85,71614
2021-01-19 00:00:00+05:30,2.8,2.85,2.75,2.8,56800
2021-01-20 00:00:00+05:30,2.9,2.9,2.7,2.7,24522
2021-01-21 00:00:00+05:30,2.7,2.7,2.6,2.6,49971
2021-01-22 00:00:00+05:30,2.6,2.7,2.5,2.55,38349
2021-01-25 00:00:00+05:30,2.45,2.65,2.45,2.45,20291
2021-01-27 00:00:00+05:30,2.45,2.55,2.4,2.55,102501
2021-01-28 00:00:00+05:30,2.65,2.65,2.65,2.65,16142
2021-01-29 00:00:00+05:30,2.75,2.75,2.75,2.75,15095
2021-02-01 00:00:00+05:30,2.85,2.85,2.75,2.85,65019
2021-02-02 00:00:00+05:30,2.95,2.95,2.85,2.95,70478
2021-02-03 00:00:00+05:30,3,3.05,2.85,2.85,80813
2021-02-04 00:00:00+05:30,2.8,2.95,2.75,2.9,236782
2021-02-05 00:00:00+05:30,2.9,3,2.8,2.8,21412
2021-02-08 00:00:00+05:30,2.8,2.85,2.7,2.75,31001
2021-02-09 00:00:00+05:30,2.7,2.85,2.65,2.85,702651
2021-02-10 00:00:00+05:30,2.85,2.9,2.75,2.75,46069
2021-02-11 00:00:00+05:30,2.65,2.7,2.65,2.7,43697
2021-02-12 00:00:00+05:30,2.7,2.8,2.6,2.8,49521
2021-02-15 00:00:00+05:30,2.9,2.9,2.75,2.8,34505
2021-02-16 00:00:00+05:30,2.9,2.9,2.7,2.75,15052
2021-02-17 00:00:00+05:30,2.8,2.8,2.65,2.75,9819
2021-02-18 00:00:00+05:30,2.65,2.75,2.65,2.65,22450
2021-02-19 00:00:00+05:30,2.7,2.7,2.55,2.55,24094
2021-02-22 00:00:00+05:30,2.55,2.55,2.45,2.45,21706
2021-02-23 00:00:00+05:30,2.45,2.55,2.35,2.55,27874
2021-02-24 00:00:00+05:30,2.55,2.65,2.45,2.65,58434
2021-02-25 00:00:00+05:30,2.75,2.75,2.6,2.75,15771
2021-02-26 00:00:00+05:30,2.85,2.85,2.65,2.75,16962
2021-03-01 00:00:00+05:30,2.85,2.85,2.65,2.75,28139
2021-03-02 00:00:00+05:30,2.8,2.85,2.65,2.65,33664
2021-03-03 00:00:00+05:30,2.55,2.75,2.55,2.65,29144
2021-03-04 00:00:00+05:30,2.65,2.7,2.55,2.65,26644
2021-03-05 00:00:00+05:30,2.75,2.75,2.55,2.55,26820
2021-03-08 00:00:00+05:30,2.65,2.65,2.45,2.65,20712
2021-03-09 00:00:00+05:30,2.75,2.75,2.55,2.65,18920
2021-03-10 00:00:00+05:30,2.7,2.75,2.65,2.65,24981
2021-03-12 00:00:00+05:30,2.65,2.7,2.55,2.55,23166
2021-03-15 00:00:00+05:30,2.55,2.65,2.55,2.6,10727
2021-03-16 00:00:00+05:30,2.5,2.65,2.5,2.65,7856
2021-03-17 00:00:00+05:30,2.65,2.65,2.55,2.55,18882
2021-03-18 00:00:00+05:30,2.5,2.65,2.45,2.45,35631
2021-03-19 00:00:00+05:30,2.35,2.5,2.35,2.5,5315
2021-03-22 00:00:00+05:30,2.5,2.6,2.4,2.4,14200
