date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,76.4,78,73.35,74.4,22066
2021-01-04 00:00:00+05:30,77,78.1,74.4,78.1,87758
2021-01-05 00:00:00+05:30,78.15,80.2,75.7,79,59161
2021-01-06 00:00:00+05:30,79,80,76.1,77.55,46201
2021-01-07 00:00:00+05:30,77.55,77.55,75,76.4,24244
2021-01-08 00:00:00+05:30,77.95,77.95,75.5,75.85,22708
2021-01-11 00:00:00+05:30,77.4,77.4,73,74.45,40755
2021-01-12 00:00:00+05:30,73,76.75,73,74.45,16121
2021-01-13 00:00:00+05:30,77,77.15,72.5,73.95,39056
2021-01-14 00:00:00+05:30,75.8,75.8,72.1,73.7,15502
2021-01-15 00:00:00+05:30,74.7,74.7,72.5,73.3,17200
2021-01-18 00:00:00+05:30,74.8,74.8,70.3,72.6,26076
2021-01-19 00:00:00+05:30,72.6,74.85,72.5,74.4,22590
2021-01-20 00:00:00+05:30,74,74,72.35,73.15,16408
2021-01-21 00:00:00+05:30,73.15,75,72,73.2,32028
2021-01-22 00:00:00+05:30,73,73,70.05,70.9,23695
2021-01-25 00:00:00+05:30,70,73.85,69,69.2,17906
2021-01-27 00:00:00+05:30,69.2,71,65.75,67.05,25596
2021-01-28 00:00:00+05:30,67.05,70.4,64.5,70.4,16239
2021-01-29 00:00:00+05:30,69.05,73.4,69,69.75,9226
2021-02-01 00:00:00+05:30,72,72.85,67.7,70.95,16640
2021-02-02 00:00:00+05:30,68.8,73,68.8,71.85,21348
2021-02-03 00:00:00+05:30,72.95,73.5,70,70.9,45052
2021-02-04 00:00:00+05:30,68.5,73,68.5,70.3,18395
2021-02-05 00:00:00+05:30,70.2,72.4,69.25,69.65,27368
2021-02-08 00:00:00+05:30,70,74.1,69.75,71.5,57991
2021-02-09 00:00:00+05:30,70.25,73.45,70.25,71.3,48052
2021-02-10 00:00:00+05:30,70.55,73,70.2,72.15,52656
2021-02-11 00:00:00+05:30,70.7,74.8,69.55,70.8,61991
2021-02-12 00:00:00+05:30,71.95,71.95,70,70.1,22642
2021-02-15 00:00:00+05:30,70.3,72.4,69.9,70.3,49487
2021-02-16 00:00:00+05:30,71.7,71.7,69.7,70.05,30096
2021-02-17 00:00:00+05:30,72,72,68,68.8,40347
2021-02-18 00:00:00+05:30,68.85,70.35,68.3,69.15,16225
2021-02-19 00:00:00+05:30,69,72.1,63.15,68.55,124449
2021-02-22 00:00:00+05:30,68.25,72,68.25,70.35,54217
2021-02-23 00:00:00+05:30,71.8,71.8,68.85,69.15,20096
2021-02-24 00:00:00+05:30,70.05,70.1,67.45,69.8,26577
2021-02-25 00:00:00+05:30,70.95,70.95,68.5,70.15,49293
2021-02-26 00:00:00+05:30,71.4,71.4,65.55,68.2,28726
2021-03-01 00:00:00+05:30,71.2,71.2,67.5,67.95,28655
2021-03-02 00:00:00+05:30,67.5,70,67.5,68.7,53473
2021-03-03 00:00:00+05:30,68.85,71.5,68.55,70.6,107548
2021-03-04 00:00:00+05:30,69.9,71.1,69.05,70.45,25048
2021-03-05 00:00:00+05:30,71.7,72.5,69.85,70.15,54190
2021-03-08 00:00:00+05:30,71.45,77.15,70.45,77.15,165772
2021-03-09 00:00:00+05:30,80.85,81,72.15,73.35,222187
2021-03-10 00:00:00+05:30,75.4,75.4,71.15,72.05,93039
2021-03-12 00:00:00+05:30,73,74,72.5,73.3,30115
2021-03-15 00:00:00+05:30,75,75,73.5,73.75,59674
2021-03-16 00:00:00+05:30,74.95,81.1,73,78.9,420626
2021-03-17 00:00:00+05:30,77.5,79.85,72.1,72.6,206704
2021-03-18 00:00:00+05:30,74.85,76.5,69.45,69.9,82380
2021-03-19 00:00:00+05:30,73.8,73.8,68,70.5,70904
2021-03-22 00:00:00+05:30,72,75,70.35,72.6,125968
2021-03-23 00:00:00+05:30,73.05,74.75,72.15,73.85,43777
2021-03-24 00:00:00+05:30,75,75,71.5,71.8,24563
2021-03-25 00:00:00+05:30,70.6,72.4,64.7,66.2,132344
2021-03-26 00:00:00+05:30,68,69.35,65.5,66.05,70790
2021-03-30 00:00:00+05:30,64.35,67.75,64.35,64.85,26763
2021-03-31 00:00:00+05:30,64.9,66.8,64.5,65.05,23248
2021-04-01 00:00:00+05:30,66.05,68.75,65.6,68.35,36683
2021-04-05 00:00:00+05:30,66.6,67.95,64.8,65.95,31491
2021-04-06 00:00:00+05:30,66.6,72.5,64.35,72.5,62002
2021-04-07 00:00:00+05:30,74.7,76.25,71,72.7,101641
2021-04-08 00:00:00+05:30,73.9,77.8,71,72.65,92820
2021-04-09 00:00:00+05:30,73.85,75,71.4,71.9,54231
2021-04-12 00:00:00+05:30,71,73.1,66.65,70.05,79444
2021-04-13 00:00:00+05:30,71.45,75.15,69.1,73.55,95763
2021-04-15 00:00:00+05:30,71.3,77.1,69.5,74.9,130121
2021-04-16 00:00:00+05:30,77,89.85,75.15,88.2,1735348
