date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,2.65,2.7,2.65,2.7,2950
2021-01-04 00:00:00+05:30,2.7,2.7,2.7,2.7,930
2021-01-05 00:00:00+05:30,2.75,2.75,2.75,2.75,200
2021-01-06 00:00:00+05:30,2.75,2.85,2.75,2.75,1424
2021-01-08 00:00:00+05:30,2.7,2.7,2.7,2.7,200
2021-01-11 00:00:00+05:30,2.75,2.75,2.75,2.75,125
2021-01-12 00:00:00+05:30,2.85,2.85,2.85,2.85,200
2021-01-13 00:00:00+05:30,2.85,2.85,2.85,2.85,8
2021-01-14 00:00:00+05:30,2.95,2.95,2.95,2.95,265
2021-01-15 00:00:00+05:30,3.05,3.05,3.05,3.05,120
2021-01-19 00:00:00+05:30,3.2,3.2,3.2,3.2,3455
2021-01-20 00:00:00+05:30,3.3,3.3,3.3,3.3,56
2021-01-21 00:00:00+05:30,3.15,3.15,3.15,3.15,42
2021-01-22 00:00:00+05:30,3,3,3,3,500
2021-01-25 00:00:00+05:30,2.85,2.85,2.85,2.85,500
2021-02-03 00:00:00+05:30,2.9,2.9,2.9,2.9,750
2021-02-04 00:00:00+05:30,2.9,2.9,2.9,2.9,600
2021-02-05 00:00:00+05:30,2.9,2.9,2.9,2.9,300
2021-02-09 00:00:00+05:30,2.8,2.8,2.8,2.8,2500
2021-02-10 00:00:00+05:30,2.75,2.75,2.75,2.75,215
2021-02-11 00:00:00+05:30,2.7,2.7,2.7,2.7,101
2021-02-12 00:00:00+05:30,2.7,2.7,2.6,2.6,2300
2021-02-15 00:00:00+05:30,2.7,2.7,2.65,2.65,900
2021-02-16 00:00:00+05:30,2.65,2.65,2.65,2.65,1
2021-02-17 00:00:00+05:30,2.55,2.55,2.55,2.55,510
2021-02-18 00:00:00+05:30,2.45,2.45,2.45,2.45,3000
2021-02-19 00:00:00+05:30,2.45,2.45,2.45,2.45,600
2021-02-23 00:00:00+05:30,2.45,2.45,2.45,2.45,40
2021-02-25 00:00:00+05:30,2.45,2.45,2.45,2.45,8
2021-03-01 00:00:00+05:30,2.45,2.45,2.45,2.45,407
2021-03-02 00:00:00+05:30,2.35,2.35,2.35,2.35,98
2021-03-03 00:00:00+05:30,2.35,2.45,2.35,2.45,1001
2021-03-04 00:00:00+05:30,2.55,2.55,2.5,2.5,20709
2021-03-05 00:00:00+05:30,2.6,2.6,2.4,2.4,2770
2021-03-08 00:00:00+05:30,2.4,2.4,2.4,2.4,510
2021-03-09 00:00:00+05:30,2.4,2.4,2.4,2.4,228
2021-03-12 00:00:00+05:30,2.4,2.4,2.4,2.4,1600
2021-03-15 00:00:00+05:30,2.4,2.4,2.3,2.4,869
2021-03-16 00:00:00+05:30,2.4,2.4,2.4,2.4,1500
2021-03-17 00:00:00+05:30,2.35,2.35,2.35,2.35,1
2021-03-18 00:00:00+05:30,2.35,2.35,2.35,2.35,3124
2021-03-19 00:00:00+05:30,2.4,2.4,2.4,2.4,1291
