date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,46.8,46.8,46.1,46.7,22480
2022-01-04 00:00:00+05:30,47.6,47.6,46.05,47.4,37537
2022-01-05 00:00:00+05:30,48.15,48.2,46.5,46.6,34024
2022-01-06 00:00:00+05:30,47.25,47.35,45.7,46.5,43051
2022-01-07 00:00:00+05:30,46,47.4,46,47.25,40565
2022-01-10 00:00:00+05:30,47.5,48.15,46.6,48.15,22288
2022-01-11 00:00:00+05:30,49.1,49.1,48.05,48.8,25906
2022-01-12 00:00:00+05:30,48.1,48.95,47.85,47.85,22786
2022-01-13 00:00:00+05:30,48.3,48.3,46.9,46.9,23394
2022-01-14 00:00:00+05:30,46.15,47.7,46,46.15,19795
2022-01-17 00:00:00+05:30,46.9,46.9,45.25,45.25,23811
2022-01-18 00:00:00+05:30,45.65,45.9,44.35,44.4,18467
2022-01-19 00:00:00+05:30,44.4,45.25,43.55,45.25,37069
2022-01-20 00:00:00+05:30,44.45,46.15,44.45,46.15,16806
2022-01-21 00:00:00+05:30,47.05,47.05,47,47.05,19975
2022-01-24 00:00:00+05:30,47.95,47.95,46.6,47.8,64993
2022-01-25 00:00:00+05:30,48.25,48.25,46.85,46.85,9943
2022-01-27 00:00:00+05:30,45.95,47.45,45.95,46.4,21236
2022-01-28 00:00:00+05:30,45.5,45.5,45.5,45.5,3175
2022-01-31 00:00:00+05:30,44.6,44.6,44.6,44.6,2124
2022-02-01 00:00:00+05:30,43.75,43.75,43.75,43.75,4162
2022-02-02 00:00:00+05:30,42.9,42.9,42.9,42.9,4564
2022-02-03 00:00:00+05:30,42.05,42.05,42.05,42.05,3341
2022-02-04 00:00:00+05:30,41.25,41.25,41.25,41.25,7983
2022-02-07 00:00:00+05:30,40.45,40.45,40.45,40.45,2630
2022-02-08 00:00:00+05:30,39.65,39.65,39.65,39.65,1593
2022-02-09 00:00:00+05:30,38.9,38.9,38.9,38.9,5035
2022-02-10 00:00:00+05:30,38.15,38.15,38.15,38.15,2179
2022-02-11 00:00:00+05:30,37.4,37.4,37.4,37.4,839
2022-02-14 00:00:00+05:30,36.7,36.7,36.7,36.7,706
2022-02-15 00:00:00+05:30,36,36,36,36,1279
2022-02-16 00:00:00+05:30,35.3,36,35.3,35.3,51531
2022-02-17 00:00:00+05:30,34.6,34.6,34.6,34.6,1864
2022-02-18 00:00:00+05:30,33.95,33.95,33.95,33.95,3970
2022-02-21 00:00:00+05:30,33.3,33.3,33.3,33.3,415
2022-02-22 00:00:00+05:30,33.3,33.3,32.65,32.65,830
2022-02-23 00:00:00+05:30,32,32,32,32,1177
2022-02-24 00:00:00+05:30,31.4,31.4,31.4,31.4,779
2022-02-25 00:00:00+05:30,30.8,30.8,30.8,30.8,1527
2022-02-28 00:00:00+05:30,30.2,30.2,30.2,30.2,803
2022-03-02 00:00:00+05:30,29.6,29.6,29.6,29.6,1209
2022-03-03 00:00:00+05:30,29.05,30.15,29.05,29.05,75325
2022-03-04 00:00:00+05:30,28.5,28.5,28.5,28.5,1306
2022-03-07 00:00:00+05:30,27.95,27.95,27.95,27.95,793
2022-03-08 00:00:00+05:30,27.4,27.4,27.4,27.4,3717
2022-03-09 00:00:00+05:30,26.9,27.9,26.9,26.9,27666
2022-03-10 00:00:00+05:30,26.4,27.4,26.4,26.4,28198
2022-03-11 00:00:00+05:30,25.9,25.9,25.9,25.9,13544
2022-03-14 00:00:00+05:30,25.4,26.4,25.4,25.55,46895
2022-03-15 00:00:00+05:30,26.05,26.05,25.6,26.05,32315
2022-03-16 00:00:00+05:30,26.55,26.55,26.55,26.55,5128
2022-03-17 00:00:00+05:30,27.05,27.05,27.05,27.05,4104
2022-03-21 00:00:00+05:30,27.55,27.55,27.55,27.55,99
2022-03-22 00:00:00+05:30,28.05,28.1,27,28.1,94337
2022-03-23 00:00:00+05:30,28.65,28.65,28.65,28.65,490
2022-03-24 00:00:00+05:30,29.2,29.2,29.2,29.2,2762
2022-03-25 00:00:00+05:30,29.75,29.75,29.75,29.75,4090
2022-03-28 00:00:00+05:30,30.3,30.3,30.3,30.3,1278
2022-03-29 00:00:00+05:30,30.9,30.9,30.9,30.9,2227
2022-03-30 00:00:00+05:30,31.05,31.5,30.3,30.3,27683
2022-03-31 00:00:00+05:30,29.7,29.7,29.7,29.7,5769
2022-04-01 00:00:00+05:30,29.15,29.15,29.15,29.15,8378
2022-04-04 00:00:00+05:30,28.6,29.7,28.6,29.15,33686
2022-04-05 00:00:00+05:30,28.6,29.7,28.6,29.7,22255
2022-04-06 00:00:00+05:30,30.25,30.25,29.3,30.2,6890
2022-04-07 00:00:00+05:30,30.8,30.8,29.7,29.95,20714
2022-04-08 00:00:00+05:30,29.4,30.5,29.4,29.65,13314
