date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,16.25,16.5,16.1,16.35,1685269
2022-01-04 00:00:00+05:30,16.5,17.25,16.2,16.3,1486988
2022-01-05 00:00:00+05:30,16.4,16.45,15.55,15.85,1470108
2022-01-06 00:00:00+05:30,15.75,15.9,15.4,15.5,914472
2022-01-07 00:00:00+05:30,15.55,18.6,15.55,18.35,16616580
2022-01-10 00:00:00+05:30,19,20.6,18.6,19.9,9515681
2022-01-11 00:00:00+05:30,21,21.6,19.9,20.65,4402994
2022-01-12 00:00:00+05:30,20.95,20.95,18.6,18.8,3871540
2022-01-13 00:00:00+05:30,19.35,19.85,18.05,19.3,1697237
2022-01-14 00:00:00+05:30,19.3,19.8,18.65,19.35,1221809
2022-01-17 00:00:00+05:30,19.55,19.9,18.7,18.9,1378695
2022-01-18 00:00:00+05:30,19.05,19.2,18,18.2,995330
2022-01-19 00:00:00+05:30,18.05,18.95,17.95,18.3,1012762
2022-01-20 00:00:00+05:30,18.4,18.7,18.25,18.55,461377
2022-01-21 00:00:00+05:30,18.45,18.9,18,18.25,829649
2022-01-24 00:00:00+05:30,18.2,18.25,16.75,17.1,750392
2022-01-25 00:00:00+05:30,16.95,18,16.55,17.75,774211
2022-01-27 00:00:00+05:30,17.3,18,17.2,17.55,498983
2022-01-28 00:00:00+05:30,17.9,18,16.75,16.95,752321
2022-01-31 00:00:00+05:30,17.6,17.85,17.2,17.4,325946
2022-02-01 00:00:00+05:30,17.75,17.75,16.9,17.05,579424
2022-02-02 00:00:00+05:30,17.1,17.3,16.7,16.75,550797
2022-02-03 00:00:00+05:30,16.85,17.3,16.45,16.6,597977
2022-02-04 00:00:00+05:30,16.9,17.6,16.85,17.35,1055916
2022-02-07 00:00:00+05:30,17.7,18.75,17.55,18.4,1442297
2022-02-08 00:00:00+05:30,19,19.4,18,18.35,1006512
2022-02-09 00:00:00+05:30,18.55,18.8,17.45,17.9,740435
2022-02-10 00:00:00+05:30,18.05,18.05,17.55,17.65,373443
2022-02-11 00:00:00+05:30,17.45,18.5,17.3,17.6,596466
2022-02-14 00:00:00+05:30,17,17.6,16.5,16.65,546615
2022-02-15 00:00:00+05:30,16.7,16.9,15.15,15.9,1132370
2022-02-16 00:00:00+05:30,16.4,16.9,15.45,15.85,655366
2022-02-17 00:00:00+05:30,16.15,16.2,15.8,15.85,332430
2022-02-18 00:00:00+05:30,15.95,16.15,15.1,15.5,563610
2022-02-21 00:00:00+05:30,15.4,15.55,14.95,15.25,394079
2022-02-22 00:00:00+05:30,15,15.25,14.2,14.35,1200175
2022-02-23 00:00:00+05:30,14.45,15.1,14,14.1,1144607
2022-02-24 00:00:00+05:30,13.9,14.15,12.8,13.15,1681955
2022-02-25 00:00:00+05:30,13.5,13.8,13.1,13.55,1300715
2022-02-28 00:00:00+05:30,13.65,13.75,13.05,13.4,1240903
2022-03-02 00:00:00+05:30,13.3,13.65,13.1,13.2,846550
2022-03-03 00:00:00+05:30,13.5,13.95,13.4,13.65,762660
2022-03-04 00:00:00+05:30,13.6,13.9,13.3,13.6,505368
2022-03-07 00:00:00+05:30,13.5,14,13.3,13.75,567079
2022-03-08 00:00:00+05:30,13.75,14,13.5,13.85,538164
2022-03-09 00:00:00+05:30,14.15,14.6,13.95,14.5,476120
2022-03-10 00:00:00+05:30,14.9,15,14.3,14.4,528832
2022-03-11 00:00:00+05:30,14.5,14.7,14.25,14.35,276543
2022-03-14 00:00:00+05:30,14.3,14.45,13.85,14,365497
2022-03-15 00:00:00+05:30,14,14.25,13.8,13.9,386375
2022-03-16 00:00:00+05:30,14.05,14.15,13.85,14,449536
2022-03-17 00:00:00+05:30,14.15,14.25,13.9,14.15,306416
2022-03-21 00:00:00+05:30,14.3,14.45,14.1,14.2,501074
2022-03-22 00:00:00+05:30,14.2,14.2,13.8,13.95,471222
2022-03-23 00:00:00+05:30,14.1,14.15,13.8,13.9,494859
2022-03-24 00:00:00+05:30,13.9,13.95,13.65,13.75,394626
2022-03-25 00:00:00+05:30,13.75,13.9,13.5,13.55,416925
2022-03-28 00:00:00+05:30,13.5,13.7,12.95,13.15,872848
2022-03-29 00:00:00+05:30,13.15,13.4,12.85,13,3217125
2022-03-30 00:00:00+05:30,13.2,13.85,13.05,13.5,750306
2022-03-31 00:00:00+05:30,13.85,13.85,13.15,13.25,400583
2022-04-01 00:00:00+05:30,13.25,14,13.25,13.95,500514
2022-04-04 00:00:00+05:30,14.35,14.7,14.15,14.45,853375
2022-04-05 00:00:00+05:30,14.55,14.75,14.35,14.65,958455
2022-04-06 00:00:00+05:30,14.55,15.05,14.35,14.7,543913
2022-04-07 00:00:00+05:30,14.7,15.4,14.65,14.8,982087
2022-04-08 00:00:00+05:30,14.95,15.4,14.9,15.2,523295
