date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,392.9,410,391.55,407.4,928581
2022-01-04 00:00:00+05:30,409.5,412,393.85,399.85,433798
2022-01-05 00:00:00+05:30,394,398.5,387.25,390.85,291632
2022-01-06 00:00:00+05:30,385.1,388.5,380.85,384.05,214727
2022-01-07 00:00:00+05:30,387,392,372,374.45,457492
2022-01-10 00:00:00+05:30,374.05,383.65,374.05,376.25,278159
2022-01-11 00:00:00+05:30,376.4,380.5,371.15,376.05,244571
2022-01-12 00:00:00+05:30,376.9,381.45,374.05,376.05,255327
2022-01-13 00:00:00+05:30,377.3,379,362.75,364.1,441061
2022-01-14 00:00:00+05:30,364,371.4,357,364.6,249267
2022-01-17 00:00:00+05:30,367.9,369.95,360.5,362.1,215343
2022-01-18 00:00:00+05:30,362.95,370.9,355.15,357.55,375221
2022-01-19 00:00:00+05:30,353.1,367.25,351.45,361.85,223287
2022-01-20 00:00:00+05:30,361,365.7,359.85,360.9,121905
2022-01-21 00:00:00+05:30,360,360,338,348.3,358821
2022-01-24 00:00:00+05:30,340.05,345,316,317.8,716578
2022-01-25 00:00:00+05:30,317.8,341,305.05,339.25,549644
2022-01-27 00:00:00+05:30,335,340,326.35,338.3,255280
2022-01-28 00:00:00+05:30,340,349.95,329.75,332.2,195032
2022-01-31 00:00:00+05:30,335.9,339.45,327,330.2,192744
2022-02-01 00:00:00+05:30,332.7,354.95,330.5,342.6,462915
2022-02-02 00:00:00+05:30,347.7,352.55,340,342.1,131944
2022-02-03 00:00:00+05:30,344,344,335.55,338.45,89188
2022-02-04 00:00:00+05:30,339,355,339,352.95,359340
2022-02-07 00:00:00+05:30,351.45,361.45,348,352,364505
2022-02-08 00:00:00+05:30,352.9,360.75,340.5,359.25,263531
2022-02-09 00:00:00+05:30,360,362,348.2,355.95,185673
2022-02-10 00:00:00+05:30,357,360,351.05,356.25,675572
2022-02-11 00:00:00+05:30,356,363.55,351.2,357.95,1223219
2022-02-14 00:00:00+05:30,380,398,337.2,344.9,2671886
2022-02-15 00:00:00+05:30,344,352.7,332.85,338.2,963749
2022-02-16 00:00:00+05:30,341.55,369.4,340.75,357.35,1277284
2022-02-17 00:00:00+05:30,357.7,365,353.4,357.75,507714
2022-02-18 00:00:00+05:30,355.7,362.95,348.25,350.75,228199
2022-02-21 00:00:00+05:30,344,351,336,345.1,320706
2022-02-22 00:00:00+05:30,334.3,337.65,318.5,329.8,698365
2022-02-23 00:00:00+05:30,333,341.85,331.2,335.45,228454
2022-02-24 00:00:00+05:30,320,329.9,297.05,313.4,756492
2022-02-25 00:00:00+05:30,310,333.65,310,327.65,456578
2022-02-28 00:00:00+05:30,320,325.6,319,322.95,196882
2022-03-02 00:00:00+05:30,319.95,333.7,318.95,327,278222
2022-03-03 00:00:00+05:30,331.8,333.5,320.05,325.35,290069
2022-03-04 00:00:00+05:30,323,329,313.15,315.25,252422
2022-03-07 00:00:00+05:30,311,311.55,290.3,300.45,508980
2022-03-08 00:00:00+05:30,296,305.95,288.15,301.95,443826
2022-03-09 00:00:00+05:30,305,307.7,298,299.8,448712
2022-03-10 00:00:00+05:30,310.9,314.9,299.05,303.15,482918
2022-03-11 00:00:00+05:30,303,321.2,302,317.85,610340
2022-03-14 00:00:00+05:30,320,324.7,313.05,322.05,480065
2022-03-15 00:00:00+05:30,327,328,315.55,317.9,304439
2022-03-16 00:00:00+05:30,324,324,306.05,312.1,467649
2022-03-17 00:00:00+05:30,317.85,329.7,316,326.55,794489
2022-03-21 00:00:00+05:30,326,334,322.65,323.8,304192
2022-03-22 00:00:00+05:30,327,327,319,324.75,196458
2022-03-23 00:00:00+05:30,326.05,339.5,325,331.75,484742
2022-03-24 00:00:00+05:30,330.7,338.7,327,331.7,230714
2022-03-25 00:00:00+05:30,334.9,334.9,324,325.5,127501
2022-03-28 00:00:00+05:30,327.5,348,325,345.15,954280
2022-03-29 00:00:00+05:30,347,359.45,346.05,353.05,639887
2022-03-30 00:00:00+05:30,354,360,353.15,359.3,268066
2022-03-31 00:00:00+05:30,363,364.3,354.5,358.4,233239
2022-04-01 00:00:00+05:30,360,366.6,353.2,354.8,221367
2022-04-04 00:00:00+05:30,360,360,350.7,352.85,227016
2022-04-05 00:00:00+05:30,353.85,364.8,353.85,358.9,338850
2022-04-06 00:00:00+05:30,358.95,373.05,354.6,363.85,466047
2022-04-07 00:00:00+05:30,364.9,369.95,355,356.2,201494
2022-04-08 00:00:00+05:30,357.2,360.75,355,359.35,161530
