date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,16.35,16.95,16.3,16.95,1473881
2022-01-04 00:00:00+05:30,17.7,17.75,17,17.35,1199567
2022-01-05 00:00:00+05:30,17.65,17.65,16.65,17,832731
2022-01-06 00:00:00+05:30,16.85,17,16.5,16.9,492814
2022-01-07 00:00:00+05:30,16.9,17.7,16.75,17.4,1853018
2022-01-10 00:00:00+05:30,17.75,18.25,17.45,18.25,1576137
2022-01-11 00:00:00+05:30,19.15,19.15,18.3,19.15,1891946
2022-01-12 00:00:00+05:30,19.7,20.1,18.2,18.2,1953330
2022-01-13 00:00:00+05:30,17.55,17.85,17.3,17.3,559444
2022-01-14 00:00:00+05:30,17,18.1,16.6,17.55,1298043
2022-01-17 00:00:00+05:30,18.15,18.15,17.7,17.9,794853
2022-01-18 00:00:00+05:30,17.9,18.2,17.2,17.25,706284
2022-01-19 00:00:00+05:30,16.8,17.4,16.8,16.95,373833
2022-01-20 00:00:00+05:30,16.8,17.25,16.8,17.1,356624
2022-01-21 00:00:00+05:30,17.1,17.3,16.5,16.8,401151
2022-01-24 00:00:00+05:30,16.75,17,16,16.05,529486
2022-01-25 00:00:00+05:30,16,16.7,15.75,16.45,311001
2022-01-27 00:00:00+05:30,16.5,16.7,16.2,16.6,185320
2022-01-28 00:00:00+05:30,16.9,17.4,16.55,16.75,558986
2022-01-31 00:00:00+05:30,17.45,17.45,16.3,16.45,347988
2022-02-01 00:00:00+05:30,16.6,16.95,16.45,16.7,396530
2022-02-02 00:00:00+05:30,16.95,16.95,16.6,16.65,216997
2022-02-03 00:00:00+05:30,16.8,16.8,16.3,16.5,288865
2022-02-04 00:00:00+05:30,16.55,16.75,16.05,16.2,437487
2022-02-07 00:00:00+05:30,16.3,16.5,15.95,16.15,502259
2022-02-08 00:00:00+05:30,16.25,16.4,15.7,15.95,381705
2022-02-09 00:00:00+05:30,16.05,16.3,15.6,15.8,360532
2022-02-10 00:00:00+05:30,15.8,16.05,15.55,15.75,261755
2022-02-11 00:00:00+05:30,15.7,16.1,15.5,15.95,266058
2022-02-14 00:00:00+05:30,15.2,15.85,15.15,15.2,442919
2022-02-15 00:00:00+05:30,15.25,15.6,14.75,15.15,499791
2022-02-16 00:00:00+05:30,15.55,16,14.4,15.3,260861
2022-02-17 00:00:00+05:30,15.5,15.5,15.05,15.25,153039
2022-02-18 00:00:00+05:30,15.2,15.4,14.75,14.85,215744
2022-02-21 00:00:00+05:30,14.6,14.75,13.9,14.25,351086
2022-02-22 00:00:00+05:30,13.75,14.7,13.15,13.75,320764
2022-02-23 00:00:00+05:30,14,14.45,13.85,14.1,208445
2022-02-24 00:00:00+05:30,13.4,14.5,12.7,12.8,553696
2022-02-25 00:00:00+05:30,12.8,14.05,12.75,14,307833
2022-02-28 00:00:00+05:30,14,14.2,13.25,13.7,337673
2022-03-02 00:00:00+05:30,13.95,14.35,13.6,14,236629
2022-03-03 00:00:00+05:30,14.1,14.35,13.9,14,193182
2022-03-04 00:00:00+05:30,14.2,14.2,13.6,13.85,150040
2022-03-07 00:00:00+05:30,14,14,13.1,13.35,291804
2022-03-08 00:00:00+05:30,13.6,14.4,13.35,14.1,188889
2022-03-09 00:00:00+05:30,14.3,14.7,14,14.65,254283
2022-03-10 00:00:00+05:30,14.95,15.35,14.8,15,278237
2022-03-11 00:00:00+05:30,15,15.25,14.7,14.85,117815
2022-03-14 00:00:00+05:30,15,15.1,14,14.1,473053
2022-03-15 00:00:00+05:30,14.2,15.2,14.1,14.2,537904
2022-03-16 00:00:00+05:30,14.45,14.75,14.1,14.2,280389
2022-03-17 00:00:00+05:30,14.3,14.65,14.1,14.45,168155
2022-03-21 00:00:00+05:30,14.55,14.65,14.2,14.2,169925
2022-03-22 00:00:00+05:30,14.1,14.25,13.8,14.05,247185
2022-03-23 00:00:00+05:30,14.2,14.2,13.2,13.65,399480
2022-03-24 00:00:00+05:30,13.7,14.05,13.45,13.85,221924
2022-03-25 00:00:00+05:30,14,14.9,13.9,14.1,731514
2022-03-28 00:00:00+05:30,14.1,14.1,12.85,13.05,949343
2022-03-29 00:00:00+05:30,12.85,12.95,11.95,12.15,1452787
2022-03-30 00:00:00+05:30,12.6,13.35,12.35,13.35,634366
2022-03-31 00:00:00+05:30,13.9,14.65,13.65,14.65,1455056
2022-04-01 00:00:00+05:30,14.9,14.95,13.95,14.1,979826
2022-04-04 00:00:00+05:30,14.1,14.4,14,14.3,727067
2022-04-05 00:00:00+05:30,14.5,15.1,14.2,14.7,746460
2022-04-06 00:00:00+05:30,14.5,15.25,14.5,15.1,728213
2022-04-07 00:00:00+05:30,15.35,15.45,14.55,14.65,606526
2022-04-08 00:00:00+05:30,14.85,14.9,14.35,14.65,262745
