date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,980,990,933.6,949.15,1230345
2022-01-04 00:00:00+05:30,950,979.4,945,948.2,547020
2022-01-05 00:00:00+05:30,956.95,972,944.15,949.65,579219
2022-01-06 00:00:00+05:30,948.95,949,932,943.35,309324
2022-01-07 00:00:00+05:30,944.9,952.25,921,926.8,351816
2022-01-10 00:00:00+05:30,921.05,934,900.3,913.7,399663
2022-01-11 00:00:00+05:30,919,931.15,888.95,895.85,712598
2022-01-12 00:00:00+05:30,906.8,920,897,911,617614
2022-01-13 00:00:00+05:30,925.5,937.75,916.85,925.2,536427
2022-01-14 00:00:00+05:30,930,940,919.85,937,366488
2022-01-17 00:00:00+05:30,952,965.85,935,964.15,423294
2022-01-18 00:00:00+05:30,978,978,950,959.95,405864
2022-01-19 00:00:00+05:30,959,973,946.2,968.4,631600
2022-01-20 00:00:00+05:30,976,988.3,956.1,968.4,380243
2022-01-21 00:00:00+05:30,967,968.4,941.55,959.45,211851
2022-01-24 00:00:00+05:30,940.5,964.15,880.1,938.85,767000
2022-01-25 00:00:00+05:30,930,931.25,851.8,861.9,1008147
2022-01-27 00:00:00+05:30,837.7,843,800.25,819.8,1207405
2022-01-28 00:00:00+05:30,819,819,800.3,810.8,1069582
2022-01-31 00:00:00+05:30,805.1,869,805.1,864.3,691333
2022-02-01 00:00:00+05:30,872.3,887,857.5,872.1,547860
2022-02-02 00:00:00+05:30,890,929,875.8,922.7,601769
2022-02-03 00:00:00+05:30,925,926.55,896.4,912.2,652086
2022-02-04 00:00:00+05:30,912.2,916.95,901.95,909.1,292193
2022-02-07 00:00:00+05:30,908.3,914.15,895,902.95,169413
2022-02-08 00:00:00+05:30,901,912.1,873,879.55,175578
2022-02-09 00:00:00+05:30,880,904,876.95,893.75,159091
2022-02-10 00:00:00+05:30,894,903.7,869,896.25,413100
2022-02-11 00:00:00+05:30,880.05,901.9,874,899,271334
2022-02-14 00:00:00+05:30,854,868,813,825,681870
2022-02-15 00:00:00+05:30,830.5,848.75,784,840.9,685869
2022-02-16 00:00:00+05:30,848.25,854.05,837,844.3,208014
2022-02-17 00:00:00+05:30,849.95,849.95,820,833.2,363467
2022-02-18 00:00:00+05:30,829,837,813.2,830.45,207207
2022-02-21 00:00:00+05:30,819.95,835.45,810,829.25,185550
2022-02-22 00:00:00+05:30,800,830.5,790,814,210237
2022-02-23 00:00:00+05:30,819,845.4,805.5,826.45,299087
2022-02-24 00:00:00+05:30,800,817.6,770.9,777.4,395275
2022-02-25 00:00:00+05:30,780,845.6,780,835.55,297091
2022-02-28 00:00:00+05:30,823,854.7,803.8,850.2,289928
2022-03-02 00:00:00+05:30,840.95,852,828.3,849.75,267362
2022-03-03 00:00:00+05:30,855,874.8,841.1,859.8,324519
2022-03-04 00:00:00+05:30,859,874,842.3,860.8,395858
2022-03-07 00:00:00+05:30,840.1,848,816.9,830.95,408126
2022-03-08 00:00:00+05:30,825.4,834.7,815,829.85,418793
2022-03-09 00:00:00+05:30,836.25,850.75,825.4,846.15,478855
2022-03-10 00:00:00+05:30,879.1,896,853.25,883.3,457783
2022-03-11 00:00:00+05:30,880,905,861.85,900.1,449275
2022-03-14 00:00:00+05:30,908.65,908.65,878.2,886.3,236374
2022-03-15 00:00:00+05:30,888,929,881.65,918.65,534471
2022-03-16 00:00:00+05:30,925,948.8,919.05,937.1,547473
2022-03-17 00:00:00+05:30,949.8,955,896.95,911.6,421090
2022-03-21 00:00:00+05:30,918,967.95,913.15,963.85,489022
2022-03-22 00:00:00+05:30,962,962,930.35,938.05,351815
2022-03-23 00:00:00+05:30,946.45,952.2,905,908.7,502753
2022-03-24 00:00:00+05:30,911.95,926.5,897,901.75,413287
2022-03-25 00:00:00+05:30,910.45,916.9,895,900.2,176639
2022-03-28 00:00:00+05:30,896,932.9,888.8,907.15,448175
2022-03-29 00:00:00+05:30,916.1,917.65,900,906.75,162551
2022-03-30 00:00:00+05:30,914,934.9,914,928.15,212684
2022-03-31 00:00:00+05:30,928,939.55,910,914.6,233829
2022-04-01 00:00:00+05:30,912,944,911.95,941.35,522488
2022-04-04 00:00:00+05:30,950,955.25,935,943.3,360698
2022-04-05 00:00:00+05:30,949.8,1002,946.3,993.95,711849
2022-04-06 00:00:00+05:30,993.95,1024.9,986.1,1016.35,915550
2022-04-07 00:00:00+05:30,1012,1012,971.35,977.95,412043
2022-04-08 00:00:00+05:30,985,1018,958,1004.75,472740
