date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,879.95,880,852.25,863.75,7250
2022-01-04 00:00:00+05:30,877.7,934.95,867,891.1,14684
2022-01-05 00:00:00+05:30,890,902.95,871.7,875.75,10370
2022-01-06 00:00:00+05:30,870,877.45,855,861.3,7858
2022-01-07 00:00:00+05:30,855.15,875.7,834,840.2,13798
2022-01-10 00:00:00+05:30,850,865.7,820,837.25,11999
2022-01-11 00:00:00+05:30,839.7,852.35,818.7,823.95,14408
2022-01-12 00:00:00+05:30,837,839.8,827.05,833.75,5200
2022-01-13 00:00:00+05:30,833.75,834,805.05,815.3,18188
2022-01-14 00:00:00+05:30,831.6,831.6,806.1,813.2,11005
2022-01-17 00:00:00+05:30,836.95,836.95,812,819.9,6390
2022-01-18 00:00:00+05:30,829,831,785,789.05,14984
2022-01-19 00:00:00+05:30,802.6,809.8,791,794.55,9176
2022-01-20 00:00:00+05:30,813.95,813.95,761,763.35,17549
2022-01-21 00:00:00+05:30,761,767.8,736,743.65,18606
2022-01-24 00:00:00+05:30,745,746.05,684.85,697.05,33782
2022-01-25 00:00:00+05:30,706,836.45,673.7,792.95,46386
2022-01-27 00:00:00+05:30,789.95,816.45,756.05,801.2,22138
2022-01-28 00:00:00+05:30,819.95,819.95,775.55,779.75,9266
2022-01-31 00:00:00+05:30,780,809.6,780,805.05,8494
2022-02-01 00:00:00+05:30,804.7,818.85,759.25,773.35,25671
2022-02-02 00:00:00+05:30,761.65,828.85,761.65,821.95,20823
2022-02-03 00:00:00+05:30,834,834.05,792,803.3,5918
2022-02-04 00:00:00+05:30,803.3,810,784,787,4485
2022-02-07 00:00:00+05:30,799.95,799.95,764.1,767.1,5193
2022-02-08 00:00:00+05:30,781.8,800.55,760,766.75,6762
2022-02-09 00:00:00+05:30,769.95,777.35,769.05,772.95,1726
2022-02-10 00:00:00+05:30,772.95,792.35,760.8,766.1,10627
2022-02-11 00:00:00+05:30,769,798,760.05,779.6,2499
2022-02-14 00:00:00+05:30,779.7,809.95,732.4,747.65,16126
2022-02-15 00:00:00+05:30,742.05,849.25,742.05,789.4,70432
2022-02-16 00:00:00+05:30,796.95,808,775.3,799.3,11286
2022-02-17 00:00:00+05:30,799,804.15,785.45,794.65,2725
2022-02-18 00:00:00+05:30,780,797.75,777,780.9,3493
2022-02-21 00:00:00+05:30,783.6,827.65,760.55,779.5,9502
2022-02-22 00:00:00+05:30,761,779,735.1,760.3,13231
2022-02-23 00:00:00+05:30,780,809.85,763.65,791.55,12425
2022-02-24 00:00:00+05:30,757.55,776.2,709.45,733.45,19086
2022-02-25 00:00:00+05:30,744,791.3,731.2,737.8,17064
2022-02-28 00:00:00+05:30,732,764,731.9,761.5,4930
2022-03-02 00:00:00+05:30,760,790,750.65,785.15,10283
2022-03-03 00:00:00+05:30,800.85,816.95,786.9,812.35,8500
2022-03-04 00:00:00+05:30,816.95,816.95,770.75,778.7,5121
2022-03-07 00:00:00+05:30,795,809.7,744.2,796.75,11990
2022-03-08 00:00:00+05:30,799.9,808.95,789.65,805.55,5012
2022-03-09 00:00:00+05:30,805.55,830,797.55,821.15,7872
2022-03-10 00:00:00+05:30,844,850,828.95,840.5,11179
2022-03-11 00:00:00+05:30,839.9,868,832.4,861.75,8744
2022-03-14 00:00:00+05:30,882,924.4,850,916.8,34155
2022-03-15 00:00:00+05:30,920,944.2,903.6,918.35,22353
2022-03-16 00:00:00+05:30,940.1,960,920.55,932,12519
2022-03-17 00:00:00+05:30,938,955,921.1,947.1,17347
2022-03-21 00:00:00+05:30,956,967.1,950,963.15,10504
2022-03-22 00:00:00+05:30,955,964.65,950.1,954.25,3298
2022-03-23 00:00:00+05:30,962.25,962.25,923.15,943.05,5342
2022-03-24 00:00:00+05:30,945,945,922.2,929.9,2686
2022-03-25 00:00:00+05:30,925.6,946,925.6,940.15,4689
2022-03-28 00:00:00+05:30,968,974.45,935.5,966.75,9172
2022-03-29 00:00:00+05:30,966.75,1030,964,1002.2,36009
2022-03-30 00:00:00+05:30,992.15,1029.9,992.15,1008.8,6415
2022-03-31 00:00:00+05:30,990,1020,980.4,990.9,7516
2022-04-01 00:00:00+05:30,1010,1032,985.25,1022.8,10386
2022-04-04 00:00:00+05:30,1049,1080,1011.2,1020.35,16053
2022-04-05 00:00:00+05:30,1020.85,1020.85,975,981.4,14223
2022-04-06 00:00:00+05:30,981.4,981.4,950.1,954.3,9175
2022-04-07 00:00:00+05:30,955.45,998,952.05,984,5484
2022-04-08 00:00:00+05:30,985.05,1180.8,984.25,1121.1,259367
