date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,33.4,34,32.6,33.8,77155
2022-01-04 00:00:00+05:30,34.25,35.45,33.75,35.45,134391
2022-01-05 00:00:00+05:30,37.2,37.2,37.2,37.2,45282
2022-01-06 00:00:00+05:30,39.05,39.05,35.65,38.45,1225991
2022-01-07 00:00:00+05:30,39.4,39.75,36.55,37.15,413687
2022-01-10 00:00:00+05:30,37.65,39,37.65,38.95,448097
2022-01-11 00:00:00+05:30,39.55,39.55,37.05,37.15,185729
2022-01-12 00:00:00+05:30,38.4,38.65,36.4,37.45,350131
2022-01-13 00:00:00+05:30,37.45,38.6,37,37.95,183936
2022-01-14 00:00:00+05:30,38.5,39.35,37.55,37.95,461341
2022-01-17 00:00:00+05:30,39,39,37,37.55,164299
2022-01-18 00:00:00+05:30,38.3,38.3,35.7,35.85,150900
2022-01-19 00:00:00+05:30,34.6,37.6,34.6,35.9,1708315
2022-01-20 00:00:00+05:30,36,37.65,36,37.65,4152572
2022-01-21 00:00:00+05:30,39.2,39.5,38.15,39.35,2764142
2022-01-24 00:00:00+05:30,41.3,41.3,37.4,37.4,2693825
2022-01-25 00:00:00+05:30,37.5,38.9,35.8,38.3,433670
2022-01-27 00:00:00+05:30,37.6,37.95,36.4,36.8,398756
2022-01-28 00:00:00+05:30,37.9,38.6,35.85,36.45,643921
2022-01-31 00:00:00+05:30,36.9,37.25,35.55,36.15,337816
2022-02-01 00:00:00+05:30,36.85,37.4,35.05,35.8,277003
2022-02-02 00:00:00+05:30,37.35,37.55,36.5,37.35,1650421
2022-02-03 00:00:00+05:30,37.3,39.2,36.9,37.7,2033780
2022-02-04 00:00:00+05:30,37.4,39.55,37.4,39.45,1411463
2022-02-07 00:00:00+05:30,40.5,43.35,39.6,43.35,1325458
2022-02-08 00:00:00+05:30,45,45.6,40,43,1810597
2022-02-09 00:00:00+05:30,44.3,47.3,41.4,46,3334493
2022-02-10 00:00:00+05:30,46,46.2,42.7,43.45,1533641
2022-02-11 00:00:00+05:30,42.9,47.2,42.05,45.7,2604798
2022-02-14 00:00:00+05:30,44.9,44.9,41.15,41.4,1285369
2022-02-15 00:00:00+05:30,42,42.7,37.35,40.4,1200362
2022-02-16 00:00:00+05:30,40.95,41.4,37.7,38.1,988677
2022-02-17 00:00:00+05:30,37.95,38.5,36.55,36.85,895601
2022-02-18 00:00:00+05:30,37.85,38.9,35.8,37.65,413730
2022-02-21 00:00:00+05:30,38.4,40.3,36.65,37.65,1124449
2022-02-22 00:00:00+05:30,37,38.4,34.7,36.7,677236
2022-02-23 00:00:00+05:30,37.75,38.15,37,37.8,203659
2022-02-24 00:00:00+05:30,34.6,36.3,34.05,34.05,760090
2022-02-25 00:00:00+05:30,34,36.6,33.6,35.6,531105
2022-02-28 00:00:00+05:30,36,38.55,34.7,36.7,512442
2022-03-02 00:00:00+05:30,37.3,40.35,36.35,38.4,3163694
2022-03-03 00:00:00+05:30,31.95,33.5,30.4,33.5,147322
2022-03-04 00:00:00+05:30,35.15,35.15,35.15,35.15,35342
2022-03-07 00:00:00+05:30,36.6,36.85,33.5,34.6,205119
2022-03-08 00:00:00+05:30,35.75,35.75,32.9,33.05,136540
2022-03-09 00:00:00+05:30,33.05,33.9,32.1,33,132538
2022-03-10 00:00:00+05:30,33,34,31.35,32.9,252164
2022-03-11 00:00:00+05:30,32.25,33.1,32,32.65,194076
2022-03-14 00:00:00+05:30,32.7,33.7,31.1,31.7,176458
2022-03-15 00:00:00+05:30,32.25,32.5,30.15,30.35,231860
2022-03-16 00:00:00+05:30,31,31.85,31,31.15,232392
2022-03-17 00:00:00+05:30,32.5,35.85,31.75,32.25,1192926
2022-03-21 00:00:00+05:30,34,34.05,31.55,32.05,377951
2022-03-22 00:00:00+05:30,32.55,32.9,30.4,30.95,393502
2022-03-23 00:00:00+05:30,31.4,31.95,29.55,30,1141752
2022-03-24 00:00:00+05:30,30.3,32.95,27.65,30,2575503
2022-03-25 00:00:00+05:30,30.45,33.4,29.3,31.9,922414
2022-03-28 00:00:00+05:30,32.5,32.8,29.6,30.05,802823
2022-03-29 00:00:00+05:30,30.5,32.7,28.4,28.65,2264460
2022-03-30 00:00:00+05:30,28.5,30.75,28.5,29.85,2405102
2022-03-31 00:00:00+05:30,30,30.75,28.4,28.9,1112647
2022-04-01 00:00:00+05:30,29,31.35,28.95,29.1,1362022
2022-04-04 00:00:00+05:30,29.4,30.55,29,29.2,2008398
2022-04-05 00:00:00+05:30,29.6,31.65,29.2,31,4181897
2022-04-06 00:00:00+05:30,30.8,34.4,30.65,33.6,4388098
2022-04-07 00:00:00+05:30,33.7,34.95,32.55,33.2,2661824
2022-04-08 00:00:00+05:30,33.6,33.9,32.5,32.85,1188558
