date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,142.65,142.65,142.65,142.65,8238
2022-01-04 00:00:00+05:30,149.75,149.75,135.55,140.05,47530
2022-01-05 00:00:00+05:30,147,147,133.05,134,12266
2022-01-06 00:00:00+05:30,127.3,127.3,127.3,127.3,2852
2022-01-07 00:00:00+05:30,120.95,120.95,120.95,120.95,3886
2022-01-10 00:00:00+05:30,114.95,114.95,114.95,114.95,3114
2022-01-11 00:00:00+05:30,109.25,109.25,109.25,109.25,2184
2022-01-12 00:00:00+05:30,103.8,114.7,103.8,114.7,23786
2022-01-13 00:00:00+05:30,120.4,120.4,120.4,120.4,3083
2022-01-14 00:00:00+05:30,126.4,126.4,126.4,126.4,3064
2022-01-17 00:00:00+05:30,132.7,132.7,120.1,120.1,13641
2022-01-18 00:00:00+05:30,114.2,114.3,114.1,114.1,2027
2022-01-19 00:00:00+05:30,108.4,119.8,108.4,119.8,9538
2022-01-20 00:00:00+05:30,125.7,125.7,114.3,123.4,12753
2022-01-21 00:00:00+05:30,119,122.9,117.25,117.3,4001
2022-01-24 00:00:00+05:30,117.3,117.3,111.45,111.45,3675
2022-01-25 00:00:00+05:30,105.9,117,105.9,108.1,4104
2022-01-27 00:00:00+05:30,113,113.5,102.7,113,6484
2022-01-28 00:00:00+05:30,108,118.05,108,112.45,1660
2022-01-31 00:00:00+05:30,117,117,106.85,109.05,3127
2022-02-01 00:00:00+05:30,107.5,114.45,105,113.45,9602
2022-02-02 00:00:00+05:30,113.45,114.45,109.2,113.55,2141
2022-02-03 00:00:00+05:30,113.8,115,109,113,2663
2022-02-04 00:00:00+05:30,108.3,114,108.3,110,1530
2022-02-07 00:00:00+05:30,106.55,114,106.55,110.55,1464
2022-02-08 00:00:00+05:30,107.55,112.5,107.55,109.05,807
2022-02-09 00:00:00+05:30,105.45,114.5,105.45,113.9,6020
2022-02-10 00:00:00+05:30,117.75,117.75,109.8,117.2,4975
2022-02-11 00:00:00+05:30,113.1,123.05,113.1,123.05,26226
2022-02-14 00:00:00+05:30,129.1,129.2,123.1,128.65,11054
2022-02-15 00:00:00+05:30,131.8,134.95,127,132.7,6133
2022-02-16 00:00:00+05:30,138.1,139,127.2,136.8,8645
2022-02-17 00:00:00+05:30,135.25,143.3,132.5,141.35,8654
2022-02-18 00:00:00+05:30,148.15,148.4,141.65,148.1,14442
2022-02-21 00:00:00+05:30,148,155.5,144,155.05,56638
2022-02-22 00:00:00+05:30,159,162.8,147.3,162.6,84973
2022-02-23 00:00:00+05:30,162.6,170.7,155.5,166.5,121452
2022-02-24 00:00:00+05:30,166.7,174.8,158.2,174.5,151194
2022-02-25 00:00:00+05:30,170.1,178,165.8,170.05,100550
2022-02-28 00:00:00+05:30,161.55,161.55,161.55,161.55,508
2022-03-02 00:00:00+05:30,153.5,153.5,153.5,153.5,174
2022-03-03 00:00:00+05:30,145.85,145.85,145.85,145.85,640
2022-03-04 00:00:00+05:30,138.6,138.6,138.6,138.6,255885
2022-03-07 00:00:00+05:30,131.7,131.7,131.7,131.7,123301
2022-03-08 00:00:00+05:30,125.15,125.15,125.15,125.15,60391
2022-03-09 00:00:00+05:30,118.9,118.9,118.9,118.9,22740
2022-03-10 00:00:00+05:30,113,113,113,113,14065
2022-03-11 00:00:00+05:30,107.35,118,107.35,108,83216
2022-03-14 00:00:00+05:30,102.6,108,102.6,103.65,20334
2022-03-15 00:00:00+05:30,99,103,98.5,100.8,9857
2022-03-16 00:00:00+05:30,101.1,103,95.8,96.8,27542
2022-03-17 00:00:00+05:30,97,99,92,92.35,9512
2022-03-21 00:00:00+05:30,94.2,94.2,87.75,87.75,5311
2022-03-22 00:00:00+05:30,83.4,83.4,83.4,83.4,1421
2022-03-23 00:00:00+05:30,79.25,87,79.25,80.1,224545
2022-03-24 00:00:00+05:30,76.5,80,76.1,76.1,272097
2022-03-25 00:00:00+05:30,76.1,79.9,72.5,79.9,349965
2022-03-28 00:00:00+05:30,83.85,83.85,83.85,83.85,872
2022-03-29 00:00:00+05:30,88,88,88,88,47573
2022-03-30 00:00:00+05:30,92.4,92.4,92.4,92.4,3133
2022-03-31 00:00:00+05:30,97,97,97,97,2418
2022-04-01 00:00:00+05:30,101.85,101.85,101.85,101.85,2406
2022-04-04 00:00:00+05:30,104.95,106.9,96.8,96.8,26227
2022-04-05 00:00:00+05:30,92.5,100.05,92,92.45,21554
2022-04-06 00:00:00+05:30,87.9,92.35,87.9,89.85,10932
2022-04-07 00:00:00+05:30,91.65,94.3,88.4,94.2,12017
2022-04-08 00:00:00+05:30,98.4,98.4,89.5,90,8961
