date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,100.85,103.85,100.65,102.7,2729802
2022-01-04 00:00:00+05:30,103.3,105.4,101.5,104.9,2723054
2022-01-05 00:00:00+05:30,105,108.6,103.35,107.9,3010416
2022-01-06 00:00:00+05:30,105.15,107,104.4,105.05,2181281
2022-01-07 00:00:00+05:30,105,106.4,102.1,102.75,1436767
2022-01-10 00:00:00+05:30,102.9,104.6,102.45,102.75,1408368
2022-01-11 00:00:00+05:30,103,103.75,101.7,101.9,803447
2022-01-12 00:00:00+05:30,102.3,103.4,101.65,101.95,716824
2022-01-13 00:00:00+05:30,102.05,106.8,101.4,104.55,1671276
2022-01-14 00:00:00+05:30,104.7,106.85,103.5,103.95,2472133
2022-01-17 00:00:00+05:30,104.75,105.5,103.75,104.15,796464
2022-01-18 00:00:00+05:30,104.6,104.6,101.45,101.8,929139
2022-01-19 00:00:00+05:30,101.6,101.7,99,100.75,1515220
2022-01-20 00:00:00+05:30,100.75,101.6,99.25,99.7,854941
2022-01-21 00:00:00+05:30,98.95,101.9,96.5,97.8,1193596
2022-01-24 00:00:00+05:30,97.5,97.9,92.2,93.8,1586290
2022-01-25 00:00:00+05:30,92,97.15,91.1,96.75,890791
2022-01-27 00:00:00+05:30,95,96.75,94.1,96.25,735599
2022-01-28 00:00:00+05:30,97,100,95.1,95.8,993040
2022-01-31 00:00:00+05:30,97.3,101,97,98.4,721919
2022-02-01 00:00:00+05:30,100,102.2,98.15,99.75,1486288
2022-02-02 00:00:00+05:30,100.55,101.7,100.15,100.35,598578
2022-02-03 00:00:00+05:30,100.3,100.75,98.15,98.5,751296
2022-02-04 00:00:00+05:30,98.55,99.45,97.4,97.95,727618
2022-02-07 00:00:00+05:30,99.75,99.85,98.05,98.5,847210
2022-02-08 00:00:00+05:30,98.9,98.9,94.2,94.6,1497852
2022-02-09 00:00:00+05:30,95.6,96.55,94.2,96,738706
2022-02-10 00:00:00+05:30,96.05,96.75,95.2,96.15,447999
2022-02-11 00:00:00+05:30,95.5,95.95,93.5,94.2,488450
2022-02-14 00:00:00+05:30,94.2,94.85,89.95,90.3,1083603
2022-02-15 00:00:00+05:30,91.1,92.75,87.55,92.45,1253044
2022-02-16 00:00:00+05:30,94,95.9,93.45,94.4,693987
2022-02-17 00:00:00+05:30,95.9,97.25,94.8,96.35,924078
2022-02-18 00:00:00+05:30,95.5,98.6,95,97.05,1025278
2022-02-21 00:00:00+05:30,97.85,97.85,91,93.25,637917
2022-02-22 00:00:00+05:30,91,92.4,89.9,90.9,790671
2022-02-23 00:00:00+05:30,92,93.75,91,92.05,506408
2022-02-24 00:00:00+05:30,90,90.4,80.15,81.7,1801482
2022-02-25 00:00:00+05:30,87,93.9,85.15,91.45,1823424
2022-02-28 00:00:00+05:30,90,93.5,87.2,93.1,1101745
2022-03-02 00:00:00+05:30,92,93.1,91.1,91.4,560109
2022-03-03 00:00:00+05:30,91.6,95.05,91.5,92.05,467031
2022-03-04 00:00:00+05:30,91.4,92.15,90,90.25,647037
2022-03-07 00:00:00+05:30,88.1,89,86,86.4,763309
2022-03-08 00:00:00+05:30,86.9,90.8,86.85,89.15,759709
2022-03-09 00:00:00+05:30,90.5,90.8,89.15,90,643845
2022-03-10 00:00:00+05:30,92.7,93,89.65,90.3,858639
2022-03-11 00:00:00+05:30,90.2,91.65,90.05,91.05,613151
2022-03-14 00:00:00+05:30,91.5,91.95,89.3,90.35,704483
2022-03-15 00:00:00+05:30,90.35,90.95,88.6,89,586336
2022-03-16 00:00:00+05:30,90.1,91.3,87.6,89.65,487649
2022-03-17 00:00:00+05:30,90.95,93.3,89.6,91.65,933492
2022-03-21 00:00:00+05:30,92.5,93.15,91,91.65,678660
2022-03-22 00:00:00+05:30,91.7,92,89.75,90.65,656354
2022-03-23 00:00:00+05:30,91,91.75,88.2,89.65,713712
2022-03-24 00:00:00+05:30,89,90.55,88.95,89.75,379751
2022-03-25 00:00:00+05:30,90.1,90.9,89.25,89.5,728025
2022-03-28 00:00:00+05:30,90,90.2,87.5,87.75,657987
2022-03-29 00:00:00+05:30,87.9,88.95,86,86.2,1574134
2022-03-30 00:00:00+05:30,87.55,88.1,85.5,85.8,1004235
2022-03-31 00:00:00+05:30,86,87.5,85.5,85.8,1281995
2022-04-01 00:00:00+05:30,86.5,89.9,86.05,89.45,890045
2022-04-04 00:00:00+05:30,90.25,91.1,88.75,90.05,1817103
2022-04-05 00:00:00+05:30,90.9,94.25,90.35,92.8,2122700
2022-04-06 00:00:00+05:30,92.5,94.9,91.7,94.05,1015028
2022-04-07 00:00:00+05:30,94.6,94.65,92.5,93,688108
2022-04-08 00:00:00+05:30,93.25,93.95,90,92.95,739579
