date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,49.15,50.25,49.15,49.8,29463
2022-01-04 00:00:00+05:30,49.8,50,48.6,49.35,53327
2022-01-05 00:00:00+05:30,50.2,51.85,49.1,50.25,225129
2022-01-06 00:00:00+05:30,50.35,50.55,49.6,50.15,35513
2022-01-07 00:00:00+05:30,49.75,52.9,49.65,51.05,245320
2022-01-10 00:00:00+05:30,52.4,52.9,50.8,51.9,57660
2022-01-11 00:00:00+05:30,51.85,51.85,50.35,50.9,53371
2022-01-12 00:00:00+05:30,50.9,51.7,50.15,50.3,44049
2022-01-13 00:00:00+05:30,50.9,51.7,49.4,50.05,90637
2022-01-14 00:00:00+05:30,50.05,51,49.5,50.55,41530
2022-01-17 00:00:00+05:30,50.9,51.7,50.6,50.8,89917
2022-01-18 00:00:00+05:30,50.5,51.85,49.9,50.2,95986
2022-01-19 00:00:00+05:30,49.35,51.45,49.35,50,65269
2022-01-20 00:00:00+05:30,50.8,50.9,49.65,49.95,27930
2022-01-21 00:00:00+05:30,50.6,50.6,49,49.55,49653
2022-01-24 00:00:00+05:30,49.9,50.4,46.1,47.45,85108
2022-01-25 00:00:00+05:30,47.5,47.75,46.25,47.2,30545
2022-01-27 00:00:00+05:30,46,47.95,46,46.75,34844
2022-01-28 00:00:00+05:30,47.9,48.45,47,47.25,30703
2022-01-31 00:00:00+05:30,48.75,48.75,46.65,47.35,45114
2022-02-01 00:00:00+05:30,48,48.5,46.85,48.1,48907
2022-02-02 00:00:00+05:30,49,51,48.4,49.75,130449
2022-02-03 00:00:00+05:30,50.4,50.4,49,49.5,24463
2022-02-04 00:00:00+05:30,50,50,48.7,49.25,22075
2022-02-07 00:00:00+05:30,49.9,51.7,48.8,49.15,110269
2022-02-08 00:00:00+05:30,48.8,50,47.8,48,29905
2022-02-09 00:00:00+05:30,49.8,49.8,48.35,48.55,28346
2022-02-10 00:00:00+05:30,48.3,49.3,48,48.5,29652
2022-02-11 00:00:00+05:30,48.85,49,46.65,47,48238
2022-02-14 00:00:00+05:30,46,46.9,45.05,45.4,41462
2022-02-15 00:00:00+05:30,44.6,46.8,44.25,45.7,48349
2022-02-16 00:00:00+05:30,46.75,47.8,45.45,45.8,45942
2022-02-17 00:00:00+05:30,46.9,47.35,45.1,45.4,41020
2022-02-18 00:00:00+05:30,44.5,45.55,43.65,44.05,29419
2022-02-21 00:00:00+05:30,44.05,44.8,42.05,42.2,66754
2022-02-22 00:00:00+05:30,41.8,41.8,38.95,40.8,80870
2022-02-23 00:00:00+05:30,42.7,42.75,40.35,40.65,43368
2022-02-24 00:00:00+05:30,38.5,40.6,36.7,37.4,136787
2022-02-25 00:00:00+05:30,39.5,40.7,38.95,39.45,72200
2022-02-28 00:00:00+05:30,39.9,40.3,38.65,40.05,38662
2022-03-02 00:00:00+05:30,39.1,40.6,39.1,40,49647
2022-03-03 00:00:00+05:30,41.4,41.4,39.75,40.15,26909
2022-03-04 00:00:00+05:30,39.2,40.4,39,39.4,34092
2022-03-07 00:00:00+05:30,39,39.45,37.95,38.15,41436
2022-03-08 00:00:00+05:30,38.9,40.65,38.65,39.3,31212
2022-03-09 00:00:00+05:30,39.9,41.4,39.9,40.95,79081
2022-03-10 00:00:00+05:30,41.55,43.45,40.95,42.05,33127
2022-03-11 00:00:00+05:30,42.8,46.8,41.75,45.65,300099
2022-03-14 00:00:00+05:30,47.95,48,44.1,45.15,157321
2022-03-15 00:00:00+05:30,45,47.75,44.1,44.45,184413
2022-03-16 00:00:00+05:30,45.7,47.55,44.95,46.55,266231
2022-03-17 00:00:00+05:30,47.5,47.75,45.1,45.7,98640
2022-03-21 00:00:00+05:30,45.7,47.45,45.7,46.1,140684
2022-03-22 00:00:00+05:30,46.4,47,45.35,45.7,79744
2022-03-23 00:00:00+05:30,46.8,46.8,45.05,45.05,38425
2022-03-24 00:00:00+05:30,45.7,45.7,43.05,43.7,121866
2022-03-25 00:00:00+05:30,43.8,46,43.5,44.15,79858
2022-03-28 00:00:00+05:30,45,45,42.3,42.6,120543
2022-03-29 00:00:00+05:30,43.05,44.95,42.05,42.45,171246
2022-03-30 00:00:00+05:30,43.5,44.9,42.5,43.05,120259
2022-03-31 00:00:00+05:30,43,44.7,42.5,42.75,113861
2022-04-01 00:00:00+05:30,43.75,50.85,42.75,48.25,798885
2022-04-04 00:00:00+05:30,48.7,49.95,47.55,48.95,257143
2022-04-05 00:00:00+05:30,49,51.6,48.05,48.5,187936
2022-04-06 00:00:00+05:30,48.1,54,48.1,53.25,584582
2022-04-07 00:00:00+05:30,53.7,53.7,50.7,51.1,183694
2022-04-08 00:00:00+05:30,51.65,52.4,49.6,50.25,76249
