date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,78.5,91.8,76.35,91.8,621183
2022-01-04 00:00:00+05:30,99,102,91.8,92.9,1119317
2022-01-05 00:00:00+05:30,93.4,99.95,88.75,94.4,280959
2022-01-06 00:00:00+05:30,90.8,94.2,89.35,90.3,63653
2022-01-07 00:00:00+05:30,91,93.95,89.9,90.7,47811
2022-01-10 00:00:00+05:30,92,92.45,86.55,87.95,44168
2022-01-11 00:00:00+05:30,87.95,91.65,85.6,87.7,54227
2022-01-12 00:00:00+05:30,86.6,98.7,86.05,95.8,144477
2022-01-13 00:00:00+05:30,97,105.6,92.45,103.1,448655
2022-01-14 00:00:00+05:30,105,112.65,103.35,105.9,783055
2022-01-17 00:00:00+05:30,106.55,109.45,102.35,104.25,96688
2022-01-18 00:00:00+05:30,105.1,105.1,96.35,98.85,79845
2022-01-19 00:00:00+05:30,97,102.75,97,98.5,29218
2022-01-20 00:00:00+05:30,98.5,99.85,96.35,97.2,23336
2022-01-21 00:00:00+05:30,93.55,95.4,91,91.95,49842
2022-01-24 00:00:00+05:30,93.65,108.95,89.1,99.85,342992
2022-01-25 00:00:00+05:30,96.6,98.8,92.35,96.1,66756
2022-01-27 00:00:00+05:30,93.1,98.8,91.2,92.4,35247
2022-01-28 00:00:00+05:30,94.95,95.05,90.2,91.5,19219
2022-01-31 00:00:00+05:30,94.8,94.8,90.55,91.2,20215
2022-02-01 00:00:00+05:30,92,94.45,90.05,91.45,14751
2022-02-02 00:00:00+05:30,93.7,93.7,90.3,91.15,20673
2022-02-03 00:00:00+05:30,91.05,101.7,91,100.85,197782
2022-02-04 00:00:00+05:30,102.7,105.05,98.35,104.15,256971
2022-02-07 00:00:00+05:30,104.1,111.5,104,105.25,212568
2022-02-08 00:00:00+05:30,104.95,108,98.9,99.7,29439
2022-02-09 00:00:00+05:30,99.4,103.65,98.05,101.3,24721
2022-02-10 00:00:00+05:30,99.35,102.4,95.45,99.25,19328
2022-02-11 00:00:00+05:30,96.3,113.65,95.8,97.05,241407
2022-02-14 00:00:00+05:30,96.5,96.5,92.5,93.3,19180
2022-02-15 00:00:00+05:30,95.05,97.9,92.15,94.15,14009
2022-02-16 00:00:00+05:30,95,100.95,92.65,96.1,49342
2022-02-17 00:00:00+05:30,95.2,99.3,92.6,93.7,38989
2022-02-18 00:00:00+05:30,93.1,97.4,92.4,93.65,17615
2022-02-21 00:00:00+05:30,92.25,94.35,86.7,88.25,27630
2022-02-22 00:00:00+05:30,85,88.45,80,82.45,45311
2022-02-23 00:00:00+05:30,83.2,85.7,82.45,83.2,9441
2022-02-24 00:00:00+05:30,80,81.85,72.05,73.1,37853
2022-02-25 00:00:00+05:30,76,87,76,82.2,91525
2022-02-28 00:00:00+05:30,81.5,85,78.65,83.2,21406
2022-03-02 00:00:00+05:30,80.2,85.45,80.2,82.5,8244
2022-03-03 00:00:00+05:30,83,86.4,81.95,84.35,44178
2022-03-04 00:00:00+05:30,84.45,84.5,77.35,79.55,19626
2022-03-07 00:00:00+05:30,78.55,81.5,73.6,74.95,27633
2022-03-08 00:00:00+05:30,76.95,77.4,72.2,74.6,13623
2022-03-09 00:00:00+05:30,76.8,80,74.35,77,16191
2022-03-10 00:00:00+05:30,77,92.4,77,92.4,163637
2022-03-11 00:00:00+05:30,102.8,109.4,100,104.4,750201
2022-03-14 00:00:00+05:30,102,103,94.55,95.4,126499
2022-03-15 00:00:00+05:30,96.45,96.45,92,93.85,51498
2022-03-16 00:00:00+05:30,97.7,97.7,92.85,93.35,26610
2022-03-17 00:00:00+05:30,93,95.6,92.2,92.85,30499
2022-03-21 00:00:00+05:30,93.1,95.4,91.05,92.45,16528
2022-03-22 00:00:00+05:30,91,94.45,90,90.5,18025
2022-03-23 00:00:00+05:30,91.1,93.45,86.7,88.35,21845
2022-03-24 00:00:00+05:30,87.85,98.4,87.35,93.55,60100
2022-03-25 00:00:00+05:30,94.5,99.9,93,94.45,105896
2022-03-28 00:00:00+05:30,94,94.4,87.55,90.4,24850
2022-03-29 00:00:00+05:30,93.95,95,90.05,91.15,27626
2022-03-30 00:00:00+05:30,94.05,95.3,91,91.7,30591
2022-03-31 00:00:00+05:30,90.5,95.9,90.5,92,35739
2022-04-01 00:00:00+05:30,95.2,95.2,91.5,92.85,19244
2022-04-04 00:00:00+05:30,92.65,95.55,92.3,92.85,22694
2022-04-05 00:00:00+05:30,94.9,95.7,90.05,92.1,52516
2022-04-06 00:00:00+05:30,91,94.05,91,93.8,25099
2022-04-07 00:00:00+05:30,92.15,95.3,91.1,91.4,16215
2022-04-08 00:00:00+05:30,91.6,95,91.3,92.65,23682
