date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,75.95,82.35,73.15,82.35,49480
2022-01-04 00:00:00+05:30,90.35,90.35,78,78.65,56969
2022-01-05 00:00:00+05:30,78.65,85.95,78.6,82.85,45283
2022-01-06 00:00:00+05:30,81.95,91.1,78.7,91.1,58882
2022-01-07 00:00:00+05:30,98,98,90.35,94,103111
2022-01-10 00:00:00+05:30,94,95.5,89.3,89.3,36985
2022-01-11 00:00:00+05:30,90,92,84.85,84.85,20518
2022-01-12 00:00:00+05:30,84.85,85,80.65,80.65,30421
2022-01-13 00:00:00+05:30,83.5,84.45,76.65,83.25,10528
2022-01-14 00:00:00+05:30,80.7,87,80.1,86.25,11920
2022-01-17 00:00:00+05:30,83,86.95,82.5,84.75,6307
2022-01-18 00:00:00+05:30,84.75,88.95,81.1,87.95,23541
2022-01-19 00:00:00+05:30,88,90.95,84.15,87.95,12900
2022-01-20 00:00:00+05:30,84,89.95,84,87.2,6442
2022-01-21 00:00:00+05:30,87,87.2,84,86.2,5641
2022-01-24 00:00:00+05:30,85.95,85.95,81.9,81.9,5916
2022-01-25 00:00:00+05:30,78,84,77.85,82.1,6835
2022-01-27 00:00:00+05:30,83.95,83.95,78,78.3,6177
2022-01-28 00:00:00+05:30,81.4,81.4,74.4,77.7,3800
2022-01-31 00:00:00+05:30,80,80,77.7,78,2685
2022-02-01 00:00:00+05:30,78,79,74.2,76.5,4463
2022-02-02 00:00:00+05:30,73.5,78.5,73.5,76.05,6547
2022-02-03 00:00:00+05:30,76.05,79,76,77.75,2410
2022-02-04 00:00:00+05:30,77.75,77.75,74.75,77,1126
2022-02-07 00:00:00+05:30,80.85,80.85,75.1,78.85,2350
2022-02-08 00:00:00+05:30,81.5,82.75,78,81.75,31527
2022-02-09 00:00:00+05:30,85,85,77.7,79.9,12221
2022-02-10 00:00:00+05:30,82,82,75.95,75.95,30951
2022-02-11 00:00:00+05:30,75.95,77.5,73.2,74.7,4236
2022-02-14 00:00:00+05:30,71,76.8,71,73.5,4437
2022-02-15 00:00:00+05:30,73,75.9,70,72.9,11506
2022-02-16 00:00:00+05:30,75,75.65,69.3,72,29828
2022-02-17 00:00:00+05:30,72,72,71,71.95,5325
2022-02-18 00:00:00+05:30,71.05,75.5,69.5,74.6,45848
2022-02-21 00:00:00+05:30,75.8,75.8,70.9,72,2052
2022-02-22 00:00:00+05:30,70.9,71.3,68.5,71.3,3209
2022-02-23 00:00:00+05:30,72.6,73,68,69.2,3318
2022-02-24 00:00:00+05:30,67.5,70,65.75,65.75,5079
2022-02-25 00:00:00+05:30,65.75,69,65.75,68.75,3332
2022-02-28 00:00:00+05:30,68.8,68.8,67.05,68.75,1362
2022-03-02 00:00:00+05:30,69,71,68.7,68.95,2717
2022-03-03 00:00:00+05:30,71,71,65.55,68,5148
2022-03-04 00:00:00+05:30,70.45,70.45,65.6,66.15,3237
2022-03-07 00:00:00+05:30,62.85,69.3,62.85,62.85,10610
2022-03-08 00:00:00+05:30,65,65,59.75,60,15463
2022-03-09 00:00:00+05:30,62.9,63,60,62.5,8816
2022-03-10 00:00:00+05:30,62.45,65.6,61,65.5,6239
2022-03-11 00:00:00+05:30,66,68.5,63,68.5,3209
2022-03-14 00:00:00+05:30,69,69.8,65.5,68.35,3414
2022-03-15 00:00:00+05:30,65.6,70,65.6,66.3,2211
2022-03-16 00:00:00+05:30,68,69.15,66.5,67.7,971
2022-03-17 00:00:00+05:30,67.7,69.45,65.05,67.8,2325
2022-03-21 00:00:00+05:30,66.8,69.85,66,66.65,2365
2022-03-22 00:00:00+05:30,66.65,69.95,66.65,69.3,8330
2022-03-23 00:00:00+05:30,70.1,72.75,70.1,72.55,11465
2022-03-24 00:00:00+05:30,76.15,76.15,69.25,71.65,4025
2022-03-25 00:00:00+05:30,73.5,75.15,69.2,74.6,14548
2022-03-28 00:00:00+05:30,77,78.3,71.5,77.9,17484
2022-03-29 00:00:00+05:30,75.5,81.75,75.5,81.75,109834
2022-03-30 00:00:00+05:30,81.75,85,80.1,83.5,29667
2022-03-31 00:00:00+05:30,84.5,84.5,80.1,81.65,12036
2022-04-01 00:00:00+05:30,81.65,84.75,78.35,83.75,19318
2022-04-04 00:00:00+05:30,87,87,81.95,82.45,14742
2022-04-05 00:00:00+05:30,81.3,83.15,81,81.5,7709
2022-04-06 00:00:00+05:30,81.05,83,80.85,83,8044
2022-04-07 00:00:00+05:30,83,84.7,82.1,82.35,4625
2022-04-08 00:00:00+05:30,81.15,84.8,81.15,84.35,5575
