date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,388,395.45,387.95,391.45,116181
2022-01-04 00:00:00+05:30,392.4,400.9,391.8,394,104349
2022-01-05 00:00:00+05:30,394,398,387.05,389.2,104987
2022-01-06 00:00:00+05:30,387,395.65,385.65,392.25,78677
2022-01-07 00:00:00+05:30,393.9,405.4,393.9,397.25,167405
2022-01-10 00:00:00+05:30,401.75,407.7,398.2,399.6,176018
2022-01-11 00:00:00+05:30,402.8,423.45,400.45,409.55,602344
2022-01-12 00:00:00+05:30,412,417.8,409.05,416.4,164907
2022-01-13 00:00:00+05:30,417,417,409,411.95,68778
2022-01-14 00:00:00+05:30,411.95,444.85,410.7,437.75,568771
2022-01-17 00:00:00+05:30,444,457,438,442.1,862231
2022-01-18 00:00:00+05:30,444.35,445.05,420.55,426.35,196471
2022-01-19 00:00:00+05:30,423.1,442.25,420.15,435.5,230734
2022-01-20 00:00:00+05:30,436,473.4,435.65,461.15,2140680
2022-01-21 00:00:00+05:30,459,466.25,449.8,459.1,477241
2022-01-24 00:00:00+05:30,455,472,441,446.75,857732
2022-01-25 00:00:00+05:30,440,478.55,437,465.35,1021929
2022-01-27 00:00:00+05:30,458.8,499,455.15,488.55,1741926
2022-01-28 00:00:00+05:30,495,498,476.25,486.65,720079
2022-01-31 00:00:00+05:30,496.25,511.75,493.2,497.9,806485
2022-02-01 00:00:00+05:30,503.9,511.7,488.85,491.65,822598
2022-02-02 00:00:00+05:30,494.9,499.95,485.05,487.4,281304
2022-02-03 00:00:00+05:30,516.9,536.3,498,503.3,3463965
2022-02-04 00:00:00+05:30,505.1,505.3,489.35,494.05,682438
2022-02-07 00:00:00+05:30,496,501.95,477.5,490.25,407628
2022-02-08 00:00:00+05:30,492.7,495,466.15,472.6,225522
2022-02-09 00:00:00+05:30,474.4,481.95,471.5,473.8,289658
2022-02-10 00:00:00+05:30,476.2,476.2,461,464.05,239475
2022-02-11 00:00:00+05:30,460,462.7,450.1,452.15,157862
2022-02-14 00:00:00+05:30,442,479,436,463.8,2293476
2022-02-15 00:00:00+05:30,467.8,475.9,456.1,466.4,728138
2022-02-16 00:00:00+05:30,470.3,478.05,457,461.3,368935
2022-02-17 00:00:00+05:30,465.4,480.1,460.1,475.3,592563
2022-02-18 00:00:00+05:30,475.3,484,470.5,472.7,355953
2022-02-21 00:00:00+05:30,468,472,455.1,459.7,330813
2022-02-22 00:00:00+05:30,435,457.7,435,444.4,326244
2022-02-23 00:00:00+05:30,443.5,446.85,435,436.9,229435
2022-02-24 00:00:00+05:30,422.2,431.05,406.5,410.95,393634
2022-02-25 00:00:00+05:30,420.4,436.8,420.05,431.85,357740
2022-02-28 00:00:00+05:30,421,453.7,410.2,448.15,678357
2022-03-02 00:00:00+05:30,458.95,479,454.6,463.7,1207322
2022-03-03 00:00:00+05:30,468.6,475,461,462.15,247639
2022-03-04 00:00:00+05:30,459.95,470,455,456.7,261062
2022-03-07 00:00:00+05:30,449.8,456.05,438.65,444.3,736732
2022-03-08 00:00:00+05:30,448.5,466.95,448,450.3,530895
2022-03-09 00:00:00+05:30,458.8,472.5,455.3,461,779963
2022-03-10 00:00:00+05:30,475,480.95,464.35,475.4,418131
2022-03-11 00:00:00+05:30,478,495,473.45,492.55,701920
2022-03-14 00:00:00+05:30,499.9,515,499.15,501.9,948089
2022-03-15 00:00:00+05:30,505.9,533.9,496.5,522.5,1222640
2022-03-16 00:00:00+05:30,526,572.75,518,555.1,4001659
2022-03-17 00:00:00+05:30,562.2,612,560.05,599.5,3114013
2022-03-21 00:00:00+05:30,600.95,606.6,566.05,572.15,1433075
2022-03-22 00:00:00+05:30,574.6,587.5,570.1,575.35,691087
2022-03-23 00:00:00+05:30,581.6,598,568,569.6,809154
2022-03-24 00:00:00+05:30,570,574.6,558,562.85,531977
2022-03-25 00:00:00+05:30,567,568.2,555.05,558.05,290138
2022-03-28 00:00:00+05:30,560,562.9,544.5,546.85,263951
2022-03-29 00:00:00+05:30,550,574.95,546,562.4,700060
2022-03-30 00:00:00+05:30,567.4,569.9,546,549,280357
2022-03-31 00:00:00+05:30,550.8,558.2,538,549.3,810813
2022-04-01 00:00:00+05:30,548.4,578,545,568.6,961883
2022-04-04 00:00:00+05:30,575.2,597.6,575,580.7,1022653
2022-04-05 00:00:00+05:30,586,587.7,566,568.1,574281
2022-04-06 00:00:00+05:30,567.8,588.45,561.7,570.75,688244
2022-04-07 00:00:00+05:30,575.8,628.7,575,620.85,4904990
2022-04-08 00:00:00+05:30,628,739.45,627,716.15,13304665
