date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,1650,1669.15,1630,1635.85,157091
2022-01-04 00:00:00+05:30,1655,1748.4,1620.8,1730.1,835080
2022-01-05 00:00:00+05:30,1735,1854.45,1707.85,1840,1576287
2022-01-06 00:00:00+05:30,1808.15,1919.8,1800.15,1861.05,1359785
2022-01-07 00:00:00+05:30,1868.7,1878.4,1810,1827.7,353259
2022-01-10 00:00:00+05:30,1821.5,1867,1812.25,1852,266536
2022-01-11 00:00:00+05:30,1851.2,1907.95,1826.45,1892.1,412607
2022-01-12 00:00:00+05:30,1885,1914.8,1880,1893.55,241825
2022-01-13 00:00:00+05:30,1886,1901.9,1846.2,1855.3,183377
2022-01-14 00:00:00+05:30,1853.7,1929.8,1841.2,1900.5,485879
2022-01-17 00:00:00+05:30,1894,1955,1844,1862.4,463204
2022-01-18 00:00:00+05:30,1859.9,1870.95,1820,1826.9,231264
2022-01-19 00:00:00+05:30,1821,1859,1761.3,1830.45,288715
2022-01-20 00:00:00+05:30,1840.1,1870,1808,1828.65,303346
2022-01-21 00:00:00+05:30,1828.65,1862.35,1780.05,1805,367491
2022-01-24 00:00:00+05:30,1805.25,1828.1,1752.3,1781,379139
2022-01-25 00:00:00+05:30,1782.55,1860,1724.45,1784.3,387713
2022-01-27 00:00:00+05:30,1750,1807.75,1741,1786.55,95513
2022-01-28 00:00:00+05:30,1804,1885,1785.35,1797.65,414037
2022-01-31 00:00:00+05:30,1807.1,1851.5,1803.25,1817.9,184087
2022-02-01 00:00:00+05:30,1842,1847.45,1771.2,1798.75,221491
2022-02-02 00:00:00+05:30,1798.75,1859,1798.75,1842.6,213632
2022-02-03 00:00:00+05:30,1850,1864,1837.1,1846.25,87191
2022-02-04 00:00:00+05:30,1847,1869.7,1814,1821.65,91603
2022-02-07 00:00:00+05:30,1831,1831.15,1795.5,1822.35,88631
2022-02-08 00:00:00+05:30,1829.95,1859,1783.6,1839.7,208857
2022-02-09 00:00:00+05:30,1849.9,1884,1845.05,1863.15,264300
2022-02-10 00:00:00+05:30,1863,1925,1837.2,1860.75,769734
2022-02-11 00:00:00+05:30,1875,1896.9,1842.6,1858.1,206737
2022-02-14 00:00:00+05:30,1831,1835,1700,1730.7,174453
2022-02-15 00:00:00+05:30,1734.8,1765,1702,1754.45,164142
2022-02-16 00:00:00+05:30,1754.45,1798,1728.3,1737.3,136027
2022-02-17 00:00:00+05:30,1739,1753.7,1728,1730.55,174964
2022-02-18 00:00:00+05:30,1730.55,1737.35,1471,1669.45,128347
2022-02-21 00:00:00+05:30,1640,1646,1520,1536.95,392583
2022-02-22 00:00:00+05:30,1500,1537.15,1475,1509.3,235501
2022-02-23 00:00:00+05:30,1524.95,1600,1520.05,1592.05,273313
2022-02-24 00:00:00+05:30,1550,1550,1460,1472.2,246405
2022-02-25 00:00:00+05:30,1499,1561.1,1499,1544.6,221078
2022-02-28 00:00:00+05:30,1540,1575,1520.35,1561.7,95759
2022-03-02 00:00:00+05:30,1551,1581.1,1540,1554.1,79476
2022-03-03 00:00:00+05:30,1565.35,1614,1565,1577.3,120931
2022-03-04 00:00:00+05:30,1566,1575,1520,1524.25,140704
2022-03-07 00:00:00+05:30,1480,1507,1417,1440.05,136907
2022-03-08 00:00:00+05:30,1444,1514,1426,1438.5,282628
2022-03-09 00:00:00+05:30,1449,1473.85,1405.5,1420.25,424975
2022-03-10 00:00:00+05:30,1454,1503.95,1435.15,1473.5,390322
2022-03-11 00:00:00+05:30,1484,1504.9,1473.2,1482,151819
2022-03-14 00:00:00+05:30,1487.8,1538,1457.8,1531.2,224181
2022-03-15 00:00:00+05:30,1530,1564,1502.5,1517,160339
2022-03-16 00:00:00+05:30,1531.45,1560,1525,1533.85,112763
2022-03-17 00:00:00+05:30,1565,1572.3,1545,1555.35,176495
2022-03-21 00:00:00+05:30,1563.5,1584,1543,1553.1,217581
2022-03-22 00:00:00+05:30,1569.45,1569.45,1540.1,1547.3,89008
2022-03-23 00:00:00+05:30,1559.95,1559.95,1530,1534.5,64197
2022-03-24 00:00:00+05:30,1527,1542,1503,1509.9,90514
2022-03-25 00:00:00+05:30,1519.8,1555,1511.75,1535.85,108876
2022-03-28 00:00:00+05:30,1539.9,1582,1520,1568.1,249375
2022-03-29 00:00:00+05:30,1572.5,1650.45,1571.8,1638.7,448045
2022-03-30 00:00:00+05:30,1654.4,1725,1631.45,1708.7,263175
2022-03-31 00:00:00+05:30,1692,1830,1690.85,1818.85,703859
2022-04-01 00:00:00+05:30,1802,1819,1772,1778.65,178177
2022-04-04 00:00:00+05:30,1778.65,1803.6,1761.2,1775.1,157203
2022-04-05 00:00:00+05:30,1809,1848,1778,1788.25,470358
2022-04-06 00:00:00+05:30,1788.25,1801,1748.45,1770.9,143513
2022-04-07 00:00:00+05:30,1772.5,1863.4,1771,1792.5,693637
2022-04-08 00:00:00+05:30,1810,1876.95,1810,1857.15,603479
