date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,1011,1037.2,984.05,1003.8,33752
2022-01-04 00:00:00+05:30,1018,1020,987,1000.15,30247
2022-01-05 00:00:00+05:30,1015,1015,994.55,1003.8,29500
2022-01-06 00:00:00+05:30,1004,1019,984,1014.55,25807
2022-01-07 00:00:00+05:30,1022.9,1028,993,999.8,22604
2022-01-10 00:00:00+05:30,952.65,1050,952.65,1025.75,35382
2022-01-11 00:00:00+05:30,1025.75,1038.2,995,1001.6,15829
2022-01-12 00:00:00+05:30,1000,1067.8,1000,1049.7,36641
2022-01-13 00:00:00+05:30,1075,1190,1070,1159.05,201805
2022-01-14 00:00:00+05:30,1167,1180,1127.7,1136.95,52141
2022-01-17 00:00:00+05:30,1146,1212,1131.4,1180.9,55537
2022-01-18 00:00:00+05:30,1199.9,1199.9,1125,1136.45,21159
2022-01-19 00:00:00+05:30,1135,1168.95,1121.65,1129.8,149805
2022-01-20 00:00:00+05:30,1140,1184,1139.45,1179.3,27740
2022-01-21 00:00:00+05:30,1204.3,1204.3,1165,1169.35,20434
2022-01-24 00:00:00+05:30,1170,1179.95,1090.25,1107.7,61226
2022-01-25 00:00:00+05:30,1068,1125,1068,1098.45,108726
2022-01-27 00:00:00+05:30,1109,1109,1050,1067.75,55725
2022-01-28 00:00:00+05:30,1085,1175,1085,1142.85,109542
2022-01-31 00:00:00+05:30,1189,1235,1092.05,1114.15,60167
2022-02-01 00:00:00+05:30,1134,1135,1085.35,1094.55,15497
2022-02-02 00:00:00+05:30,1102.95,1110,1090.05,1093.6,14102
2022-02-03 00:00:00+05:30,1104.5,1104.5,1082.65,1096,30730
2022-02-04 00:00:00+05:30,1105,1110,1090,1091.35,44190
2022-02-07 00:00:00+05:30,1100,1102.9,1041.5,1048.9,61728
2022-02-08 00:00:00+05:30,1057.65,1057.7,990.6,1022.55,72339
2022-02-09 00:00:00+05:30,1037.9,1044.05,1004.15,1021.65,85984
2022-02-10 00:00:00+05:30,1020,1031.8,991.1,1010.75,55562
2022-02-11 00:00:00+05:30,1010.55,1018.8,968.3,997.5,68869
2022-02-14 00:00:00+05:30,940,989.9,900.1,908.6,76147
2022-02-15 00:00:00+05:30,914.9,960,909.4,952.1,72881
2022-02-16 00:00:00+05:30,972,989.05,936.5,946.85,84060
2022-02-17 00:00:00+05:30,954,1050,953.65,1001.7,262994
2022-02-18 00:00:00+05:30,1012.75,1043.7,942.2,955.7,88834
2022-02-21 00:00:00+05:30,931.15,990,920,958.65,127870
2022-02-22 00:00:00+05:30,939.45,949,871,888.3,75244
2022-02-23 00:00:00+05:30,881.55,922,881.55,902.15,109748
2022-02-24 00:00:00+05:30,882,882.9,772.2,794.65,54349
2022-02-25 00:00:00+05:30,819.95,953.55,815.05,942.65,127987
2022-02-28 00:00:00+05:30,950,1010,891.75,975.75,238473
2022-03-02 00:00:00+05:30,968,983.5,933.85,957.1,60036
2022-03-03 00:00:00+05:30,985,1100,958.9,974.85,71800
2022-03-04 00:00:00+05:30,967.45,985.6,935.2,948.55,34696
2022-03-07 00:00:00+05:30,960,960,902.05,911.95,30220
2022-03-08 00:00:00+05:30,922,940,887.05,924.45,144542
2022-03-09 00:00:00+05:30,935,954.95,909.05,931.6,68546
2022-03-10 00:00:00+05:30,957,982.9,911.55,920.65,124772
2022-03-11 00:00:00+05:30,930.8,945,915.25,923.35,34873
2022-03-14 00:00:00+05:30,929.75,932.85,907,916.55,47421
2022-03-15 00:00:00+05:30,918,929.75,886.35,906,35693
2022-03-16 00:00:00+05:30,921.4,966.4,916,935.85,28097
2022-03-17 00:00:00+05:30,949.9,965,925.1,946.85,61734
2022-03-21 00:00:00+05:30,956.85,969.7,912.6,925,54122
2022-03-22 00:00:00+05:30,937.05,937.05,909.05,911.4,100868
2022-03-23 00:00:00+05:30,921,926.9,911,918.4,50525
2022-03-24 00:00:00+05:30,929.8,929.8,902.7,922.45,56417
2022-03-25 00:00:00+05:30,933,933.25,888,896.7,121216
2022-03-28 00:00:00+05:30,896.7,906,851.85,861.7,50887
2022-03-29 00:00:00+05:30,875,924.15,871.1,901.85,69062
2022-03-30 00:00:00+05:30,929,933.95,906.05,919.95,55357
2022-03-31 00:00:00+05:30,938,940.3,889.05,895.05,40435
2022-04-01 00:00:00+05:30,904.2,1049.05,897.2,1027.75,145479
2022-04-04 00:00:00+05:30,1046,1078,1028.35,1046.5,49441
2022-04-05 00:00:00+05:30,1060,1085,1027.8,1072.25,74387
2022-04-06 00:00:00+05:30,1046.5,1074,1040,1050.2,26186
2022-04-07 00:00:00+05:30,1059,1059,991.4,1003.65,43586
2022-04-08 00:00:00+05:30,1023,1080,984.8,1024.6,91606
