date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,456,479.9,451.65,466.75,219791
2022-01-04 00:00:00+05:30,475,482,464,474.55,138486
2022-01-05 00:00:00+05:30,469,489,461.2,463.5,172301
2022-01-06 00:00:00+05:30,461.95,472.8,456.3,465.15,64860
2022-01-07 00:00:00+05:30,469,485,468,482.35,107025
2022-01-10 00:00:00+05:30,486.05,496,478.3,482.35,115698
2022-01-11 00:00:00+05:30,486.7,489.55,472,477.1,37733
2022-01-12 00:00:00+05:30,482.85,489.2,471,474.5,68648
2022-01-13 00:00:00+05:30,470,485.5,467.45,477.45,64446
2022-01-14 00:00:00+05:30,476.45,506.95,470.55,503.6,264554
2022-01-17 00:00:00+05:30,506,579.9,505.15,555.8,1014017
2022-01-18 00:00:00+05:30,562.9,594,539,544.8,623476
2022-01-19 00:00:00+05:30,540,574.9,538,550.6,108174
2022-01-20 00:00:00+05:30,555,595,553.05,583,362235
2022-01-21 00:00:00+05:30,575,579.8,565,572.7,130627
2022-01-24 00:00:00+05:30,576,576.1,518,522.2,136593
2022-01-25 00:00:00+05:30,515,553.35,504.05,545.2,112177
2022-01-27 00:00:00+05:30,530,548.7,525,529.4,69169
2022-01-28 00:00:00+05:30,539,558.8,535,541.5,72936
2022-01-31 00:00:00+05:30,555,559.9,532,539.6,156844
2022-02-01 00:00:00+05:30,544,546.6,517.7,533.15,64889
2022-02-02 00:00:00+05:30,543,573.85,543,557.25,154767
2022-02-03 00:00:00+05:30,556,582.1,546.35,569.35,296125
2022-02-04 00:00:00+05:30,576.85,625.95,562.55,619.85,825357
2022-02-07 00:00:00+05:30,635.45,637,611,616.9,278476
2022-02-08 00:00:00+05:30,620.9,631.3,588,592.75,170822
2022-02-09 00:00:00+05:30,596,607.15,578.25,588.3,83680
2022-02-10 00:00:00+05:30,590,591.5,580,582.25,46345
2022-02-11 00:00:00+05:30,579.9,595,568.2,573.5,81362
2022-02-14 00:00:00+05:30,560.5,567,516.15,522.35,119625
2022-02-15 00:00:00+05:30,529.9,549.25,505,543.1,106021
2022-02-16 00:00:00+05:30,542,557,532.2,545.7,54730
2022-02-17 00:00:00+05:30,550,554.3,531.3,536.55,52822
2022-02-18 00:00:00+05:30,527,536.25,527,532.8,40789
2022-02-21 00:00:00+05:30,522,525,505.3,508.1,103218
2022-02-22 00:00:00+05:30,499.9,504.8,481,483.8,104689
2022-02-23 00:00:00+05:30,495,515,490.15,505.25,76948
2022-02-24 00:00:00+05:30,489,490.6,442,448.6,102640
2022-02-25 00:00:00+05:30,459,489,459,484.6,72378
2022-02-28 00:00:00+05:30,482,525,460.2,517.55,150372
2022-03-02 00:00:00+05:30,511,529,507,514.2,87704
2022-03-03 00:00:00+05:30,525,529,500.3,507.1,74032
2022-03-04 00:00:00+05:30,513.9,527.85,492.05,513.6,168449
2022-03-07 00:00:00+05:30,505,526,496.5,517.05,104894
2022-03-08 00:00:00+05:30,525,534.4,510.3,523.5,67775
2022-03-09 00:00:00+05:30,535,539.7,521.1,531.85,146182
2022-03-10 00:00:00+05:30,536.2,545,525.05,532.8,97979
2022-03-11 00:00:00+05:30,525,547,525,538.6,70851
2022-03-14 00:00:00+05:30,544.45,555.3,537.9,549.35,89962
2022-03-15 00:00:00+05:30,555.3,574.7,551.7,556.85,85057
2022-03-16 00:00:00+05:30,563,575.9,555,560.05,84961
2022-03-17 00:00:00+05:30,568,614.9,563.15,609.1,369129
2022-03-21 00:00:00+05:30,609.1,614.9,593,596,142783
2022-03-22 00:00:00+05:30,590.5,611,588,595.35,73013
2022-03-23 00:00:00+05:30,610,619,582.05,587.5,146512
2022-03-24 00:00:00+05:30,580.1,590.05,564,565.6,109617
2022-03-25 00:00:00+05:30,572,574,554.85,557.8,47848
2022-03-28 00:00:00+05:30,560,575,551.05,567.9,64106
2022-03-29 00:00:00+05:30,575,575,552,554.25,54695
2022-03-30 00:00:00+05:30,559,564.3,544,547,42276
2022-03-31 00:00:00+05:30,564,566.45,551,555.2,61413
2022-04-01 00:00:00+05:30,562.95,577.65,555.05,574.2,71233
2022-04-04 00:00:00+05:30,574.2,584.05,574,580.35,46911
2022-04-05 00:00:00+05:30,585.5,585.5,569,572.55,42528
2022-04-06 00:00:00+05:30,569,628,567.8,611.15,444931
2022-04-07 00:00:00+05:30,614.5,619.7,577,582.45,159800
2022-04-08 00:00:00+05:30,594.85,622,585,616.95,151242
