date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,214.45,221.6,214.45,218.05,107831
2022-01-04 00:00:00+05:30,218.3,225.75,218.05,220.15,205670
2022-01-05 00:00:00+05:30,218,219.9,215,216,79603
2022-01-06 00:00:00+05:30,215.9,225.5,212.8,224.15,245255
2022-01-07 00:00:00+05:30,222.35,225,217.25,222.75,198791
2022-01-10 00:00:00+05:30,224.1,232,221.9,230.25,172435
2022-01-11 00:00:00+05:30,232,235.95,226.65,231.75,145761
2022-01-12 00:00:00+05:30,231.95,245.9,230.2,243.6,546751
2022-01-13 00:00:00+05:30,243.6,245.85,232.45,235.45,207121
2022-01-14 00:00:00+05:30,234.4,242,234.4,241.05,130720
2022-01-17 00:00:00+05:30,241.05,244.7,235.85,238.25,104811
2022-01-18 00:00:00+05:30,241.7,244.5,233.1,236.5,149793
2022-01-19 00:00:00+05:30,231,241,231,237.7,123371
2022-01-20 00:00:00+05:30,241.7,244,236.15,238.45,93366
2022-01-21 00:00:00+05:30,240,241.9,234,239.15,112014
2022-01-24 00:00:00+05:30,241.05,241.75,223.95,227.95,133676
2022-01-25 00:00:00+05:30,230.95,238,223.55,234.95,126823
2022-01-27 00:00:00+05:30,234.95,245.7,230.75,241,168137
2022-01-28 00:00:00+05:30,243.5,244,234,235.4,159982
2022-01-31 00:00:00+05:30,235.25,266,235.25,258.55,2827363
2022-02-01 00:00:00+05:30,257,258.55,247,249.2,499338
2022-02-02 00:00:00+05:30,251.8,253.95,245.1,246.5,149210
2022-02-03 00:00:00+05:30,244.3,256.8,244.3,251.05,276080
2022-02-04 00:00:00+05:30,250.75,262.5,247.3,260.3,764905
2022-02-07 00:00:00+05:30,262,271.35,261.6,265.55,426364
2022-02-08 00:00:00+05:30,265.2,275,256.55,265.15,632864
2022-02-09 00:00:00+05:30,267.9,269.05,257,258.5,120172
2022-02-10 00:00:00+05:30,259.9,261.2,251.95,254.05,150582
2022-02-11 00:00:00+05:30,251,264.8,251,256.15,211842
2022-02-14 00:00:00+05:30,248.6,253.5,232,234.15,233551
2022-02-15 00:00:00+05:30,237.75,244,235,242.65,168874
2022-02-16 00:00:00+05:30,244.7,254.5,242.7,246.35,209453
2022-02-17 00:00:00+05:30,246.35,256.2,242.3,245.2,311618
2022-02-18 00:00:00+05:30,242.9,254.9,242.05,251.85,297167
2022-02-21 00:00:00+05:30,250,302,250,282.75,8572905
2022-02-22 00:00:00+05:30,276.2,280,263,272.45,2057498
2022-02-23 00:00:00+05:30,273,282,258,262.15,834098
2022-02-24 00:00:00+05:30,250,261,242,246.55,923073
2022-02-25 00:00:00+05:30,258.15,266.3,254,261.2,397425
2022-02-28 00:00:00+05:30,255.55,266.9,254.8,262.25,215574
2022-03-02 00:00:00+05:30,267.55,272,255.55,258,288160
2022-03-03 00:00:00+05:30,266.45,287.95,247.55,252.95,5111706
2022-03-04 00:00:00+05:30,256,271.3,249.2,263.55,1560306
2022-03-07 00:00:00+05:30,254.9,265.25,252.55,256.8,640463
2022-03-08 00:00:00+05:30,264,269.75,258,265,644783
2022-03-09 00:00:00+05:30,272.9,276,268,270.7,486254
2022-03-10 00:00:00+05:30,279,279,260.3,262.9,362624
2022-03-11 00:00:00+05:30,265.05,272.4,264.35,265.7,343255
2022-03-14 00:00:00+05:30,268.4,274,264.55,266.1,283145
2022-03-15 00:00:00+05:30,268.9,272.15,264.4,266.15,163872
2022-03-16 00:00:00+05:30,269,282.6,269,273.45,796590
2022-03-17 00:00:00+05:30,277,279.2,265.1,267.6,350196
2022-03-21 00:00:00+05:30,270,281,267,269.15,240568
2022-03-22 00:00:00+05:30,271.6,307.9,266.3,303.65,4164220
2022-03-23 00:00:00+05:30,303.65,313.55,293,305.85,2429600
2022-03-24 00:00:00+05:30,303,310.65,295,300,608315
2022-03-25 00:00:00+05:30,301.2,316.8,291,298.45,1690938
2022-03-28 00:00:00+05:30,300.15,318.65,300.15,308.8,1663070
2022-03-29 00:00:00+05:30,312,318.95,303,315.4,777855
2022-03-30 00:00:00+05:30,318,321.95,306.55,311.2,750573
2022-03-31 00:00:00+05:30,314.3,316.1,295.55,302.35,403230
2022-04-01 00:00:00+05:30,304.75,310,299.5,306.9,305742
2022-04-04 00:00:00+05:30,309.85,315,304.55,305.8,228350
2022-04-05 00:00:00+05:30,308.7,318,306.5,309.15,548548
2022-04-06 00:00:00+05:30,309.35,332.7,309,316.4,1620798
2022-04-07 00:00:00+05:30,318.5,318.7,303,305.15,477020
2022-04-08 00:00:00+05:30,306.9,312.5,304.95,310,212587
