date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,662,662,647,648.55,98168
2022-01-04 00:00:00+05:30,655,660,640.05,645.65,33714
2022-01-05 00:00:00+05:30,645,655,642.05,648,80114
2022-01-06 00:00:00+05:30,641,651,640,647.5,87557
2022-01-07 00:00:00+05:30,645.5,650,636.95,641.55,53915
2022-01-10 00:00:00+05:30,650,650,635.55,639.7,166236
2022-01-11 00:00:00+05:30,644,649.65,637.25,644.95,103070
2022-01-12 00:00:00+05:30,649,658.05,638,643,46306
2022-01-13 00:00:00+05:30,638,654.9,638,650.95,42122
2022-01-14 00:00:00+05:30,656.8,657,642.25,649.2,72056
2022-01-17 00:00:00+05:30,648.1,669,642.35,645.3,34871
2022-01-18 00:00:00+05:30,650.9,655.95,640.6,650.5,348572
2022-01-19 00:00:00+05:30,654,655.5,635.2,653.5,46256
2022-01-20 00:00:00+05:30,652.35,693.4,640,675.15,165012
2022-01-21 00:00:00+05:30,675,697.15,670.9,690.4,121644
2022-01-24 00:00:00+05:30,694,694,664.95,683.05,406674
2022-01-25 00:00:00+05:30,690,701,663.25,690.95,878410
2022-01-27 00:00:00+05:30,697.95,728.85,691,701.5,187172
2022-01-28 00:00:00+05:30,712.05,714.85,689,693.2,37453
2022-01-31 00:00:00+05:30,693.2,704.55,690.65,700.25,95495
2022-02-01 00:00:00+05:30,691,700.95,686.3,699.45,80305
2022-02-02 00:00:00+05:30,700.1,700.3,681.05,692.35,156853
2022-02-03 00:00:00+05:30,700,700,689.05,694.45,34960
2022-02-04 00:00:00+05:30,691.4,698.65,684.5,696.4,78920
2022-02-07 00:00:00+05:30,712,713.9,669.9,677,80202
2022-02-08 00:00:00+05:30,675,687.45,662.15,671.6,183485
2022-02-09 00:00:00+05:30,676.15,689,676.15,681.75,52287
2022-02-10 00:00:00+05:30,694.9,694.9,676.85,679.95,36377
2022-02-11 00:00:00+05:30,678.25,686.85,665,673.95,19417
2022-02-14 00:00:00+05:30,654,674,653.6,665.8,14820
2022-02-15 00:00:00+05:30,670,684,653.1,679.55,16682
2022-02-16 00:00:00+05:30,690,705.25,666.95,678,42012
2022-02-17 00:00:00+05:30,687.95,689.9,668.15,682.6,55674
2022-02-18 00:00:00+05:30,679.05,684.8,660.65,665,13299
2022-02-21 00:00:00+05:30,663.35,674.5,645.4,669.45,19329
2022-02-22 00:00:00+05:30,653.95,671.95,644,660.1,72663
2022-02-23 00:00:00+05:30,679.95,679.95,640.55,647.55,32059
2022-02-24 00:00:00+05:30,647.55,652.6,629.35,637.3,41667
2022-02-25 00:00:00+05:30,641,658.45,641,651.75,15472
2022-02-28 00:00:00+05:30,642.05,654.9,635,645.95,58305
2022-03-02 00:00:00+05:30,644.35,650.3,639.95,648,52834
2022-03-03 00:00:00+05:30,650.45,659.9,645.05,649.85,16951
2022-03-04 00:00:00+05:30,644,644,628.9,635.9,94106
2022-03-07 00:00:00+05:30,630.7,649.65,608.4,634.1,49015
2022-03-08 00:00:00+05:30,632.05,639.25,611.8,623.65,42318
2022-03-09 00:00:00+05:30,626,626.1,601,604.95,191533
2022-03-10 00:00:00+05:30,610.5,640,588.7,600.25,165662
2022-03-11 00:00:00+05:30,589.45,614.95,586,591.6,72250
2022-03-14 00:00:00+05:30,594.5,609.45,580.1,583.6,38820
2022-03-15 00:00:00+05:30,573.1,600.1,573.1,589.3,80862
2022-03-16 00:00:00+05:30,595,600.35,588.8,594.7,72832
2022-03-17 00:00:00+05:30,597.65,615,597.25,609.2,375406
2022-03-21 00:00:00+05:30,612.25,612.5,601.25,609.85,129131
2022-03-22 00:00:00+05:30,609,622.8,602.55,618.6,24819
2022-03-23 00:00:00+05:30,620.65,640,611.35,634.25,302028
2022-03-24 00:00:00+05:30,634.25,644.95,625.8,636.65,146112
2022-03-25 00:00:00+05:30,635.1,638.5,617.75,620.6,253274
2022-03-28 00:00:00+05:30,620.6,634,606,621.65,10370
2022-03-29 00:00:00+05:30,622.5,622.55,610.1,615.9,75077
2022-03-30 00:00:00+05:30,618,632.8,582.2,603.55,510952
2022-03-31 00:00:00+05:30,616,623.8,590.55,618.55,143000
2022-04-01 00:00:00+05:30,619.9,628,611.4,621.65,367809
2022-04-04 00:00:00+05:30,623.9,646.55,621.9,634.7,103996
2022-04-05 00:00:00+05:30,637.85,637.85,621,629.7,49187
2022-04-06 00:00:00+05:30,625,631.5,610.1,619.9,162185
2022-04-07 00:00:00+05:30,620,622,613.95,617.6,126686
2022-04-08 00:00:00+05:30,621.6,664.55,621.55,648.1,527165
