date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,83.45,85.35,83,83.4,133257
2022-01-04 00:00:00+05:30,86.9,86.9,82.6,83.4,220705
2022-01-05 00:00:00+05:30,83.5,86,80.1,81,121172
2022-01-06 00:00:00+05:30,79,84.8,78.55,81.55,160976
2022-01-07 00:00:00+05:30,83.7,83.7,79,80.45,123294
2022-01-10 00:00:00+05:30,81.8,83,80.35,81,94289
2022-01-11 00:00:00+05:30,82.8,95.6,80.05,92.45,810606
2022-01-12 00:00:00+05:30,94,95.4,84.5,86.45,289270
2022-01-13 00:00:00+05:30,86.85,89.25,86,86.45,86960
2022-01-14 00:00:00+05:30,86,88.85,84,86.7,111685
2022-01-17 00:00:00+05:30,87.65,89.65,85.15,86.35,105693
2022-01-18 00:00:00+05:30,86.1,87.8,82.1,83,120355
2022-01-19 00:00:00+05:30,83,91,81,87.35,328435
2022-01-20 00:00:00+05:30,87.3,103,86.3,100.95,1309643
2022-01-21 00:00:00+05:30,103.5,117.4,102,107.5,3171134
2022-01-24 00:00:00+05:30,106.5,113.85,95.4,102.2,891925
2022-01-25 00:00:00+05:30,101.15,104.45,97.5,98.8,281736
2022-01-27 00:00:00+05:30,95.5,98.65,91.1,92.75,203209
2022-01-28 00:00:00+05:30,95,95,88.15,88.15,64783
2022-01-31 00:00:00+05:30,84.25,89.3,83.75,83.75,31891
2022-02-01 00:00:00+05:30,80.1,85.05,79.6,80.8,87540
2022-02-02 00:00:00+05:30,79.2,84.8,76.8,84.7,79674
2022-02-03 00:00:00+05:30,84.8,88.35,84.8,87,50117
2022-02-04 00:00:00+05:30,88.75,88.75,83.25,83.95,27208
2022-02-07 00:00:00+05:30,81.2,84,80.1,80.65,27771
2022-02-08 00:00:00+05:30,79,82.85,77,79.7,32378
2022-02-09 00:00:00+05:30,81.3,81.3,77.65,78.4,13456
2022-02-10 00:00:00+05:30,82.3,82.3,74.5,75.1,66506
2022-02-11 00:00:00+05:30,75,75,72.15,73.4,31682
2022-02-14 00:00:00+05:30,69.8,72.35,69.75,69.75,25983
2022-02-15 00:00:00+05:30,68.4,69.7,66.3,67.5,53169
2022-02-16 00:00:00+05:30,67,70.85,67,69.65,42968
2022-02-17 00:00:00+05:30,72.5,72.5,68.05,68.7,17298
2022-02-18 00:00:00+05:30,70.05,71.6,66.3,67.15,14866
2022-02-21 00:00:00+05:30,64.1,68.85,63.8,63.8,24641
2022-02-22 00:00:00+05:30,60.7,62,60.65,60.95,21095
2022-02-23 00:00:00+05:30,62.7,63.95,59.1,63.35,26157
2022-02-24 00:00:00+05:30,63.35,66,60.2,60.2,24407
2022-02-25 00:00:00+05:30,57.5,63.2,57.5,62.8,25417
2022-02-28 00:00:00+05:30,59.7,63,59.7,62.45,19068
2022-03-02 00:00:00+05:30,62.2,65.55,59.35,63.55,21849
2022-03-03 00:00:00+05:30,66.5,66.5,61.55,62.6,12910
2022-03-04 00:00:00+05:30,64.75,64.9,60.5,63.6,19124
2022-03-07 00:00:00+05:30,63,63.9,61,61.6,15311
2022-03-08 00:00:00+05:30,58.65,62.9,58.65,61.5,11190
2022-03-09 00:00:00+05:30,61.5,64.3,61.5,63.6,14280
2022-03-10 00:00:00+05:30,64,66.75,64,66.75,12074
2022-03-11 00:00:00+05:30,69.75,69.75,65,66.6,18854
2022-03-14 00:00:00+05:30,68.5,68.5,65.1,65.95,16688
2022-03-15 00:00:00+05:30,67.95,67.95,63.5,64.35,12873
2022-03-16 00:00:00+05:30,65.9,65.9,62.9,64.65,6066
2022-03-17 00:00:00+05:30,65.95,66.5,63,63.65,16049
2022-03-21 00:00:00+05:30,64.95,66,63,63.85,12613
2022-03-22 00:00:00+05:30,66.5,66.5,62,63.3,11403
2022-03-23 00:00:00+05:30,64.95,64.95,61.75,62.15,21130
2022-03-24 00:00:00+05:30,64.45,64.45,62.15,62.7,12867
2022-03-25 00:00:00+05:30,65,65,61.55,63.35,10753
2022-03-28 00:00:00+05:30,63.85,63.85,60.2,61.1,30665
2022-03-29 00:00:00+05:30,59.65,62.5,58.1,59.1,43162
2022-03-30 00:00:00+05:30,60.85,62.05,59.25,62.05,45615
2022-03-31 00:00:00+05:30,63,65.15,62,62.35,40148
2022-04-01 00:00:00+05:30,61.05,64.15,61.05,63.4,52848
2022-04-04 00:00:00+05:30,63.95,66.55,63.55,66.55,34416
2022-04-05 00:00:00+05:30,67,69.85,67,69.85,22720
2022-04-06 00:00:00+05:30,73.3,73.3,72.05,73.3,43849
2022-04-07 00:00:00+05:30,75.5,80.6,71.2,73.65,187670
2022-04-08 00:00:00+05:30,72,75.7,71.1,72.15,67816
