date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,1849.55,1892.6,1844.8,1881.85,141011
2022-01-04 00:00:00+05:30,1888,1898.3,1860.55,1876.6,84425
2022-01-05 00:00:00+05:30,1876.65,1940,1876.65,1911.05,454090
2022-01-06 00:00:00+05:30,1909.9,1919.35,1877,1887.4,157688
2022-01-07 00:00:00+05:30,1880,1950.45,1863,1931.35,350551
2022-01-10 00:00:00+05:30,1955,1999,1935.65,1994.1,312571
2022-01-11 00:00:00+05:30,2000,2029,1979.65,1999.45,329006
2022-01-12 00:00:00+05:30,2008.9,2035,2003,2026.8,121956
2022-01-13 00:00:00+05:30,2026.8,2038,1990.85,2004.85,149076
2022-01-14 00:00:00+05:30,2004.5,2031,1983.95,2012.85,81064
2022-01-17 00:00:00+05:30,2029,2104.15,2010,2066.7,289553
2022-01-18 00:00:00+05:30,2082,2082,1969.95,1981.55,118647
2022-01-19 00:00:00+05:30,1975,2008.95,1958,1983.65,118696
2022-01-20 00:00:00+05:30,1978,2024.75,1978,1988.85,81786
2022-01-21 00:00:00+05:30,1974,2003.95,1917.2,1951.7,429037
2022-01-24 00:00:00+05:30,1940.6,1975.7,1823.55,1867.55,235536
2022-01-25 00:00:00+05:30,1847,1855.15,1805.05,1834.85,287522
2022-01-27 00:00:00+05:30,1834.85,1834.85,1666,1726.35,399267
2022-01-28 00:00:00+05:30,1672.25,1838.25,1672.25,1784.7,460321
2022-01-31 00:00:00+05:30,1789.9,1819.95,1757.05,1781.8,275088
2022-02-01 00:00:00+05:30,1795,1940,1782.1,1902.7,898614
2022-02-02 00:00:00+05:30,1900.9,1933.8,1871.4,1919.55,258631
2022-02-03 00:00:00+05:30,1914,1970.7,1906.4,1941.7,442397
2022-02-04 00:00:00+05:30,1950,1960,1920.15,1940.2,161686
2022-02-07 00:00:00+05:30,1940.2,1986.45,1922.6,1978.6,259444
2022-02-08 00:00:00+05:30,1993.05,2015,1935,1939.95,152058
2022-02-09 00:00:00+05:30,1948.7,1985.8,1935.45,1969.3,195396
2022-02-10 00:00:00+05:30,1970.05,1976.05,1915,1948.15,84587
2022-02-11 00:00:00+05:30,1930.4,1950.5,1876,1898.95,153632
2022-02-14 00:00:00+05:30,1852,1883.3,1793.3,1804.45,121456
2022-02-15 00:00:00+05:30,1810,1860,1791.8,1854.6,175484
2022-02-16 00:00:00+05:30,1864.75,1873.5,1818,1830.3,71239
2022-02-17 00:00:00+05:30,1835,1865,1805.65,1842.85,384735
2022-02-18 00:00:00+05:30,1827.1,1836.45,1761.15,1789.05,317609
2022-02-21 00:00:00+05:30,1779.05,1798.9,1730.1,1739.15,89264
2022-02-22 00:00:00+05:30,1705,1732.15,1653.25,1686.25,292670
2022-02-23 00:00:00+05:30,1708.05,1708.05,1648.3,1654.25,173698
2022-02-24 00:00:00+05:30,1571.1,1623.75,1512.55,1536.85,516658
2022-02-25 00:00:00+05:30,1536.85,1620.75,1536.85,1574.85,482562
2022-02-28 00:00:00+05:30,1569,1598,1493.15,1567,462614
2022-03-02 00:00:00+05:30,1560,1560.35,1485,1517.35,401048
2022-03-03 00:00:00+05:30,1521,1548.8,1420.85,1426.8,369623
2022-03-04 00:00:00+05:30,1423.6,1454.95,1353.2,1404.4,478418
2022-03-07 00:00:00+05:30,1359,1373.9,1290.15,1331,553126
2022-03-08 00:00:00+05:30,1326.1,1379.7,1278.15,1362.25,573703
2022-03-09 00:00:00+05:30,1366.4,1475.9,1362.25,1465.1,442885
2022-03-10 00:00:00+05:30,1515.1,1529.95,1442.7,1482.15,466778
2022-03-11 00:00:00+05:30,1473.5,1480,1402,1429.85,449351
2022-03-14 00:00:00+05:30,1415,1429,1378.15,1407.4,313954
2022-03-15 00:00:00+05:30,1421.75,1474.9,1405.05,1423.8,389816
2022-03-16 00:00:00+05:30,1451.8,1482,1425.75,1473.6,405627
2022-03-17 00:00:00+05:30,1490,1523.4,1450.6,1460.25,352511
2022-03-21 00:00:00+05:30,1460,1460,1412.35,1425.15,277487
2022-03-22 00:00:00+05:30,1425.15,1431.95,1397.05,1422.45,208200
2022-03-23 00:00:00+05:30,1427,1440.75,1390.1,1412.5,145765
2022-03-24 00:00:00+05:30,1404.95,1412.1,1381.15,1388.45,165414
2022-03-25 00:00:00+05:30,1400,1403.35,1351.4,1360.4,171297
2022-03-28 00:00:00+05:30,1360.5,1396.95,1341.35,1383.65,239415
2022-03-29 00:00:00+05:30,1375,1448.95,1370.95,1431.7,524071
2022-03-30 00:00:00+05:30,1452.3,1502.4,1442.75,1493.15,682116
2022-03-31 00:00:00+05:30,1505.55,1507.65,1465,1495.6,215880
2022-04-01 00:00:00+05:30,1502,1534.95,1485,1526.2,396086
2022-04-04 00:00:00+05:30,1526.25,1583.3,1526.25,1576.9,248638
2022-04-05 00:00:00+05:30,1592.7,1609.1,1527.8,1592.35,228634
2022-04-06 00:00:00+05:30,1576,1624,1561.3,1593.9,360524
2022-04-07 00:00:00+05:30,1608,1614,1582.2,1589.2,204798
2022-04-08 00:00:00+05:30,1600,1622,1597.05,1607.25,122637
