date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,18.65,18.7,17.75,17.9,3813071
2022-01-04 00:00:00+05:30,18.1,18.45,17.65,17.85,4526571
2022-01-05 00:00:00+05:30,17.85,18.45,17.35,17.6,11356574
2022-01-06 00:00:00+05:30,17.5,18.25,17.35,17.7,11379182
2022-01-07 00:00:00+05:30,17.8,17.95,17.5,17.75,2987256
2022-01-10 00:00:00+05:30,18,18.25,17.9,18.05,3364945
2022-01-11 00:00:00+05:30,18.4,18.8,17.9,18.05,7314604
2022-01-12 00:00:00+05:30,18.05,18.4,17.85,17.95,4057545
2022-01-13 00:00:00+05:30,18.1,18.55,17.75,17.95,4779626
2022-01-14 00:00:00+05:30,17.9,18.15,17.1,17.3,7547292
2022-01-17 00:00:00+05:30,17.5,17.8,17.35,17.4,4213341
2022-01-18 00:00:00+05:30,17.5,17.65,17.15,17.5,3943800
2022-01-19 00:00:00+05:30,17.65,17.65,17.15,17.35,2061343
2022-01-20 00:00:00+05:30,17.45,17.7,17.15,17.3,3092184
2022-01-21 00:00:00+05:30,17.45,17.45,16.45,16.5,4542431
2022-01-24 00:00:00+05:30,16.9,16.9,15.7,15.7,3274148
2022-01-25 00:00:00+05:30,15.6,16,14.95,15.55,5006641
2022-01-27 00:00:00+05:30,15.55,16,15.1,15.8,3412279
2022-01-28 00:00:00+05:30,16.05,16.55,15.9,16.55,3099613
2022-01-31 00:00:00+05:30,16.9,16.9,16.3,16.35,1993985
2022-02-01 00:00:00+05:30,16.5,17.05,15.95,16.6,3052034
2022-02-02 00:00:00+05:30,16.8,17.4,16.4,17.35,7318569
2022-02-03 00:00:00+05:30,17.5,17.5,16.9,17,2929228
2022-02-04 00:00:00+05:30,17.2,17.2,16.5,16.65,3215565
2022-02-07 00:00:00+05:30,16.9,16.9,16,16.55,1890872
2022-02-08 00:00:00+05:30,16.55,16.75,15.95,16.35,1489809
2022-02-09 00:00:00+05:30,16.35,16.6,16.1,16.4,2706515
2022-02-10 00:00:00+05:30,16.45,17,16.35,16.55,2185841
2022-02-11 00:00:00+05:30,16.5,17.35,16.4,16.7,6984208
2022-02-14 00:00:00+05:30,16.3,16.65,15.05,15.3,4579235
2022-02-15 00:00:00+05:30,15.8,15.95,14.5,15.7,2847042
2022-02-16 00:00:00+05:30,15.7,16.2,15.4,15.6,3527695
2022-02-17 00:00:00+05:30,16,16,15.6,15.7,1850294
2022-02-18 00:00:00+05:30,15.5,16.7,15.5,16.25,2715409
2022-02-21 00:00:00+05:30,16,16.3,15.85,15.9,4708195
2022-02-22 00:00:00+05:30,15.5,15.7,14.8,15.2,9695457
2022-02-23 00:00:00+05:30,15.2,15.7,15.1,15.15,3113546
2022-02-24 00:00:00+05:30,14.1,14.8,13.7,13.85,4339590
2022-02-25 00:00:00+05:30,14.05,14.65,14,14.3,2727149
2022-02-28 00:00:00+05:30,14.3,14.65,14.05,14.45,1403977
2022-03-02 00:00:00+05:30,14.45,14.7,14.25,14.65,2983972
2022-03-03 00:00:00+05:30,14.75,15.55,14.7,14.9,1970529
2022-03-04 00:00:00+05:30,14.8,14.8,14.05,14.55,2136840
2022-03-07 00:00:00+05:30,14,14.2,13.2,14.1,3123892
2022-03-08 00:00:00+05:30,14.2,15.4,14.15,15,5130448
2022-03-09 00:00:00+05:30,15.35,15.75,15,15.2,4207951
2022-03-10 00:00:00+05:30,15.55,16.15,15.5,15.8,2618152
2022-03-11 00:00:00+05:30,15.9,16,15.1,15.45,2253315
2022-03-14 00:00:00+05:30,15.5,15.9,15.3,15.4,3488342
2022-03-15 00:00:00+05:30,15.65,15.65,15.05,15.25,3305093
2022-03-16 00:00:00+05:30,15.35,16.1,15.1,16,4891763
2022-03-17 00:00:00+05:30,16.25,16.3,15.8,16,2440226
2022-03-21 00:00:00+05:30,16,16.15,15.45,15.55,2893511
2022-03-22 00:00:00+05:30,15.4,15.65,15.35,15.55,2366433
2022-03-23 00:00:00+05:30,15.7,15.75,15.2,15.3,3444058
2022-03-24 00:00:00+05:30,15.15,16.8,15.15,16.65,14154276
2022-03-25 00:00:00+05:30,16.75,16.9,16.1,16.2,5771543
2022-03-28 00:00:00+05:30,16.4,16.45,15.65,15.75,3743439
2022-03-29 00:00:00+05:30,15.95,16,15.2,15.3,3615315
2022-03-30 00:00:00+05:30,15.4,16,15.4,15.8,2344272
2022-03-31 00:00:00+05:30,16,16.95,15.7,16.35,14364535
2022-04-01 00:00:00+05:30,16.5,16.65,16.3,16.4,2039885
2022-04-04 00:00:00+05:30,16.35,16.85,16.35,16.45,2834913
2022-04-05 00:00:00+05:30,16.65,16.8,16.35,16.4,2045063
2022-04-06 00:00:00+05:30,16.3,17.8,16.25,16.6,6806727
2022-04-07 00:00:00+05:30,16.85,18.4,16.75,17,13480395
2022-04-08 00:00:00+05:30,17.15,18.8,17.1,17.9,18392992
