date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,336.95,345,328.7,338.95,32176
2022-01-04 00:00:00+05:30,340.65,344.9,333,334.85,8575
2022-01-05 00:00:00+05:30,333,338.5,329.95,334.35,9644
2022-01-06 00:00:00+05:30,331,355.8,328,338.35,17828
2022-01-07 00:00:00+05:30,340.05,340.05,331.2,336.8,10161
2022-01-10 00:00:00+05:30,336.5,351,332,342,15036
2022-01-11 00:00:00+05:30,343.65,382,336.75,363,69404
2022-01-12 00:00:00+05:30,364.85,379.5,364.85,373.45,47357
2022-01-13 00:00:00+05:30,375,380,359,362.7,16363
2022-01-14 00:00:00+05:30,364.55,380,355.6,364.9,28512
2022-01-17 00:00:00+05:30,366.75,375.9,352,371.5,14777
2022-01-18 00:00:00+05:30,381.95,382,362.3,364.85,13655
2022-01-19 00:00:00+05:30,365,365,351.3,354.7,9113
2022-01-20 00:00:00+05:30,353,359.85,345.05,348.4,113419
2022-01-21 00:00:00+05:30,343,348.7,343,344.65,3808
2022-01-24 00:00:00+05:30,341,349.95,322.35,329.85,11698
2022-01-25 00:00:00+05:30,325,349.05,322,345.45,14911
2022-01-27 00:00:00+05:30,345,357,332.45,344.7,14442
2022-01-28 00:00:00+05:30,346.45,367.4,346.45,358.4,23379
2022-01-31 00:00:00+05:30,375.1,412,365.1,377.7,166353
2022-02-01 00:00:00+05:30,380,388.75,370,374.2,35874
2022-02-02 00:00:00+05:30,378.25,386.35,371,373.95,17282
2022-02-03 00:00:00+05:30,375,388.05,370,379.65,18161
2022-02-04 00:00:00+05:30,383.1,395,378.05,386.25,74469
2022-02-07 00:00:00+05:30,388.2,394.7,384.35,386.2,19660
2022-02-08 00:00:00+05:30,388.15,389.8,370.4,376.1,14338
2022-02-09 00:00:00+05:30,382.15,382.9,376.55,381.05,5502
2022-02-10 00:00:00+05:30,383,388.65,376.05,379.65,3890
2022-02-11 00:00:00+05:30,377,378.55,371.75,373.9,6024
2022-02-14 00:00:00+05:30,365,369.5,350.3,351.7,14471
2022-02-15 00:00:00+05:30,353.5,364.8,345.45,362.75,11325
2022-02-16 00:00:00+05:30,364.6,369.7,357.55,366.65,6395
2022-02-17 00:00:00+05:30,366.05,373.25,359,362.8,15993
2022-02-18 00:00:00+05:30,362,384.4,355.1,357.8,46771
2022-02-21 00:00:00+05:30,359,380,345.1,371.8,41329
2022-02-22 00:00:00+05:30,368,373.3,358.15,367.1,15785
2022-02-23 00:00:00+05:30,368.95,378.65,364.3,367.75,25328
2022-02-24 00:00:00+05:30,352.3,356.85,332.9,342.75,22202
2022-02-25 00:00:00+05:30,350.1,374,350.1,368.45,13717
2022-02-28 00:00:00+05:30,368,372,357.55,370,3013
2022-03-02 00:00:00+05:30,364.85,379.8,357.8,372.6,12007
2022-03-03 00:00:00+05:30,374.45,382,370,372.4,14295
2022-03-04 00:00:00+05:30,374.3,374.5,351,363.4,20278
2022-03-07 00:00:00+05:30,363.4,363.4,346.65,361.4,11788
2022-03-08 00:00:00+05:30,363,377.6,355.4,368.5,11141
2022-03-09 00:00:00+05:30,370.35,394.05,368.85,391.05,35104
2022-03-10 00:00:00+05:30,395,396,385,386.25,18552
2022-03-11 00:00:00+05:30,387.2,388.5,381.9,385.75,5881
2022-03-14 00:00:00+05:30,385,404.7,382.05,391,27310
2022-03-15 00:00:00+05:30,392,400,380,384.1,15694
2022-03-16 00:00:00+05:30,388.2,412,385.95,408.5,54482
2022-03-17 00:00:00+05:30,411,437.7,411,414.6,85870
2022-03-21 00:00:00+05:30,420.3,422.5,398.05,405.65,16156
2022-03-22 00:00:00+05:30,407.7,413.25,397.05,407.5,10790
2022-03-23 00:00:00+05:30,409.55,427,405.05,408.9,30707
2022-03-24 00:00:00+05:30,410.95,411.5,403,406.45,5127
2022-03-25 00:00:00+05:30,408,429,406.95,416.55,76808
2022-03-28 00:00:00+05:30,424.9,482,424.9,466.85,557459
2022-03-29 00:00:00+05:30,458.7,466.4,445,452.05,134718
2022-03-30 00:00:00+05:30,454.25,463.6,445.55,448.35,73293
2022-03-31 00:00:00+05:30,450.6,451.5,432.15,438,29195
2022-04-01 00:00:00+05:30,439.9,465.05,434.05,458.75,51983
2022-04-04 00:00:00+05:30,465,472,455.05,458.75,74217
2022-04-05 00:00:00+05:30,461.05,464,438.15,445.15,46967
2022-04-06 00:00:00+05:30,442.5,517.3,438,485.25,673896
2022-04-07 00:00:00+05:30,485.1,485.1,465.5,471.45,54717
2022-04-08 00:00:00+05:30,473.85,496.75,466.85,480.8,77898
