date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,135,138.2,134.55,137.25,17763
2022-01-04 00:00:00+05:30,137.2,140.8,135.1,137.95,30885
2022-01-05 00:00:00+05:30,138.95,155.45,137.85,149.25,426722
2022-01-06 00:00:00+05:30,148.2,148.75,145,145.3,48188
2022-01-07 00:00:00+05:30,146.45,149.95,141.2,143.1,43881
2022-01-10 00:00:00+05:30,145,145.85,142.25,143.2,27497
2022-01-11 00:00:00+05:30,144,171.8,139.05,171.6,1922795
2022-01-12 00:00:00+05:30,178,193,166.85,168.95,1740166
2022-01-13 00:00:00+05:30,172,179,170.5,172.6,269011
2022-01-14 00:00:00+05:30,171.8,174.45,170,170.5,95224
2022-01-17 00:00:00+05:30,171,175.45,170,170.75,136821
2022-01-18 00:00:00+05:30,173,173,162,164.95,98584
2022-01-19 00:00:00+05:30,162,166,161.05,163.05,52437
2022-01-20 00:00:00+05:30,161.2,166.95,160,160.95,60116
2022-01-21 00:00:00+05:30,158,161.25,155,155.95,72712
2022-01-24 00:00:00+05:30,154,156.95,147.55,148.95,55622
2022-01-25 00:00:00+05:30,148,155.7,146.55,150.3,42620
2022-01-27 00:00:00+05:30,147.1,153.2,147.1,150.5,23294
2022-01-28 00:00:00+05:30,154.3,155.95,150.3,152.1,34417
2022-01-31 00:00:00+05:30,153.2,179,153.2,169.6,533599
2022-02-01 00:00:00+05:30,169.9,169.9,161.35,162.1,118969
2022-02-02 00:00:00+05:30,164.8,171,162.15,165.1,90746
2022-02-03 00:00:00+05:30,166.5,166.5,162,162.7,30995
2022-02-04 00:00:00+05:30,161.3,164.55,160.2,161.15,25557
2022-02-07 00:00:00+05:30,162,162,152.4,154.6,41238
2022-02-08 00:00:00+05:30,158,159.5,152.45,157.2,63787
2022-02-09 00:00:00+05:30,156,164.5,151.2,156.25,60419
2022-02-10 00:00:00+05:30,156,158.9,155,155.6,27786
2022-02-11 00:00:00+05:30,152.5,155,150.7,153.25,24593
2022-02-14 00:00:00+05:30,144.5,152.45,144.5,145.1,40080
2022-02-15 00:00:00+05:30,149.6,150.85,143.15,144.95,53296
2022-02-16 00:00:00+05:30,145,147.95,142.25,143.1,112135
2022-02-17 00:00:00+05:30,144.95,152.7,144,146.45,106632
2022-02-18 00:00:00+05:30,146,148.75,144,144.7,18969
2022-02-21 00:00:00+05:30,142,144,136.2,138.1,35403
2022-02-22 00:00:00+05:30,137.95,137.95,132.2,133.7,35695
2022-02-23 00:00:00+05:30,135,138.9,134.5,135.1,50955
2022-02-24 00:00:00+05:30,125.1,129,117,119.2,123188
2022-02-25 00:00:00+05:30,124.95,141.9,121.75,129.25,141319
2022-02-28 00:00:00+05:30,129.2,132.2,125.85,130.85,41062
2022-03-02 00:00:00+05:30,130.85,135.25,128.1,131.5,36664
2022-03-03 00:00:00+05:30,134,135.65,131.6,132,35073
2022-03-04 00:00:00+05:30,131.25,139.95,128.8,131.35,72130
2022-03-07 00:00:00+05:30,131.35,131.9,128.2,129.6,28403
2022-03-08 00:00:00+05:30,129.1,132.5,129,131.2,23846
2022-03-09 00:00:00+05:30,132.9,135.95,131.65,134.35,32399
2022-03-10 00:00:00+05:30,135.6,139.6,135.5,136.8,32908
2022-03-11 00:00:00+05:30,135,150,134.5,146.6,187099
2022-03-14 00:00:00+05:30,146.7,172.9,146.45,164.75,1070096
2022-03-15 00:00:00+05:30,166.7,171.9,155.15,160.6,381892
2022-03-16 00:00:00+05:30,168,175.95,161.7,169.75,671182
2022-03-17 00:00:00+05:30,171.1,173,162.6,163.85,197141
2022-03-21 00:00:00+05:30,165.15,170,162.7,166.45,158437
2022-03-22 00:00:00+05:30,166.9,168.95,163.85,165.3,65096
2022-03-23 00:00:00+05:30,168,171.5,163.35,164.7,119058
2022-03-24 00:00:00+05:30,163,167.9,163,164.1,33891
2022-03-25 00:00:00+05:30,164.1,171,163.05,167.5,138936
2022-03-28 00:00:00+05:30,169,178.05,163.5,171.2,355715
2022-03-29 00:00:00+05:30,173.1,176,165.65,166.9,144572
2022-03-30 00:00:00+05:30,168.9,168.9,164.1,165,58083
2022-03-31 00:00:00+05:30,166.3,168.65,163,163.75,75835
2022-04-01 00:00:00+05:30,163,171.4,158.9,167.55,179646
2022-04-04 00:00:00+05:30,168.9,176.9,168.6,170,147723
2022-04-05 00:00:00+05:30,171.4,173.5,162,171.1,97758
2022-04-06 00:00:00+05:30,170.45,179.55,169.05,175.45,292485
2022-04-07 00:00:00+05:30,175.45,178.55,168,168.85,151245
2022-04-08 00:00:00+05:30,170.6,174.7,169.5,172.45,78279
