date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,50.5,51.25,49,50,4298765
2022-01-04 00:00:00+05:30,51.9,53.35,51,51.65,6702493
2022-01-05 00:00:00+05:30,50,51.6,48.8,50.5,4458190
2022-01-06 00:00:00+05:30,55.3,55.3,52.65,53,12444981
2022-01-07 00:00:00+05:30,53.1,53.5,52.15,52.45,2857897
2022-01-10 00:00:00+05:30,52.25,53.15,51.65,52.5,3204501
2022-01-11 00:00:00+05:30,52.5,54,51.1,52.3,3860376
2022-01-12 00:00:00+05:30,52.5,53.25,52.25,52.45,2263155
2022-01-13 00:00:00+05:30,52.5,52.8,51.5,51.65,1839444
2022-01-14 00:00:00+05:30,51.2,53.3,51.05,52.25,2310840
2022-01-17 00:00:00+05:30,51.95,52,51.5,51.55,1373208
2022-01-18 00:00:00+05:30,51.5,51.9,50.25,50.5,1636380
2022-01-19 00:00:00+05:30,50.45,51.5,49.65,50.8,2139639
2022-01-20 00:00:00+05:30,50.8,51.25,49.8,49.9,1723055
2022-01-21 00:00:00+05:30,51,51.8,49.6,49.85,2268402
2022-01-24 00:00:00+05:30,51.1,51.1,48.4,48.65,2446434
2022-01-25 00:00:00+05:30,48.9,49.4,47.65,48.85,1245792
2022-01-27 00:00:00+05:30,48.8,49.45,47,48.2,1352733
2022-01-28 00:00:00+05:30,49,49.25,48.6,48.8,889475
2022-01-31 00:00:00+05:30,49.1,49.6,48.15,48.7,1037589
2022-02-01 00:00:00+05:30,49.1,55.9,48.55,49.2,7929960
2022-02-02 00:00:00+05:30,50.05,50.3,49.4,49.7,1556339
2022-02-03 00:00:00+05:30,49.8,50.4,47.8,48.2,2621444
2022-02-04 00:00:00+05:30,47.6,47.95,46.5,47.35,2518548
2022-02-07 00:00:00+05:30,47.35,47.9,46.9,47.1,1593436
2022-02-08 00:00:00+05:30,47.5,49.1,47.2,48.2,2543549
2022-02-09 00:00:00+05:30,49.4,49.4,47.8,48.1,1209499
2022-02-10 00:00:00+05:30,47.9,48,47.35,47.55,1290625
2022-02-11 00:00:00+05:30,47.5,47.55,47.05,47.15,1203520
2022-02-14 00:00:00+05:30,46.55,46.9,45,45.15,1588830
2022-02-15 00:00:00+05:30,45.2,47.25,44.3,45.95,2800161
2022-02-16 00:00:00+05:30,46.5,47.95,46.25,47.7,2029471
2022-02-17 00:00:00+05:30,47.95,48.25,47,47.3,2357723
2022-02-18 00:00:00+05:30,47.15,47.3,46.65,46.85,1906930
2022-02-21 00:00:00+05:30,47.3,47.75,46,46.15,2275301
2022-02-22 00:00:00+05:30,44.2,45.75,44.2,44.55,3223491
2022-02-23 00:00:00+05:30,44.6,48,44.6,47.1,4062978
2022-02-24 00:00:00+05:30,46.25,46.45,42.8,43.15,5141913
2022-02-25 00:00:00+05:30,45,46.35,45,45.8,3370168
2022-02-28 00:00:00+05:30,47,51.7,47,49,16021207
2022-03-02 00:00:00+05:30,51.3,52,49.25,49.7,9470370
2022-03-03 00:00:00+05:30,51,51.2,48.1,48.75,6300044
2022-03-04 00:00:00+05:30,51,51,49,49.9,5122951
2022-03-07 00:00:00+05:30,49.9,49.9,48.35,48.65,3507003
2022-03-08 00:00:00+05:30,48.5,49.3,48.25,48.9,3355013
2022-03-09 00:00:00+05:30,49,49.3,48.5,48.8,1967387
2022-03-10 00:00:00+05:30,49.35,49.5,48.4,48.65,3945883
2022-03-11 00:00:00+05:30,47.4,47.5,45.8,46.3,4929419
2022-03-14 00:00:00+05:30,45.6,46.05,43.8,44.3,6448049
2022-03-15 00:00:00+05:30,44,45.05,42.85,43.05,5633099
2022-03-16 00:00:00+05:30,43.05,43.35,42.1,42.25,3994415
2022-03-17 00:00:00+05:30,42.45,42.45,38.3,38.65,11484548
2022-03-21 00:00:00+05:30,38.8,38.9,35.25,35.65,11960545
2022-03-22 00:00:00+05:30,35,35,29.7,30.35,24152640
2022-03-23 00:00:00+05:30,29.75,33.35,27.95,33.35,16218732
2022-03-24 00:00:00+05:30,34.6,36.65,34.3,36.65,6098725
2022-03-25 00:00:00+05:30,39,40.15,36.1,38.15,11492995
2022-03-28 00:00:00+05:30,37.8,37.85,36.25,36.25,1550908
2022-03-29 00:00:00+05:30,34.6,35.5,34.45,34.45,1451514
2022-03-30 00:00:00+05:30,32.75,35.5,32.75,32.75,9113260
2022-03-31 00:00:00+05:30,32.4,33.5,31.15,31.2,5099913
2022-04-01 00:00:00+05:30,31.2,32.75,31.2,32.75,1131849
2022-04-04 00:00:00+05:30,33.4,34.3,32.6,33.35,4689196
2022-04-05 00:00:00+05:30,34,34,32.85,32.95,2851097
2022-04-06 00:00:00+05:30,32.9,33,32.15,32.35,3610517
2022-04-07 00:00:00+05:30,32,32.9,30.75,30.85,5647286
2022-04-08 00:00:00+05:30,31.95,31.95,29.95,30.2,5266988
