date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,6,6,6,6,152082
2022-01-04 00:00:00+05:30,6.3,6.3,5.7,6.3,3300335
2022-01-05 00:00:00+05:30,6.6,6.6,6.3,6.6,1215800
2022-01-06 00:00:00+05:30,6.9,6.9,6.9,6.9,261765
2022-01-07 00:00:00+05:30,7.2,7.2,7.2,7.2,323757
2022-01-10 00:00:00+05:30,7.55,7.55,7.55,7.55,317646
2022-01-11 00:00:00+05:30,7.9,7.9,7.9,7.9,182656
2022-01-12 00:00:00+05:30,8.25,8.25,7.55,7.65,4406154
2022-01-13 00:00:00+05:30,7.3,7.3,7.3,7.3,376144
2022-01-14 00:00:00+05:30,6.95,6.95,6.95,6.95,965429
2022-01-17 00:00:00+05:30,6.65,7.25,6.65,7.25,1672828
2022-01-18 00:00:00+05:30,7.4,7.6,6.9,6.9,1846267
2022-01-19 00:00:00+05:30,6.6,6.8,6.6,6.6,322150
2022-01-20 00:00:00+05:30,6.3,6.3,6.3,6.3,191308
2022-01-21 00:00:00+05:30,6,6,6,6,215136
2022-01-24 00:00:00+05:30,5.7,5.7,5.7,5.7,136030
2022-01-25 00:00:00+05:30,5.45,5.45,5.45,5.45,167311
2022-01-27 00:00:00+05:30,5.2,5.2,5.2,5.2,112194
2022-01-28 00:00:00+05:30,4.95,4.95,4.95,4.95,256906
2022-01-31 00:00:00+05:30,4.75,4.75,4.75,4.75,234630
2022-02-01 00:00:00+05:30,4.55,4.55,4.55,4.55,125263
2022-02-02 00:00:00+05:30,4.35,4.75,4.35,4.75,1789158
2022-02-03 00:00:00+05:30,4.95,4.95,4.8,4.95,781736
2022-02-04 00:00:00+05:30,5.15,5.15,5.15,5.15,172437
2022-02-07 00:00:00+05:30,5.4,5.4,4.9,5.4,1498301
2022-02-08 00:00:00+05:30,5.6,5.65,5.4,5.65,1054906
2022-02-09 00:00:00+05:30,5.9,5.9,5.4,5.4,727211
2022-02-10 00:00:00+05:30,5.15,5.15,5.15,5.15,98397
2022-02-11 00:00:00+05:30,4.9,4.9,4.9,4.9,251336
2022-02-14 00:00:00+05:30,4.7,4.7,4.7,4.7,93862
2022-02-15 00:00:00+05:30,4.5,4.9,4.5,4.6,666750
2022-02-16 00:00:00+05:30,4.6,4.8,4.4,4.4,755002
2022-02-17 00:00:00+05:30,4.4,4.4,4.2,4.2,238663
2022-02-18 00:00:00+05:30,4,4.4,4,4.4,551930
2022-02-21 00:00:00+05:30,4.55,4.6,4.2,4.2,534315
2022-02-22 00:00:00+05:30,4,4,4,4,166266
2022-02-23 00:00:00+05:30,3.85,4.2,3.8,4.2,427617
2022-02-24 00:00:00+05:30,4,4.2,4,4,368138
2022-02-25 00:00:00+05:30,4,4.2,4,4.2,420716
2022-02-28 00:00:00+05:30,4.2,4.35,4,4.3,376016
2022-03-02 00:00:00+05:30,4.3,4.45,4.1,4.3,252246
2022-03-03 00:00:00+05:30,4.3,4.35,4.2,4.25,291646
2022-03-04 00:00:00+05:30,4.25,4.25,4.05,4.05,465539
2022-03-07 00:00:00+05:30,3.85,4.1,3.85,4,320946
2022-03-08 00:00:00+05:30,4.1,4.15,3.95,4.1,229323
2022-03-09 00:00:00+05:30,4.15,4.2,4.05,4.2,202541
2022-03-10 00:00:00+05:30,4.2,4.4,4.15,4.4,540232
2022-03-11 00:00:00+05:30,4.4,4.6,4.3,4.5,652351
2022-03-14 00:00:00+05:30,4.55,4.6,4.35,4.4,448577
2022-03-15 00:00:00+05:30,4.5,4.5,4.2,4.2,499017
2022-03-16 00:00:00+05:30,4.3,4.3,4,4.15,340915
2022-03-17 00:00:00+05:30,4.15,4.3,4,4.1,250228
2022-03-21 00:00:00+05:30,4.1,4.15,3.95,4.05,204255
2022-03-22 00:00:00+05:30,3.95,4.25,3.9,4.05,483638
2022-03-23 00:00:00+05:30,4.2,4.2,4,4.05,163893
2022-03-24 00:00:00+05:30,4.15,4.15,3.9,3.95,227287
2022-03-25 00:00:00+05:30,3.95,4,3.8,3.85,287054
2022-03-28 00:00:00+05:30,3.8,3.9,3.7,3.75,297814
2022-03-29 00:00:00+05:30,3.6,3.8,3.6,3.6,422519
2022-03-30 00:00:00+05:30,3.65,3.65,3.45,3.45,496087
2022-03-31 00:00:00+05:30,3.5,3.6,3.45,3.5,276268
2022-04-01 00:00:00+05:30,3.6,3.65,3.45,3.65,117359
2022-04-04 00:00:00+05:30,3.8,3.8,3.8,3.8,79825
2022-04-05 00:00:00+05:30,3.95,3.95,3.95,3.95,99446
2022-04-06 00:00:00+05:30,4.1,4.1,3.9,4.1,638813
2022-04-07 00:00:00+05:30,4.4,4.5,4.15,4.5,715051
2022-04-08 00:00:00+05:30,4.8,4.95,4.6,4.95,830521
