date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,20.95,21.15,20,21.1,1634898
2022-01-04 00:00:00+05:30,21.1,21.5,20.25,21,1070660
2022-01-05 00:00:00+05:30,21,21.2,20.2,20.85,860314
2022-01-06 00:00:00+05:30,20.75,20.75,20,20.4,1225167
2022-01-07 00:00:00+05:30,20.35,20.4,19.85,20.25,915577
2022-01-10 00:00:00+05:30,20.15,20.25,19.7,20.05,614494
2022-01-11 00:00:00+05:30,20,20.35,19.8,20,751122
2022-01-12 00:00:00+05:30,20,20.45,19.9,20.15,952343
2022-01-13 00:00:00+05:30,20.4,20.4,19.85,20.05,554693
2022-01-14 00:00:00+05:30,20.1,20.1,19.8,19.95,451884
2022-01-17 00:00:00+05:30,19.95,20.2,19.7,19.95,1245892
2022-01-18 00:00:00+05:30,19.8,19.95,19.4,19.75,718586
2022-01-19 00:00:00+05:30,19.95,20.1,19.1,19.45,536592
2022-01-20 00:00:00+05:30,19.6,20.5,19.4,20.05,1908815
2022-01-21 00:00:00+05:30,20.4,20.5,19.7,19.9,582297
2022-01-24 00:00:00+05:30,20.3,20.5,19.25,19.7,1215890
2022-01-25 00:00:00+05:30,19.4,20.2,19.05,19.95,1577040
2022-01-27 00:00:00+05:30,19.9,20.2,19.55,19.7,509373
2022-01-28 00:00:00+05:30,19.9,20.05,18,19.7,621109
2022-01-31 00:00:00+05:30,19.95,20.1,19.5,20,1462408
2022-02-01 00:00:00+05:30,19.85,20.05,19.6,20,1514808
2022-02-02 00:00:00+05:30,20.1,21.3,20.1,20.75,1024717
2022-02-03 00:00:00+05:30,21.9,22.8,21.5,22.05,4062021
2022-02-04 00:00:00+05:30,22.65,23.7,21,21.25,3388304
2022-02-07 00:00:00+05:30,22.9,24.75,22.1,22.35,3521213
2022-02-08 00:00:00+05:30,23.65,25,20.8,22.7,2390154
2022-02-09 00:00:00+05:30,23.5,24.15,21.4,21.5,2250297
2022-02-10 00:00:00+05:30,21.7,22,20.35,20.65,1403700
2022-02-11 00:00:00+05:30,20.35,21,19.5,20,1429538
2022-02-14 00:00:00+05:30,19.8,19.8,18,18.7,957505
2022-02-15 00:00:00+05:30,18.65,19.45,15.25,17.95,1360227
2022-02-16 00:00:00+05:30,18.5,19.5,18.3,18.9,984974
2022-02-17 00:00:00+05:30,19.2,19.85,17.2,17.5,1589862
2022-02-18 00:00:00+05:30,17.85,19,16.8,17.25,1464373
2022-02-21 00:00:00+05:30,17.3,18,16,16.65,894348
2022-02-22 00:00:00+05:30,15.85,16.3,15.15,15.85,641722
2022-02-23 00:00:00+05:30,16,16.85,15.7,16.1,814187
2022-02-24 00:00:00+05:30,15.5,15.5,12.9,12.9,1876584
2022-02-25 00:00:00+05:30,13.8,15.45,13.1,13.95,2706697
2022-02-28 00:00:00+05:30,14.5,14.5,12.9,13.85,1400950
2022-03-02 00:00:00+05:30,13.3,14.3,12.85,13.05,1745442
2022-03-03 00:00:00+05:30,13.35,13.7,12.15,12.3,2323294
2022-03-04 00:00:00+05:30,12,12.65,11.5,12.2,1719338
2022-03-07 00:00:00+05:30,11.5,11.75,11,11,1137938
2022-03-08 00:00:00+05:30,11.2,12,10.35,11.35,1556568
2022-03-09 00:00:00+05:30,11.9,12.25,11.65,11.95,846615
2022-03-10 00:00:00+05:30,12.5,13.1,12.4,13.1,2038042
2022-03-11 00:00:00+05:30,13.3,13.95,11.8,11.8,4949485
2022-03-14 00:00:00+05:30,11.4,12,10.65,11.25,4252006
2022-03-15 00:00:00+05:30,11.25,11.7,10.15,10.5,4191040
2022-03-16 00:00:00+05:30,10.75,11.1,9.45,9.45,3863460
2022-03-17 00:00:00+05:30,9.6,9.9,9,9.9,6575893
2022-03-21 00:00:00+05:30,10.2,10.35,9.6,10.3,1681948
2022-03-22 00:00:00+05:30,10.25,10.75,9.8,9.8,2145107
2022-03-23 00:00:00+05:30,9.7,10,9.35,9.35,1355686
2022-03-24 00:00:00+05:30,8.95,9.35,8.9,8.9,1458844
2022-03-25 00:00:00+05:30,8.55,9.1,8.5,8.5,1586294
2022-03-28 00:00:00+05:30,8.2,8.3,8.1,8.1,794809
2022-03-29 00:00:00+05:30,7.7,8.5,7.7,8.5,1780592
2022-03-30 00:00:00+05:30,8.55,8.8,8.1,8.1,3616462
2022-03-31 00:00:00+05:30,7.9,8.4,7.7,7.7,1647704
2022-04-01 00:00:00+05:30,7.35,7.55,7.35,7.35,1019357
2022-04-04 00:00:00+05:30,7.05,7.65,7,7.45,3363399
2022-04-05 00:00:00+05:30,7.35,7.8,7.3,7.8,2752018
2022-04-06 00:00:00+05:30,7.75,8.15,7.6,8.1,3233570
2022-04-07 00:00:00+05:30,8.4,8.5,7.7,7.7,3444804
2022-04-08 00:00:00+05:30,7.55,7.7,7.35,7.45,1438646
