date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,188,193.4,188,188.6,1075078
2022-01-04 00:00:00+05:30,190,191.75,185.4,186.4,1102984
2022-01-05 00:00:00+05:30,185,190,183.1,185,969365
2022-01-06 00:00:00+05:30,185,190.15,182.7,187.9,1186175
2022-01-07 00:00:00+05:30,189,193.4,186.35,191.15,1283153
2022-01-10 00:00:00+05:30,194.5,197,190.5,191.5,1107949
2022-01-11 00:00:00+05:30,192.9,197.25,189.8,192.95,1809379
2022-01-12 00:00:00+05:30,194.9,211.8,193.6,205.05,5979727
2022-01-13 00:00:00+05:30,204.5,211.5,200.6,209.15,2337373
2022-01-14 00:00:00+05:30,206.5,208,202.5,203.25,985040
2022-01-17 00:00:00+05:30,204,208,201,204.1,1287882
2022-01-18 00:00:00+05:30,206,221.9,206,211.35,5335289
2022-01-19 00:00:00+05:30,211.2,218.4,208.15,216.5,2006417
2022-01-20 00:00:00+05:30,218.2,218.2,211.55,214.1,763409
2022-01-21 00:00:00+05:30,212,214.55,198.8,202.4,1202624
2022-01-24 00:00:00+05:30,203.35,205.6,190,191.55,1004957
2022-01-25 00:00:00+05:30,192.35,205,185.1,199.3,1294641
2022-01-27 00:00:00+05:30,197,215,195.9,213.05,1429349
2022-01-28 00:00:00+05:30,214.8,219.55,206.05,207.4,1002107
2022-01-31 00:00:00+05:30,209.45,214.9,205.1,207.3,1771404
2022-02-01 00:00:00+05:30,211.95,213.65,207.35,209.35,961655
2022-02-02 00:00:00+05:30,211.05,216.95,208.65,214.25,1300691
2022-02-03 00:00:00+05:30,214,214,207,207.9,589553
2022-02-04 00:00:00+05:30,208.9,212.1,206,208.2,645432
2022-02-07 00:00:00+05:30,200,204,190.1,192.2,1433111
2022-02-08 00:00:00+05:30,193.8,198.35,185.1,186.35,1114324
2022-02-09 00:00:00+05:30,187.9,190.7,183,183.7,1040687
2022-02-10 00:00:00+05:30,185.4,185.4,179.35,180.25,647823
2022-02-11 00:00:00+05:30,177.8,179.9,173.05,174.6,493548
2022-02-14 00:00:00+05:30,170,170.25,161.25,163.35,805367
2022-02-15 00:00:00+05:30,162,167.2,160.3,164.65,907275
2022-02-16 00:00:00+05:30,165,171.95,165,166.65,1036188
2022-02-17 00:00:00+05:30,168.5,169.6,161,161.65,597651
2022-02-18 00:00:00+05:30,159.9,164.85,156,158.2,721762
2022-02-21 00:00:00+05:30,151.35,155.9,148.2,152.3,981577
2022-02-22 00:00:00+05:30,143.75,154.7,142.35,150.4,798045
2022-02-23 00:00:00+05:30,152.85,158.65,152.55,156.6,591693
2022-02-24 00:00:00+05:30,146,150.7,140.05,143.2,963131
2022-02-25 00:00:00+05:30,148.7,153.75,146.2,148.45,996425
2022-02-28 00:00:00+05:30,148.45,155,145.8,152.8,853126
2022-03-02 00:00:00+05:30,151.9,152.75,145,147.6,603486
2022-03-03 00:00:00+05:30,149.8,151.65,143.7,144.9,659276
2022-03-04 00:00:00+05:30,143.9,143.95,137,137.95,766843
2022-03-07 00:00:00+05:30,137,137,129.2,131.4,1212390
2022-03-08 00:00:00+05:30,132.8,139.8,131.45,138.6,928085
2022-03-09 00:00:00+05:30,138.25,142.2,137.15,140.9,901891
2022-03-10 00:00:00+05:30,143.25,145.9,138.35,139.8,699773
2022-03-11 00:00:00+05:30,138.65,143,137.7,139,576829
2022-03-14 00:00:00+05:30,140,142.1,135,141.1,1034243
2022-03-15 00:00:00+05:30,141.2,142.75,138.4,139.4,438768
2022-03-16 00:00:00+05:30,141.1,142.65,139.15,139.95,446611
2022-03-17 00:00:00+05:30,142,145.25,140.95,143.5,729046
2022-03-21 00:00:00+05:30,144.9,154.5,142.1,153.05,1921817
2022-03-22 00:00:00+05:30,153.05,156.8,152.15,155,922910
2022-03-23 00:00:00+05:30,155.95,164.6,155.7,160,1238472
2022-03-24 00:00:00+05:30,159.95,162.45,159.45,160.15,530372
2022-03-25 00:00:00+05:30,162,167.35,162,163.1,947971
2022-03-28 00:00:00+05:30,164.35,164.35,160,163.25,611070
2022-03-29 00:00:00+05:30,163.4,166.55,159.95,162.3,793910
2022-03-30 00:00:00+05:30,163.65,167,162.5,163.4,545970
2022-03-31 00:00:00+05:30,164.7,166.8,163.05,163.85,443789
2022-04-01 00:00:00+05:30,165,167.8,160.1,166.7,604903
2022-04-04 00:00:00+05:30,167,169.7,165.25,165.8,483829
2022-04-05 00:00:00+05:30,166,170.95,165.05,167.45,701087
2022-04-06 00:00:00+05:30,166,175.1,166,173.25,955070
2022-04-07 00:00:00+05:30,174.65,176.4,168.75,170.9,510993
2022-04-08 00:00:00+05:30,172.25,176.45,169.1,174.45,1051754
