date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,150.8,154,148.9,151.65,177660
2022-01-04 00:00:00+05:30,153,156.7,150.2,151.95,302946
2022-01-05 00:00:00+05:30,152,157.5,151.85,155.55,179831
2022-01-06 00:00:00+05:30,155.1,156.75,152.95,153.6,343676
2022-01-07 00:00:00+05:30,154.8,156.7,146,151.05,192342
2022-01-10 00:00:00+05:30,153.9,153.9,149.7,151.2,166678
2022-01-11 00:00:00+05:30,151.2,161,151.2,157.1,409394
2022-01-12 00:00:00+05:30,158.35,164.45,157.1,160.7,500262
2022-01-13 00:00:00+05:30,161.9,161.9,157,157.85,138031
2022-01-14 00:00:00+05:30,157.6,159.8,156.65,158.05,106483
2022-01-17 00:00:00+05:30,161.95,163,157.3,157.65,87770
2022-01-18 00:00:00+05:30,158.4,162.45,155,155.6,169198
2022-01-19 00:00:00+05:30,155.65,155.9,151.35,152.7,207530
2022-01-20 00:00:00+05:30,152,154.35,151.75,152.4,53908
2022-01-21 00:00:00+05:30,152,152.5,148.8,149.55,82070
2022-01-24 00:00:00+05:30,151,151.05,143.05,144.5,152956
2022-01-25 00:00:00+05:30,144,148.5,141,147.3,100990
2022-01-27 00:00:00+05:30,146,149.5,145.65,147.05,76514
2022-01-28 00:00:00+05:30,147.4,168.3,147.4,161.9,1249112
2022-01-31 00:00:00+05:30,163,165.8,157.5,159.2,347210
2022-02-01 00:00:00+05:30,166.55,167.9,157,159.85,592077
2022-02-02 00:00:00+05:30,160.5,164.9,160.5,162.45,254976
2022-02-03 00:00:00+05:30,162.45,163.7,159,159.45,148666
2022-02-04 00:00:00+05:30,160.4,161.5,157.75,158.75,110524
2022-02-07 00:00:00+05:30,159.7,160,154.05,155.8,100706
2022-02-08 00:00:00+05:30,156.1,156.7,149.75,152.9,171280
2022-02-09 00:00:00+05:30,152.5,155.8,150,153.45,153021
2022-02-10 00:00:00+05:30,155.8,158.65,153.45,155.25,142859
2022-02-11 00:00:00+05:30,153,157.35,148.35,151.85,106228
2022-02-14 00:00:00+05:30,145.6,152.9,141,143.35,145551
2022-02-15 00:00:00+05:30,143.7,148.3,140,147.35,158217
2022-02-16 00:00:00+05:30,148.3,151,147.1,148,95975
2022-02-17 00:00:00+05:30,149.25,151.5,146.1,147.05,54339
2022-02-18 00:00:00+05:30,145.2,148.15,139.7,142.2,92420
2022-02-21 00:00:00+05:30,142.95,143.95,139,140.05,117067
2022-02-22 00:00:00+05:30,138,138.05,134,135.15,133487
2022-02-23 00:00:00+05:30,136.75,140.55,135,135.7,85483
2022-02-24 00:00:00+05:30,131,132.9,125.1,126.55,204827
2022-02-25 00:00:00+05:30,127.3,136.5,127.3,135.5,112661
2022-02-28 00:00:00+05:30,131.6,136.5,131.35,135.7,161274
2022-03-02 00:00:00+05:30,137,139.35,134.7,136.15,106001
2022-03-03 00:00:00+05:30,136.3,138.85,135.55,136.4,51558
2022-03-04 00:00:00+05:30,136.4,136.4,131.75,132.15,95783
2022-03-07 00:00:00+05:30,131,132.05,128.3,129.55,104354
2022-03-08 00:00:00+05:30,130.85,134,130.15,132.1,139669
2022-03-09 00:00:00+05:30,133.9,135.6,132.45,134.45,150469
2022-03-10 00:00:00+05:30,137,139.65,135.5,136.15,165266
2022-03-11 00:00:00+05:30,136.95,137.4,134.25,136.2,65340
2022-03-14 00:00:00+05:30,137.25,138,135,135.45,139261
2022-03-15 00:00:00+05:30,137.85,139.8,134.5,135.5,159432
2022-03-16 00:00:00+05:30,137,138.8,135.7,136.9,121754
2022-03-17 00:00:00+05:30,138.95,141.25,137.7,139.65,191969
2022-03-21 00:00:00+05:30,139.8,140.7,135.35,137.05,155050
2022-03-22 00:00:00+05:30,138.9,138.9,135,136.45,99506
2022-03-23 00:00:00+05:30,136.95,138.8,135.8,137.4,85981
2022-03-24 00:00:00+05:30,135.55,138.45,135.55,135.95,109963
2022-03-25 00:00:00+05:30,136.4,138.35,135.35,136.1,106266
2022-03-28 00:00:00+05:30,137,137.2,132.8,134.15,101830
2022-03-29 00:00:00+05:30,135,136.4,131.75,132.45,189843
2022-03-30 00:00:00+05:30,135,135.85,133,133.4,107435
2022-03-31 00:00:00+05:30,133.4,134.85,130.4,130.95,97225
2022-04-01 00:00:00+05:30,131.6,137.55,131.6,137.1,110831
2022-04-04 00:00:00+05:30,138,144,138,141.1,337968
2022-04-05 00:00:00+05:30,142.35,144,141.3,142.7,149551
2022-04-06 00:00:00+05:30,141.8,146.8,140.65,144.55,206818
2022-04-07 00:00:00+05:30,144.55,154.8,144.5,151.75,685895
2022-04-08 00:00:00+05:30,152.85,153.75,148.2,151,272289
