date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,3845,3894.25,3841.15,3851.3,67056
2022-01-04 00:00:00+05:30,3867,3935,3863.15,3885.55,62410
2022-01-05 00:00:00+05:30,3915,3991,3892.05,3941.8,189457
2022-01-06 00:00:00+05:30,3941.8,4062.95,3904.6,3981.05,400366
2022-01-07 00:00:00+05:30,3954,3954.95,3901,3914.85,75598
2022-01-10 00:00:00+05:30,3915,3930.95,3802,3862.4,83636
2022-01-11 00:00:00+05:30,3849,3907,3745,3766.05,215939
2022-01-12 00:00:00+05:30,3799.7,3799.7,3676,3714.3,142022
2022-01-13 00:00:00+05:30,3715.05,3775.1,3715.05,3749.8,252742
2022-01-14 00:00:00+05:30,3745,3760,3707,3723.85,75581
2022-01-17 00:00:00+05:30,3718,3725.65,3686,3697.35,176311
2022-01-18 00:00:00+05:30,3699.2,3717,3660,3675.5,95323
2022-01-19 00:00:00+05:30,3682.5,3698.2,3604.25,3679.95,115797
2022-01-20 00:00:00+05:30,3679.95,3679.95,3610,3634.2,113576
2022-01-21 00:00:00+05:30,3610,3636.05,3555,3568.1,140396
2022-01-24 00:00:00+05:30,3545,3545,3246,3304,417558
2022-01-25 00:00:00+05:30,3304,3429.95,3270,3397.1,322575
2022-01-27 00:00:00+05:30,3390,3475,3242.15,3379.25,293369
2022-01-28 00:00:00+05:30,3409.85,3431.85,3285,3321.95,288308
2022-01-31 00:00:00+05:30,3320,3450,3266.5,3428.15,615917
2022-02-01 00:00:00+05:30,3410,3534,3365,3512.95,287792
2022-02-02 00:00:00+05:30,3520,3521.9,3455.05,3474.35,110862
2022-02-03 00:00:00+05:30,3491,3597,3439.6,3579.5,148365
2022-02-04 00:00:00+05:30,3598,3598,3500,3513.95,77655
2022-02-07 00:00:00+05:30,3506,3541.2,3414.2,3483.15,69246
2022-02-08 00:00:00+05:30,3476.85,3500,3373.35,3467.35,85739
2022-02-09 00:00:00+05:30,3435.8,3598,3435.8,3533.8,114116
2022-02-10 00:00:00+05:30,3549,3549,3430,3454.65,193850
2022-02-11 00:00:00+05:30,3439.95,3594.7,3413.4,3543.15,200387
2022-02-14 00:00:00+05:30,3498,3575,3450,3507.5,481100
2022-02-15 00:00:00+05:30,3450,3489.75,3348.05,3411.35,215866
2022-02-16 00:00:00+05:30,3439.95,3452.4,3362,3412.75,113057
2022-02-17 00:00:00+05:30,3415.55,3478,3369.95,3383.2,64700
2022-02-18 00:00:00+05:30,3380.2,3380.2,3190,3217.5,389707
2022-02-21 00:00:00+05:30,3211,3279.35,3120,3252.9,246962
2022-02-22 00:00:00+05:30,3189.9,3349,3163.7,3246.1,247161
2022-02-23 00:00:00+05:30,3280,3400,3270.4,3356.1,190246
2022-02-24 00:00:00+05:30,3279.6,3330,3202,3296.15,149508
2022-02-25 00:00:00+05:30,3296,3381,3277,3316.05,96835
2022-02-28 00:00:00+05:30,3312,3312,3219.5,3263.2,148185
2022-03-02 00:00:00+05:30,3203.4,3263.2,3203.1,3231.05,119259
2022-03-03 00:00:00+05:30,3237.35,3274,3210.1,3250.6,63635
2022-03-04 00:00:00+05:30,3185.6,3303.2,3185,3248.55,102558
2022-03-07 00:00:00+05:30,3210,3246.7,3133.25,3199.75,113299
2022-03-08 00:00:00+05:30,3195.6,3230,3129.8,3189.55,132275
2022-03-09 00:00:00+05:30,3190,3320.15,3160.1,3299.6,141355
2022-03-10 00:00:00+05:30,3355,3381.1,3310,3356.85,151666
2022-03-11 00:00:00+05:30,3340,3365,3307.45,3329.4,93725
2022-03-14 00:00:00+05:30,3340,3374.05,3295.6,3329.65,52834
2022-03-15 00:00:00+05:30,3333,3343.55,3256,3271.3,191043
2022-03-16 00:00:00+05:30,3304.45,3349.9,3282.15,3303.25,89866
2022-03-17 00:00:00+05:30,3319.85,3325,3285,3300.15,80136
2022-03-21 00:00:00+05:30,3332.2,3332.95,3256,3282.65,72209
2022-03-22 00:00:00+05:30,3271,3296,3170,3199.85,194024
2022-03-23 00:00:00+05:30,3271,3309.95,3190,3277.25,582350
2022-03-24 00:00:00+05:30,3280,3291.95,3204,3233.1,352735
2022-03-25 00:00:00+05:30,3233.1,3250,3185,3199.95,501050
2022-03-28 00:00:00+05:30,3205,3265.45,3180,3245.85,198128
2022-03-29 00:00:00+05:30,3265,3301.9,3250.05,3282.9,136057
2022-03-30 00:00:00+05:30,3300,3315,3220,3244.2,138740
2022-03-31 00:00:00+05:30,3240,3282.5,3216.8,3272.65,306258
2022-04-01 00:00:00+05:30,3287.9,3359,3281.75,3342.8,329067
2022-04-04 00:00:00+05:30,3343,3394,3340,3388.25,84738
2022-04-05 00:00:00+05:30,3390,3394,3344.9,3381.65,120129
2022-04-06 00:00:00+05:30,3390,3395,3290,3335.6,608576
2022-04-07 00:00:00+05:30,3339.9,3344.1,3275,3288.35,76691
2022-04-08 00:00:00+05:30,3319,3319,3255.65,3266,64257
