date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,1668.1,1678.5,1650.05,1655.85,32984
2022-01-04 00:00:00+05:30,1960,1960,1765,1817.3,718772
2022-01-05 00:00:00+05:30,1834,1875.65,1771,1795.65,262098
2022-01-06 00:00:00+05:30,1819.45,1824.5,1776,1785.4,324542
2022-01-07 00:00:00+05:30,1428.5,1462.5,1428.3,1428.3,1149530
2022-01-10 00:00:00+05:30,1390,1450,1342.5,1419.35,2149348
2022-01-11 00:00:00+05:30,1432.25,1555,1417.5,1504.55,1726494
2022-01-12 00:00:00+05:30,1535,1567.3,1530,1541.75,457624
2022-01-13 00:00:00+05:30,1557,1560.95,1536,1547.75,256204
2022-01-14 00:00:00+05:30,1565,1592.9,1555,1584.15,385396
2022-01-17 00:00:00+05:30,1472.5,1512.5,1460,1480,425748
2022-01-18 00:00:00+05:30,1492,1498,1412.5,1417.7,285430
2022-01-19 00:00:00+05:30,1405,1417.1,1390,1392.6,184266
2022-01-20 00:00:00+05:30,1394.5,1422.55,1387.5,1398.75,99446
2022-01-21 00:00:00+05:30,1387.5,1392.5,1355,1364.6,155946
2022-01-24 00:00:00+05:30,1365,1366.45,1275,1283.9,144736
2022-01-25 00:00:00+05:30,1275,1279.9,1250,1261.4,148722
2022-01-27 00:00:00+05:30,1250,1257,1234.95,1241.95,83668
2022-01-28 00:00:00+05:30,1250,1297.25,1245,1258.2,96324
2022-01-31 00:00:00+05:30,1272,1284.7,1260,1274,47438
2022-02-01 00:00:00+05:30,1291.7,1291.7,1260.5,1272.6,49334
2022-02-02 00:00:00+05:30,1277,1313.75,1276.25,1300.55,71384
2022-02-03 00:00:00+05:30,1299.35,1305,1278.15,1280.6,74300
2022-02-04 00:00:00+05:30,1282.5,1289.4,1270.1,1272.8,39882
2022-02-07 00:00:00+05:30,1271.85,1285.05,1245.7,1254.55,65042
2022-02-08 00:00:00+05:30,1259.95,1266,1250.5,1258.7,50798
2022-02-09 00:00:00+05:30,1258.7,1290,1251.95,1284.85,36920
2022-02-10 00:00:00+05:30,1294.3,1310,1278.45,1301.7,48932
2022-02-11 00:00:00+05:30,1295.55,1299.55,1282.5,1292.65,48234
2022-02-14 00:00:00+05:30,1250,1260,1200.55,1236.55,155412
2022-02-15 00:00:00+05:30,1257.5,1257.5,1210,1255.45,101448
2022-02-16 00:00:00+05:30,1275,1343.75,1262.6,1315.25,146554
2022-02-17 00:00:00+05:30,1340,1396.2,1330.1,1387.1,205224
2022-02-18 00:00:00+05:30,1360.5,1410,1316.25,1335.95,219500
2022-02-21 00:00:00+05:30,1359.95,1386,1341.25,1366.9,295484
2022-02-22 00:00:00+05:30,1300,1330.95,1245.3,1310.1,147674
2022-02-23 00:00:00+05:30,1326,1339,1299.15,1306.95,39629
2022-02-24 00:00:00+05:30,1258,1278.5,1200.05,1207.85,78843
2022-02-25 00:00:00+05:30,1250,1258.7,1226,1232.8,56761
2022-02-28 00:00:00+05:30,1240,1240,1200.05,1213.45,32475
2022-03-02 00:00:00+05:30,1223,1236.95,1198,1206.1,31579
2022-03-03 00:00:00+05:30,1229,1229.85,1199.4,1207,31295
2022-03-04 00:00:00+05:30,1200.1,1204.2,1162.55,1171.05,39202
2022-03-07 00:00:00+05:30,1135,1147.65,1117.25,1126.05,71649
2022-03-08 00:00:00+05:30,1125,1137.6,1105,1116,89647
2022-03-09 00:00:00+05:30,1119.9,1137,1119.9,1133.55,41223
2022-03-10 00:00:00+05:30,1140,1193.65,1140,1157.8,71237
2022-03-11 00:00:00+05:30,1159.9,1173.55,1149.05,1160.5,48446
2022-03-14 00:00:00+05:30,1160,1167.7,1150,1151.75,42966
2022-03-15 00:00:00+05:30,1152.45,1160.1,1135,1136.35,36834
2022-03-16 00:00:00+05:30,1139,1148.2,1118,1120.6,81846
2022-03-17 00:00:00+05:30,1129,1139.9,1107,1110.35,73927
2022-03-21 00:00:00+05:30,1119.9,1119.9,1077.1,1092.25,109319
2022-03-22 00:00:00+05:30,1100,1179.95,1086,1151.45,180808
2022-03-23 00:00:00+05:30,1160.1,1178.95,1050.4,1101.65,159171
2022-03-24 00:00:00+05:30,1105,1119.3,1095,1102.75,98213
2022-03-25 00:00:00+05:30,1104,1110,1075,1078.15,120954
2022-03-28 00:00:00+05:30,1078.15,1083.55,1020,1031.95,166751
2022-03-29 00:00:00+05:30,1035,1047.4,1021.35,1024.9,120507
2022-03-30 00:00:00+05:30,1036,1067.45,1025.75,1043.05,138901
2022-03-31 00:00:00+05:30,1044.3,1054.95,1020,1023.7,84992
2022-04-01 00:00:00+05:30,1029.9,1151,1027,1121.25,466696
2022-04-04 00:00:00+05:30,1131.7,1143.7,1106.75,1114.25,114679
2022-04-05 00:00:00+05:30,1116.5,1134.7,1110.35,1126.55,76646
2022-04-06 00:00:00+05:30,1125,1129.6,1100,1107.15,72738
2022-04-07 00:00:00+05:30,1115,1120.5,1096.1,1109.15,56322
2022-04-08 00:00:00+05:30,1114,1133.9,1109.25,1121.85,66457
