date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,532.2,544.6,532.2,535.15,19201
2022-01-04 00:00:00+05:30,543.8,550,535.2,546.35,23498
2022-01-05 00:00:00+05:30,546,560,542.15,557.15,46598
2022-01-06 00:00:00+05:30,562,563.4,546.45,558.8,23546
2022-01-07 00:00:00+05:30,565.5,629,560.05,621.3,254912
2022-01-10 00:00:00+05:30,630,642.6,616.95,623.15,103908
2022-01-11 00:00:00+05:30,624.9,628,600,608.65,39440
2022-01-12 00:00:00+05:30,618.45,623.75,609.25,613.4,39084
2022-01-13 00:00:00+05:30,630,630,610.95,624.9,44025
2022-01-14 00:00:00+05:30,630,630,610.65,615.55,32159
2022-01-17 00:00:00+05:30,618.1,623.85,602.35,607.85,19784
2022-01-18 00:00:00+05:30,614.85,617.85,594.05,600.8,38808
2022-01-19 00:00:00+05:30,587.75,605.85,587.75,594.05,20225
2022-01-20 00:00:00+05:30,597.65,615,590.15,596.55,62007
2022-01-21 00:00:00+05:30,609.9,609.9,576.3,593.45,49664
2022-01-24 00:00:00+05:30,593.4,595.45,570,570.8,49939
2022-01-25 00:00:00+05:30,563.1,584.8,563.1,573.4,29934
2022-01-27 00:00:00+05:30,572,580.3,568,572.2,18957
2022-01-28 00:00:00+05:30,575,593.35,565,566,14664
2022-01-31 00:00:00+05:30,579.95,588,560,562.3,20597
2022-02-01 00:00:00+05:30,565.5,568.9,557,557.4,10929
2022-02-02 00:00:00+05:30,570,570,552,555.7,21665
2022-02-03 00:00:00+05:30,560.4,560.4,545,547.9,17312
2022-02-04 00:00:00+05:30,554.9,554.9,541.15,544.7,5357
2022-02-07 00:00:00+05:30,544.7,550.95,533,543.7,24619
2022-02-08 00:00:00+05:30,529.95,549.95,520,541,17536
2022-02-09 00:00:00+05:30,539,585,520.95,570.3,58640
2022-02-10 00:00:00+05:30,584,604,555.05,596.55,60378
2022-02-11 00:00:00+05:30,588.9,596,568.1,574,17546
2022-02-14 00:00:00+05:30,580,580,559.15,567.85,15354
2022-02-15 00:00:00+05:30,575,575,561.05,565.85,20864
2022-02-16 00:00:00+05:30,573.05,574.05,560.85,561.9,5575
2022-02-17 00:00:00+05:30,571.25,572.3,551.6,554.1,7844
2022-02-18 00:00:00+05:30,549.9,561.75,545.4,551.25,13222
2022-02-21 00:00:00+05:30,550.05,570.4,540,540.65,17171
2022-02-22 00:00:00+05:30,557.5,557.5,514.65,532.8,29396
2022-02-23 00:00:00+05:30,532,572,528.65,533.35,14570
2022-02-24 00:00:00+05:30,531.75,532,501.8,505.5,91745
2022-02-25 00:00:00+05:30,520,571.2,510.05,540.75,23665
2022-02-28 00:00:00+05:30,536.25,559,523,553.25,77382
2022-03-02 00:00:00+05:30,557,560,538.25,549.15,9887
2022-03-03 00:00:00+05:30,559,579,547,557.8,92914
2022-03-04 00:00:00+05:30,559,564.35,503.15,515.95,69566
2022-03-07 00:00:00+05:30,498.05,524.9,498.05,513.95,10951
2022-03-08 00:00:00+05:30,525,525,502.55,509.65,13309
2022-03-09 00:00:00+05:30,508.95,527.95,508.95,519.05,70227
2022-03-10 00:00:00+05:30,534,534,521.05,522.6,14781
2022-03-11 00:00:00+05:30,523.1,529.8,512.6,518.65,18494
2022-03-14 00:00:00+05:30,522.1,527.75,509,516.3,29788
2022-03-15 00:00:00+05:30,521.45,524,506.5,510.6,25255
2022-03-16 00:00:00+05:30,529,529,507.5,510.35,20298
2022-03-17 00:00:00+05:30,523.5,525.7,514,520.45,40896
2022-03-21 00:00:00+05:30,527,531,516,517.45,65691
2022-03-22 00:00:00+05:30,523.3,523.3,509.05,516.9,27099
2022-03-23 00:00:00+05:30,515.5,523.9,512,513.2,10869
2022-03-24 00:00:00+05:30,515,540,511,529.75,29789
2022-03-25 00:00:00+05:30,534.8,538.5,513.75,516.55,18833
2022-03-28 00:00:00+05:30,516.55,523.2,505.45,513.2,20900
2022-03-29 00:00:00+05:30,516.55,518,504,506.75,26002
2022-03-30 00:00:00+05:30,516,516,506.2,508.35,9568
2022-03-31 00:00:00+05:30,504.5,514.3,501.05,503.9,26967
2022-04-01 00:00:00+05:30,508.85,517.75,504,515.85,46644
2022-04-04 00:00:00+05:30,522.95,533.8,514.05,528.45,29933
2022-04-05 00:00:00+05:30,530,551.05,526,535.4,22780
2022-04-06 00:00:00+05:30,544.55,544.9,532.15,539.4,17910
2022-04-07 00:00:00+05:30,527.95,543.9,527.95,532.35,12836
2022-04-08 00:00:00+05:30,539.5,543.2,527.4,533.45,15643
