date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,66.8,66.8,61.55,62.4,24842
2022-01-04 00:00:00+05:30,63.85,63.85,60,61.55,37052
2022-01-05 00:00:00+05:30,61.8,64.6,61,64.6,28635
2022-01-06 00:00:00+05:30,64.5,64.5,61.95,62.65,32437
2022-01-07 00:00:00+05:30,63,65.55,62.4,64.85,45544
2022-01-10 00:00:00+05:30,66,68,62.5,62.95,28510
2022-01-11 00:00:00+05:30,63,64.7,62.1,62.8,16584
2022-01-12 00:00:00+05:30,64.4,64.45,61.3,61.95,15265
2022-01-13 00:00:00+05:30,62,63.7,60,60.6,18049
2022-01-14 00:00:00+05:30,61.35,61.55,59.45,59.95,17503
2022-01-17 00:00:00+05:30,61.15,61.6,58.95,60,24673
2022-01-18 00:00:00+05:30,60.5,61.95,59.15,60.1,19420
2022-01-19 00:00:00+05:30,60.9,61.2,58.1,59.3,18403
2022-01-20 00:00:00+05:30,58.45,62.25,58.45,62.25,39016
2022-01-21 00:00:00+05:30,63.5,65.35,62.3,63.05,39573
2022-01-24 00:00:00+05:30,64,64,59.9,59.9,14529
2022-01-25 00:00:00+05:30,60.5,60.5,57.2,58.85,24279
2022-01-27 00:00:00+05:30,58.2,61.25,56.95,58.25,6208
2022-01-28 00:00:00+05:30,60.3,61.15,58.05,60.8,11316
2022-01-31 00:00:00+05:30,62.95,63.05,59,59.65,11711
2022-02-01 00:00:00+05:30,59.25,61.7,58.55,58.85,12268
2022-02-02 00:00:00+05:30,58.55,60.2,58.55,59.15,4207
2022-02-03 00:00:00+05:30,61,61.9,58.55,59.5,24648
2022-02-04 00:00:00+05:30,58.75,60.75,58.75,58.9,7631
2022-02-07 00:00:00+05:30,61.5,61.7,58.85,58.95,4426
2022-02-08 00:00:00+05:30,61.2,61.2,58.2,59.45,16643
2022-02-09 00:00:00+05:30,64.35,64.35,58.3,58.7,8409
2022-02-10 00:00:00+05:30,60.9,60.95,57.5,58.1,5907
2022-02-11 00:00:00+05:30,58,58,56.3,57.25,14638
2022-02-14 00:00:00+05:30,55.85,58.25,52.3,52.9,14799
2022-02-15 00:00:00+05:30,52.9,55.4,50,53.1,36645
2022-02-16 00:00:00+05:30,54.1,55.8,52.5,54.5,12413
2022-02-17 00:00:00+05:30,55.8,55.8,52,52.25,16793
2022-02-18 00:00:00+05:30,52.25,54.65,50.55,51.55,15879
2022-02-21 00:00:00+05:30,53.55,53.55,49.55,50.1,12794
2022-02-22 00:00:00+05:30,49.4,50.95,45.2,47.35,16557
2022-02-23 00:00:00+05:30,51.3,51.45,47.2,48.5,9945
2022-02-24 00:00:00+05:30,49,49,43.65,44.05,24628
2022-02-25 00:00:00+05:30,43.9,48.45,43.9,47.45,19043
2022-02-28 00:00:00+05:30,47,47.8,45.2,47.2,3660
2022-03-02 00:00:00+05:30,49.8,49.8,46.55,47.7,8672
2022-03-03 00:00:00+05:30,47.5,49,47.5,47.65,7168
2022-03-04 00:00:00+05:30,47.05,48.25,47.05,48,6578
2022-03-07 00:00:00+05:30,51.5,51.5,45.2,47.3,6081
2022-03-08 00:00:00+05:30,49.65,50.95,47.15,50.05,20700
2022-03-09 00:00:00+05:30,51.1,53.5,49.5,50.55,18014
2022-03-10 00:00:00+05:30,50.6,51.4,50,50.1,8365
2022-03-11 00:00:00+05:30,51.5,51.5,49.6,50.45,8498
2022-03-14 00:00:00+05:30,51.75,51.75,47.5,48.55,15006
2022-03-15 00:00:00+05:30,49.95,49.95,46.8,47.45,10988
2022-03-16 00:00:00+05:30,49.65,49.65,46.8,47.1,10453
2022-03-17 00:00:00+05:30,48.8,50.75,47.7,50.15,15492
2022-03-21 00:00:00+05:30,53.45,53.95,50.75,51,19939
2022-03-22 00:00:00+05:30,53,53,49,49.85,9545
2022-03-23 00:00:00+05:30,49.85,50.3,49,49.4,24844
2022-03-24 00:00:00+05:30,51,51,48,48.8,7715
2022-03-25 00:00:00+05:30,50.8,50.8,48.15,48.25,5959
2022-03-28 00:00:00+05:30,47.35,51,44.1,47.2,28446
2022-03-29 00:00:00+05:30,47,47.45,44.3,44.85,17876
2022-03-30 00:00:00+05:30,46.4,47.8,45,45.55,14444
2022-03-31 00:00:00+05:30,45.55,46.2,43.7,43.9,14627
2022-04-01 00:00:00+05:30,45.2,48.25,44.6,48.25,24536
2022-04-04 00:00:00+05:30,50.4,52.5,48.5,49.55,25440
2022-04-05 00:00:00+05:30,51.85,52.85,49.05,50,32313
2022-04-06 00:00:00+05:30,50,52.5,50,51.95,17995
2022-04-07 00:00:00+05:30,53,55.3,51.05,52.9,75513
2022-04-08 00:00:00+05:30,52.6,54.85,52.6,54.05,20756
