date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,22.2,22.9,21.7,22.55,51630
2022-01-04 00:00:00+05:30,22.75,22.95,22.4,22.55,48170
2022-01-05 00:00:00+05:30,22.15,24.1,22.15,22.95,160179
2022-01-06 00:00:00+05:30,22.95,24.6,22.5,23.95,241551
2022-01-07 00:00:00+05:30,25.3,25.3,23.9,24,136318
2022-01-10 00:00:00+05:30,24.55,24.7,23.55,24.05,128980
2022-01-11 00:00:00+05:30,24.35,24.35,23.15,23.35,88901
2022-01-12 00:00:00+05:30,23.4,25.5,23.4,24.1,377039
2022-01-13 00:00:00+05:30,26,26.5,25.1,26.5,714543
2022-01-14 00:00:00+05:30,26.1,27.8,25.3,25.45,787787
2022-01-17 00:00:00+05:30,25.5,26.1,25,25.45,214894
2022-01-18 00:00:00+05:30,25.95,25.95,24.65,24.8,106246
2022-01-19 00:00:00+05:30,25.1,25.1,23.65,24.3,77522
2022-01-20 00:00:00+05:30,24.15,24.8,24,24.25,64410
2022-01-21 00:00:00+05:30,24.25,26.15,24,24.45,147035
2022-01-24 00:00:00+05:30,25,25,22.4,22.75,158051
2022-01-25 00:00:00+05:30,22.9,24.2,22,23.5,45705
2022-01-27 00:00:00+05:30,23.65,24.95,23.05,24.35,150216
2022-01-28 00:00:00+05:30,24.75,25,23.7,24,56350
2022-01-31 00:00:00+05:30,24.15,25.4,24.15,24.35,53411
2022-02-01 00:00:00+05:30,24.85,24.85,23.9,24.1,48576
2022-02-02 00:00:00+05:30,24.7,25.15,24.3,24.5,79169
2022-02-03 00:00:00+05:30,25.35,25.35,24.65,24.9,103113
2022-02-04 00:00:00+05:30,25.1,25.4,24.7,24.75,193446
2022-02-07 00:00:00+05:30,25.25,29.7,24.75,29.55,3745677
2022-02-08 00:00:00+05:30,29.8,30.4,27.3,28.2,1278350
2022-02-09 00:00:00+05:30,28.5,30.5,26.7,28.35,1367751
2022-02-10 00:00:00+05:30,28.5,28.7,26.35,26.7,301481
2022-02-11 00:00:00+05:30,26.4,27.3,25.6,26,172270
2022-02-14 00:00:00+05:30,25.05,25.8,24,24.3,138831
2022-02-15 00:00:00+05:30,25.4,25.4,23.15,24.3,195295
2022-02-16 00:00:00+05:30,25.9,26.1,24.8,25.1,144148
2022-02-17 00:00:00+05:30,25.45,25.5,24.5,24.65,65531
2022-02-18 00:00:00+05:30,24.45,25.3,24,24.35,47041
2022-02-21 00:00:00+05:30,24,24.6,23.1,23.2,93766
2022-02-22 00:00:00+05:30,23,23.9,21.8,22.5,139600
2022-02-23 00:00:00+05:30,23.8,24.4,22.8,23.3,117168
2022-02-24 00:00:00+05:30,22.9,22.9,21,21.6,155988
2022-02-25 00:00:00+05:30,22.5,23.5,22.1,22.45,77742
2022-02-28 00:00:00+05:30,22.4,23.1,22.1,22.6,66151
2022-03-02 00:00:00+05:30,22.65,23.4,22.2,22.45,71779
2022-03-03 00:00:00+05:30,23.4,23.4,22.65,22.8,37170
2022-03-04 00:00:00+05:30,22.95,22.95,21.8,22.1,73040
2022-03-07 00:00:00+05:30,22.1,22.1,21,21.25,71081
2022-03-08 00:00:00+05:30,21.85,22.3,21.4,22.2,36365
2022-03-09 00:00:00+05:30,22.25,23,22.1,22.7,72930
2022-03-10 00:00:00+05:30,23.5,24.3,22.8,23.2,60865
2022-03-11 00:00:00+05:30,23.55,23.7,23,23.35,48237
2022-03-14 00:00:00+05:30,23.8,24.25,23.25,24.05,107387
2022-03-15 00:00:00+05:30,24.65,24.65,23.25,23.7,76811
2022-03-16 00:00:00+05:30,23.85,24.2,23.4,23.65,42078
2022-03-17 00:00:00+05:30,23.9,24.2,23.1,23.3,68342
2022-03-21 00:00:00+05:30,23.8,24.25,23.05,23.55,51534
2022-03-22 00:00:00+05:30,23.55,23.95,23.1,23.35,42118
2022-03-23 00:00:00+05:30,23.75,23.75,23.05,23.15,59319
2022-03-24 00:00:00+05:30,23.25,23.5,22.7,22.85,33530
2022-03-25 00:00:00+05:30,23,23.35,22.6,22.75,28422
2022-03-28 00:00:00+05:30,22.75,23.1,21.45,21.7,115168
2022-03-29 00:00:00+05:30,22,22.95,21.45,21.6,462274
2022-03-30 00:00:00+05:30,22.45,22.7,21.8,22.25,73122
2022-03-31 00:00:00+05:30,22.85,22.9,21.1,21.6,98692
2022-04-01 00:00:00+05:30,22.1,24.9,21.8,23.25,334007
2022-04-04 00:00:00+05:30,23.95,27.9,23.45,27.9,1114812
2022-04-05 00:00:00+05:30,29.5,30.95,26.7,27,1319370
2022-04-06 00:00:00+05:30,27.1,27.8,26.4,26.9,162634
2022-04-07 00:00:00+05:30,27.45,28,26.4,26.55,176110
2022-04-08 00:00:00+05:30,26.8,27.35,26.65,26.9,124626
