date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,194.65,212,194.65,205.8,191310
2022-01-04 00:00:00+05:30,207.4,212.7,202.6,203.75,58666
2022-01-05 00:00:00+05:30,203.75,206.1,196.9,197.65,73462
2022-01-06 00:00:00+05:30,196,204.85,195.55,202.45,48042
2022-01-07 00:00:00+05:30,203,205.2,198.9,203.25,40139
2022-01-10 00:00:00+05:30,204.9,210,202.8,207.85,130121
2022-01-11 00:00:00+05:30,209.25,214.8,204.45,210.2,209591
2022-01-12 00:00:00+05:30,210.5,213.95,206.1,207.55,61143
2022-01-13 00:00:00+05:30,206.05,209.55,204.2,205.2,49155
2022-01-14 00:00:00+05:30,205,217.2,205,211.85,123617
2022-01-17 00:00:00+05:30,210.05,219.05,209.1,213.05,142349
2022-01-18 00:00:00+05:30,214.8,229.9,212,218.3,622295
2022-01-19 00:00:00+05:30,219,223.7,215,220.65,126054
2022-01-20 00:00:00+05:30,222.7,227.5,220,222.55,91001
2022-01-21 00:00:00+05:30,221.4,225.8,214.25,217.4,92551
2022-01-24 00:00:00+05:30,215,215.5,200.1,204.4,92733
2022-01-25 00:00:00+05:30,207.4,220.5,200,219,180201
2022-01-27 00:00:00+05:30,217.95,219,212.15,215.05,80053
2022-01-28 00:00:00+05:30,217,224.35,213.45,214.65,132184
2022-01-31 00:00:00+05:30,216.35,221.1,215.5,217.1,73000
2022-02-01 00:00:00+05:30,222.7,234.85,213.25,232.5,596235
2022-02-02 00:00:00+05:30,234,235.9,226.5,227.6,232799
2022-02-03 00:00:00+05:30,229,229.45,223.2,223.95,59541
2022-02-04 00:00:00+05:30,224.6,236,219.5,223.45,180270
2022-02-07 00:00:00+05:30,224,227.8,220.1,222.5,83923
2022-02-08 00:00:00+05:30,223.15,224.65,216,216.8,44056
2022-02-09 00:00:00+05:30,220,226.7,217.6,223.1,77188
2022-02-10 00:00:00+05:30,224.35,225,218.25,218.85,46200
2022-02-11 00:00:00+05:30,217.75,224.8,217.4,220,88971
2022-02-14 00:00:00+05:30,215.65,217.75,202,205.3,98305
2022-02-15 00:00:00+05:30,205.5,214.25,205,209.15,51366
2022-02-16 00:00:00+05:30,212,218.85,209.05,214.55,50516
2022-02-17 00:00:00+05:30,215.05,218,205.25,209.2,36211
2022-02-18 00:00:00+05:30,209,212.35,206,207.4,19348
2022-02-21 00:00:00+05:30,207,212,204.15,206.9,65098
2022-02-22 00:00:00+05:30,201.05,209,195.25,200.25,65115
2022-02-23 00:00:00+05:30,199.05,204.2,198.5,201.7,45519
2022-02-24 00:00:00+05:30,195.5,196.6,185.1,186.15,72287
2022-02-25 00:00:00+05:30,188.45,193.75,188.45,192.05,36975
2022-02-28 00:00:00+05:30,190,197.4,187.8,194.05,35946
2022-03-02 00:00:00+05:30,194,200.85,188.15,192.45,99750
2022-03-03 00:00:00+05:30,196,196.6,191,191.9,24485
2022-03-04 00:00:00+05:30,191,192.35,188.65,190.75,20199
2022-03-07 00:00:00+05:30,187.95,191.85,185.25,186.7,23990
2022-03-08 00:00:00+05:30,190,191.05,179.6,183.95,51320
2022-03-09 00:00:00+05:30,184.05,190.65,184.05,189.6,33274
2022-03-10 00:00:00+05:30,193.35,194.95,185.1,186.4,43086
2022-03-11 00:00:00+05:30,186.55,191.05,186.4,188.75,22758
2022-03-14 00:00:00+05:30,192.9,192.9,183.1,185.3,46223
2022-03-15 00:00:00+05:30,188.85,189,183.4,184,53390
2022-03-16 00:00:00+05:30,186,190.85,186,189.6,34485
2022-03-17 00:00:00+05:30,193.4,193.4,188.15,189.35,25611
2022-03-21 00:00:00+05:30,190,192.9,185.9,188.85,50873
2022-03-22 00:00:00+05:30,189.05,190.75,186.25,188.05,26970
2022-03-23 00:00:00+05:30,190,190.9,185.1,185.65,41424
2022-03-24 00:00:00+05:30,187.8,191,185,187.1,70949
2022-03-25 00:00:00+05:30,187.35,188.75,183.1,184.35,44222
2022-03-28 00:00:00+05:30,184.1,187.65,180,180.25,48700
2022-03-29 00:00:00+05:30,183.75,183.75,175.1,176.55,102142
2022-03-30 00:00:00+05:30,178.5,182.9,178.5,179.65,44731
2022-03-31 00:00:00+05:30,180,182.5,178.05,178.4,42562
2022-04-01 00:00:00+05:30,178.5,186.5,178.4,183.2,46555
2022-04-04 00:00:00+05:30,187.2,195.95,186.05,193.9,91978
2022-04-05 00:00:00+05:30,196.65,198,192.55,193.6,70929
2022-04-06 00:00:00+05:30,192.6,196.9,192.05,194.7,32119
2022-04-07 00:00:00+05:30,194.7,197.7,192.65,193.6,36265
2022-04-08 00:00:00+05:30,193.6,196.5,191.8,193.15,23816
