date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,369.75,376.65,365.35,375.15,20944
2022-01-04 00:00:00+05:30,368.6,379.55,366.65,371,24457
2022-01-05 00:00:00+05:30,374.8,394.9,373,389.5,54428
2022-01-06 00:00:00+05:30,388.5,420,385.05,410.65,203907
2022-01-07 00:00:00+05:30,409,427.9,404.5,421.35,96091
2022-01-10 00:00:00+05:30,425.1,505.6,425.1,502.9,619543
2022-01-11 00:00:00+05:30,510,579,491.4,537.4,804163
2022-01-12 00:00:00+05:30,532,560,520.35,525.65,147536
2022-01-13 00:00:00+05:30,521.3,540,512,521.15,70991
2022-01-14 00:00:00+05:30,515,539,515,521.95,48371
2022-01-17 00:00:00+05:30,534,574.1,522.05,574.1,122534
2022-01-18 00:00:00+05:30,597.6,624.8,550.35,564.35,180252
2022-01-19 00:00:00+05:30,570,620.75,570,620.75,253757
2022-01-20 00:00:00+05:30,637,640.8,602,607.9,135138
2022-01-21 00:00:00+05:30,610,620,573.5,583.15,72569
2022-01-24 00:00:00+05:30,571,579.9,524.85,524.85,86561
2022-01-25 00:00:00+05:30,503,545,484.15,530.8,117268
2022-01-27 00:00:00+05:30,525,560,509.15,548.5,51757
2022-01-28 00:00:00+05:30,537.4,565.65,521,536.05,32551
2022-01-31 00:00:00+05:30,542,554.7,509.3,521.1,53254
2022-02-01 00:00:00+05:30,532,548,516.45,532.2,43408
2022-02-02 00:00:00+05:30,540,547.7,529.6,533.2,21605
2022-02-03 00:00:00+05:30,535.6,575.95,535.6,547.7,68163
2022-02-04 00:00:00+05:30,554,554,528,532.55,39534
2022-02-07 00:00:00+05:30,533.2,559,517.6,522.6,21485
2022-02-08 00:00:00+05:30,530,531,500.7,515.7,36728
2022-02-09 00:00:00+05:30,523.95,523.95,507.15,517.45,11398
2022-02-10 00:00:00+05:30,525,539.4,481.8,493.4,174703
2022-02-11 00:00:00+05:30,493.4,499,476.7,480.6,29552
2022-02-14 00:00:00+05:30,465,472,446.1,450.2,30192
2022-02-15 00:00:00+05:30,450,476.8,441.55,471.35,33851
2022-02-16 00:00:00+05:30,490,514.6,465,473.15,132728
2022-02-17 00:00:00+05:30,476.6,486.15,473,479.55,52339
2022-02-18 00:00:00+05:30,472.35,500.5,472.35,488.25,44644
2022-02-21 00:00:00+05:30,485,485.65,445.9,455.5,51588
2022-02-22 00:00:00+05:30,440,446,428,438.9,63132
2022-02-23 00:00:00+05:30,446.9,459,432,439.05,27029
2022-02-24 00:00:00+05:30,425,429.2,398.05,401.65,60252
2022-02-25 00:00:00+05:30,406.1,448.95,405,423.2,73233
2022-02-28 00:00:00+05:30,424,439.15,417.25,433.4,52986
2022-03-02 00:00:00+05:30,436,441.95,426.2,431.45,15582
2022-03-03 00:00:00+05:30,442.95,444,431.8,435.05,43857
2022-03-04 00:00:00+05:30,439.8,443,429.05,435.2,20759
2022-03-07 00:00:00+05:30,428.65,434,418.6,430.9,23545
2022-03-08 00:00:00+05:30,429,448.7,428.8,441.55,31943
2022-03-09 00:00:00+05:30,450,450,435,439.1,13626
2022-03-10 00:00:00+05:30,445,459.7,443.25,445.65,27192
2022-03-11 00:00:00+05:30,446.95,452.15,445,449.85,39286
2022-03-14 00:00:00+05:30,454.95,465.55,446.65,461.05,34253
2022-03-15 00:00:00+05:30,467.95,467.95,445,451.7,49339
2022-03-16 00:00:00+05:30,460.2,463,451.9,456.5,76892
2022-03-17 00:00:00+05:30,461,474.95,460.7,464.35,25731
2022-03-21 00:00:00+05:30,469.9,474,453.1,460.2,47300
2022-03-22 00:00:00+05:30,474.2,474.2,455.25,460.65,36763
2022-03-23 00:00:00+05:30,467.55,469.95,452.2,456.8,11662
2022-03-24 00:00:00+05:30,455,464.8,443.2,447.8,39753
2022-03-25 00:00:00+05:30,451,453.95,438.95,441.15,44118
2022-03-28 00:00:00+05:30,443,443.05,420.3,425.65,41524
2022-03-29 00:00:00+05:30,426,435.45,426,431.1,39164
2022-03-30 00:00:00+05:30,434.95,445,427.05,430.6,57867
2022-03-31 00:00:00+05:30,432,439.2,421.4,424.95,40377
2022-04-01 00:00:00+05:30,425,444.45,425,440.9,35452
2022-04-04 00:00:00+05:30,440.9,453.2,438.4,450.4,31842
2022-04-05 00:00:00+05:30,450.4,464,450.15,459.2,40210
2022-04-06 00:00:00+05:30,459.2,475,458.75,468.4,40297
2022-04-07 00:00:00+05:30,465,472.95,455,458.5,22040
2022-04-08 00:00:00+05:30,464.4,476.9,461.95,470.6,33266
