date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,60,60.75,57.55,57.7,218619
2022-01-04 00:00:00+05:30,58.35,69.2,58.3,68,4903246
2022-01-05 00:00:00+05:30,69.6,69.6,64.6,66.85,1864280
2022-01-06 00:00:00+05:30,66,68.75,64.65,65.8,703242
2022-01-07 00:00:00+05:30,66.55,72,66.15,69.2,2309485
2022-01-10 00:00:00+05:30,72,78.95,70.55,75.3,3160047
2022-01-11 00:00:00+05:30,75.8,77.35,73.05,75.3,1280789
2022-01-12 00:00:00+05:30,75.05,87.8,75.05,82.95,3606347
2022-01-13 00:00:00+05:30,82.4,83.3,77.75,80.7,918924
2022-01-14 00:00:00+05:30,80.85,85,80.85,83.9,646637
2022-01-17 00:00:00+05:30,85.8,88,83.1,83.85,1025263
2022-01-18 00:00:00+05:30,85,90.8,80.15,83.6,1428194
2022-01-19 00:00:00+05:30,83.6,85.8,81.65,83.3,522783
2022-01-20 00:00:00+05:30,84.35,87.45,82.9,83.8,604885
2022-01-21 00:00:00+05:30,83.25,86.5,79.6,82.05,637587
2022-01-24 00:00:00+05:30,82.9,84.5,73.3,77.1,1127380
2022-01-25 00:00:00+05:30,76,83.95,74.35,80.6,848355
2022-01-27 00:00:00+05:30,80,81.2,78.1,78.8,547592
2022-01-28 00:00:00+05:30,80.25,88.4,80.25,82.65,1345416
2022-01-31 00:00:00+05:30,83.35,84.4,80.3,80.85,421837
2022-02-01 00:00:00+05:30,81,82.25,78.3,80.2,351922
2022-02-02 00:00:00+05:30,80.85,84.05,80.7,82.3,612850
2022-02-03 00:00:00+05:30,86.7,86.7,81.2,81.55,629113
2022-02-04 00:00:00+05:30,82.2,83.5,80.5,81.25,290716
2022-02-07 00:00:00+05:30,81.9,84.35,81.15,83.25,448589
2022-02-08 00:00:00+05:30,83.95,83.95,77.4,82.05,643540
2022-02-09 00:00:00+05:30,82.15,84,80.1,81.5,296656
2022-02-10 00:00:00+05:30,82,83.5,79.95,82.45,549776
2022-02-11 00:00:00+05:30,84,84,71.65,73.3,1729837
2022-02-14 00:00:00+05:30,71.85,72.45,68,69,861871
2022-02-15 00:00:00+05:30,69.9,71.4,67.4,70.8,515117
2022-02-16 00:00:00+05:30,71.35,81.75,71.3,77.55,1704015
2022-02-17 00:00:00+05:30,79.6,79.6,75.3,75.65,244387
2022-02-18 00:00:00+05:30,75,77.75,73.6,74,511305
2022-02-21 00:00:00+05:30,73.05,75.7,69.5,70.2,416977
2022-02-22 00:00:00+05:30,68,69.15,64.5,67.75,263189
2022-02-23 00:00:00+05:30,68.5,72.7,68.5,69,245781
2022-02-24 00:00:00+05:30,67.5,67.5,60,61.2,709897
2022-02-25 00:00:00+05:30,63.55,66.9,62.95,63.95,660951
2022-02-28 00:00:00+05:30,63.1,67.9,62.2,67,374031
2022-03-02 00:00:00+05:30,65.5,67.35,65.25,66.6,150532
2022-03-03 00:00:00+05:30,67.45,69.5,65.85,67.2,244668
2022-03-04 00:00:00+05:30,66.8,67.05,64.9,65.65,135910
2022-03-07 00:00:00+05:30,64.5,64.5,61.65,62,199288
2022-03-08 00:00:00+05:30,61.55,64.5,61.05,63.2,243626
2022-03-09 00:00:00+05:30,64,66.5,63.65,65.6,241751
2022-03-10 00:00:00+05:30,68,68.9,64.8,65.5,313988
2022-03-11 00:00:00+05:30,65.75,68.2,65.05,67.2,262982
2022-03-14 00:00:00+05:30,67.45,68.6,66.65,67.5,133688
2022-03-15 00:00:00+05:30,67,69.4,65.4,65.95,257895
2022-03-16 00:00:00+05:30,67.8,67.8,65.05,65.55,197184
2022-03-17 00:00:00+05:30,66,67.5,65.5,66.25,144042
2022-03-21 00:00:00+05:30,66.9,69.85,66.1,68.15,408014
2022-03-22 00:00:00+05:30,68.8,69.8,66.6,68.7,211929
2022-03-23 00:00:00+05:30,69.5,72.25,68.95,71,375388
2022-03-24 00:00:00+05:30,71.5,72.8,69.4,70.2,332960
2022-03-25 00:00:00+05:30,70.3,70.8,67.15,67.55,205289
2022-03-28 00:00:00+05:30,66.55,68.5,64.5,65.7,371889
2022-03-29 00:00:00+05:30,66.5,68.6,64.5,65.55,366619
2022-03-30 00:00:00+05:30,66,69.9,66,67.35,306077
2022-03-31 00:00:00+05:30,67.75,68.5,65.3,66,217742
2022-04-01 00:00:00+05:30,67,76.8,66.25,75.55,965094
2022-04-04 00:00:00+05:30,76.3,78.5,75.15,76.2,624566
2022-04-05 00:00:00+05:30,75.7,77.4,74.9,75.1,230775
2022-04-06 00:00:00+05:30,75.1,75.1,72.8,73.25,275579
2022-04-07 00:00:00+05:30,73.6,75,72.45,72.8,265631
2022-04-08 00:00:00+05:30,73.75,79.5,73.75,77.45,833534
