date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,230.6,232,226,227.7,12166
2022-01-04 00:00:00+05:30,228.5,228.5,217,219,9280
2022-01-05 00:00:00+05:30,215,223.95,215,219.6,10391
2022-01-06 00:00:00+05:30,218.5,222.55,215.15,218.75,5082
2022-01-07 00:00:00+05:30,219.1,226.15,219,222.4,13365
2022-01-10 00:00:00+05:30,224.5,244.6,221.05,232.9,71665
2022-01-11 00:00:00+05:30,234,234,217.05,219.35,42817
2022-01-12 00:00:00+05:30,223,224.5,218.8,220.85,9189
2022-01-13 00:00:00+05:30,217.65,222.25,217.1,220.5,11461
2022-01-14 00:00:00+05:30,219,226.6,217.85,221,11943
2022-01-17 00:00:00+05:30,225.45,225.45,216.5,217.65,17189
2022-01-18 00:00:00+05:30,217.7,220.55,215.15,215.75,9617
2022-01-19 00:00:00+05:30,231,237.3,231,237.3,49911
2022-01-20 00:00:00+05:30,256.1,261,249.65,261,228406
2022-01-21 00:00:00+05:30,287.1,287.1,271,285.65,578985
2022-01-24 00:00:00+05:30,296,296,271.4,271.4,63032
2022-01-25 00:00:00+05:30,258,258,257.85,257.85,7281
2022-01-27 00:00:00+05:30,245,245,245,245,6716
2022-01-28 00:00:00+05:30,232.75,250,232.75,234.55,136436
2022-01-31 00:00:00+05:30,231.55,242.5,225,227.1,44246
2022-02-01 00:00:00+05:30,236.5,236.5,222.55,226.75,19016
2022-02-02 00:00:00+05:30,232.95,238.05,232.9,238.05,14066
2022-02-03 00:00:00+05:30,249.95,249.95,249.95,249.95,3850
2022-02-04 00:00:00+05:30,262.4,262.4,262.4,262.4,3622
2022-02-07 00:00:00+05:30,267,267.9,249.3,255.15,95019
2022-02-08 00:00:00+05:30,255.05,264,242.55,247.65,29472
2022-02-09 00:00:00+05:30,248,260,241,255.85,44194
2022-02-10 00:00:00+05:30,262.8,268.6,256.05,266.05,73912
2022-02-11 00:00:00+05:30,266.05,266.05,253.25,257.6,21731
2022-02-14 00:00:00+05:30,250,253,244.75,244.75,19968
2022-02-15 00:00:00+05:30,237,249,232.55,245.75,31092
2022-02-16 00:00:00+05:30,249,253,237.15,239.55,12851
2022-02-17 00:00:00+05:30,247.8,247.8,232.25,238.05,14899
2022-02-18 00:00:00+05:30,234.2,242.8,234.2,237.1,22309
2022-02-21 00:00:00+05:30,231.2,236.8,225.25,225.25,12024
2022-02-22 00:00:00+05:30,216.85,219.95,214,217.85,30141
2022-02-23 00:00:00+05:30,218.15,228.7,217.85,222.1,12233
2022-02-24 00:00:00+05:30,216.25,217.75,211,211,15573
2022-02-25 00:00:00+05:30,204.25,221.55,204.25,216.35,26155
2022-02-28 00:00:00+05:30,223.6,227.15,213.2,224.25,18510
2022-03-02 00:00:00+05:30,223.65,229,216.35,220.45,11621
2022-03-03 00:00:00+05:30,229,229,220.05,221.7,3604
2022-03-04 00:00:00+05:30,219,229.9,213.35,224.35,6309
2022-03-07 00:00:00+05:30,215.6,220,213.15,213.15,11192
2022-03-08 00:00:00+05:30,214,218.9,211.25,215.85,6199
2022-03-09 00:00:00+05:30,217.05,220.9,214.9,218.75,15261
2022-03-10 00:00:00+05:30,228,229.65,225,229.65,4953
2022-03-11 00:00:00+05:30,232.8,232.9,221.5,225.05,12946
2022-03-14 00:00:00+05:30,225,233,220,228.6,17796
2022-03-15 00:00:00+05:30,233.2,234.5,218,220.65,12438
2022-03-16 00:00:00+05:30,225,227,219.15,223.2,9153
2022-03-17 00:00:00+05:30,227.1,231,220.6,221.6,14084
2022-03-21 00:00:00+05:30,221.05,222.9,218.8,219.65,5580
2022-03-22 00:00:00+05:30,219.65,223.15,216,219.6,13735
2022-03-23 00:00:00+05:30,221.8,222.3,212.1,215.6,21454
2022-03-24 00:00:00+05:30,212.1,217.85,212,215.7,10740
2022-03-25 00:00:00+05:30,217,221.8,215.1,217.1,17829
2022-03-28 00:00:00+05:30,224,224,208,209.45,32814
2022-03-29 00:00:00+05:30,208,214,199.1,200,27268
2022-03-30 00:00:00+05:30,204.35,210,203.1,210,39998
2022-03-31 00:00:00+05:30,212,220.5,210.15,216.7,25703
2022-04-01 00:00:00+05:30,216.7,226,212.2,215.25,24236
2022-04-04 00:00:00+05:30,217.1,226,216.4,226,18131
2022-04-05 00:00:00+05:30,229.5,234.8,221.3,229.8,26064
2022-04-06 00:00:00+05:30,229,241.25,223,227.2,37732
2022-04-07 00:00:00+05:30,227,235.8,225.05,226.5,28934
2022-04-08 00:00:00+05:30,232,234.35,225.2,231.8,6238
