date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,20.4,20.85,20.4,20.55,5005738
2022-01-04 00:00:00+05:30,20.7,20.7,20.4,20.5,4107683
2022-01-05 00:00:00+05:30,20.5,21.1,20.45,20.65,6086817
2022-01-06 00:00:00+05:30,20.5,20.85,20.3,20.75,5471703
2022-01-07 00:00:00+05:30,20.75,21.1,20.4,20.6,5365176
2022-01-10 00:00:00+05:30,20.75,21.95,20.65,21.25,15307757
2022-01-11 00:00:00+05:30,21.35,21.35,20.85,20.95,3911578
2022-01-12 00:00:00+05:30,21,21.1,20.85,20.95,3723305
2022-01-13 00:00:00+05:30,21.05,21.4,20.7,21.1,4949208
2022-01-14 00:00:00+05:30,20.95,21.3,20.85,20.9,3825577
2022-01-17 00:00:00+05:30,20.9,21.1,20.85,20.9,2418645
2022-01-18 00:00:00+05:30,20.95,21.05,20.5,20.55,3329400
2022-01-19 00:00:00+05:30,20.55,21.05,20.35,20.9,4606889
2022-01-20 00:00:00+05:30,20.9,20.95,20.55,20.6,2401832
2022-01-21 00:00:00+05:30,20.5,20.6,20.3,20.4,2374804
2022-01-24 00:00:00+05:30,20.45,20.6,19.9,20.05,3453279
2022-01-25 00:00:00+05:30,19.5,20.8,19.5,20.25,4854091
2022-01-27 00:00:00+05:30,20,21.1,19.95,20.9,7150235
2022-01-28 00:00:00+05:30,21.2,21.5,20.9,21.2,7727791
2022-01-31 00:00:00+05:30,21.25,21.65,21.2,21.4,4391862
2022-02-01 00:00:00+05:30,21.8,21.95,20.05,20.8,7948546
2022-02-02 00:00:00+05:30,21.1,21.9,21,21.65,18461692
2022-02-03 00:00:00+05:30,21.85,22.35,21.45,21.55,14776542
2022-02-04 00:00:00+05:30,21.55,21.65,20.95,21.05,4102521
2022-02-07 00:00:00+05:30,21,21.5,20.8,21,5395835
2022-02-08 00:00:00+05:30,21.1,21.15,20.45,20.65,5698019
2022-02-09 00:00:00+05:30,20.85,20.9,20.4,20.5,2496500
2022-02-10 00:00:00+05:30,20.55,20.65,20.4,20.6,3123804
2022-02-11 00:00:00+05:30,20.45,20.6,20.25,20.3,1900007
2022-02-14 00:00:00+05:30,20,20.1,19.05,19.25,5422055
2022-02-15 00:00:00+05:30,19.3,19.6,19.05,19.5,3386252
2022-02-16 00:00:00+05:30,19.6,19.95,19.6,19.65,2228733
2022-02-17 00:00:00+05:30,19.8,19.85,19.3,19.4,1835640
2022-02-18 00:00:00+05:30,19.3,19.45,19.1,19.2,1407247
2022-02-21 00:00:00+05:30,19.1,19.2,18.75,18.8,2360405
2022-02-22 00:00:00+05:30,18.55,18.65,18.15,18.3,2755681
2022-02-23 00:00:00+05:30,18.4,18.9,18.4,18.65,2070638
2022-02-24 00:00:00+05:30,18.05,18.25,16.6,16.85,6437314
2022-02-25 00:00:00+05:30,17.5,18.6,17.25,17.55,7314237
2022-02-28 00:00:00+05:30,17.8,18,17.3,17.65,4970667
2022-03-02 00:00:00+05:30,17.5,17.85,17.4,17.75,3608950
2022-03-03 00:00:00+05:30,17.85,18.15,17.8,17.9,2196726
2022-03-04 00:00:00+05:30,17.75,18,17.65,17.75,2896413
2022-03-07 00:00:00+05:30,17.65,17.65,17.05,17.35,3084696
2022-03-08 00:00:00+05:30,17.4,17.75,17.35,17.45,2644235
2022-03-09 00:00:00+05:30,17.65,18,17.5,17.9,1845302
2022-03-10 00:00:00+05:30,18.2,18.6,18.1,18.35,2922891
2022-03-11 00:00:00+05:30,18.35,18.55,18.2,18.3,1546222
2022-03-14 00:00:00+05:30,18.45,18.45,18,18.1,1985061
2022-03-15 00:00:00+05:30,18.15,18.3,17.85,17.9,1836139
2022-03-16 00:00:00+05:30,18.05,18.15,17.85,17.95,1608086
2022-03-17 00:00:00+05:30,18.1,18.1,17.95,18,1864424
2022-03-21 00:00:00+05:30,18.5,18.65,18.15,18.25,4292590
2022-03-22 00:00:00+05:30,18.35,18.35,18.1,18.2,1511834
2022-03-23 00:00:00+05:30,18.35,18.6,17.9,17.95,3558800
2022-03-24 00:00:00+05:30,17.9,18.05,17.85,17.9,2510432
2022-03-25 00:00:00+05:30,18,18.05,17.8,17.9,1821371
2022-03-28 00:00:00+05:30,17.95,17.95,17.6,17.65,2442129
2022-03-29 00:00:00+05:30,17.7,17.8,17.1,17.2,2717584
2022-03-30 00:00:00+05:30,17.4,19.95,17.25,18.95,6066845
2022-03-31 00:00:00+05:30,18.55,18.9,18.1,18.15,4998753
2022-04-01 00:00:00+05:30,17.8,18.75,17.8,18.55,3698003
2022-04-04 00:00:00+05:30,18.45,19,18.45,18.9,3053864
2022-04-05 00:00:00+05:30,18.85,19.2,18.85,18.95,2692701
2022-04-06 00:00:00+05:30,18.95,19.6,18.75,19.4,4980177
2022-04-07 00:00:00+05:30,19.6,20.2,19.3,19.45,8303496
2022-04-08 00:00:00+05:30,19.6,19.7,19.3,19.35,2484032
