date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,99.3,103.9,99.1,103.25,1360632
2022-01-04 00:00:00+05:30,103.5,104.7,101.7,102.55,835822
2022-01-05 00:00:00+05:30,102.5,104.9,101.5,103.15,1083007
2022-01-06 00:00:00+05:30,102.05,103,101.5,102.4,769781
2022-01-07 00:00:00+05:30,103,107.1,102.95,105.5,2048403
2022-01-10 00:00:00+05:30,106,106.3,103.6,103.85,1042841
2022-01-11 00:00:00+05:30,104.1,104.4,102,102.25,1212796
2022-01-12 00:00:00+05:30,103,103.9,102.1,102.5,831293
2022-01-13 00:00:00+05:30,102.95,106.4,102.75,104.3,1528331
2022-01-14 00:00:00+05:30,103.35,105.25,103,104.05,942543
2022-01-17 00:00:00+05:30,104.65,114.4,104.15,112.4,8847484
2022-01-18 00:00:00+05:30,113.45,119.4,113,113.7,9493806
2022-01-19 00:00:00+05:30,114.35,115.35,109.7,112.15,2950418
2022-01-20 00:00:00+05:30,112.8,114.5,111.15,112.2,2287011
2022-01-21 00:00:00+05:30,111.5,111.9,106.4,108.1,1877785
2022-01-24 00:00:00+05:30,107.5,108.25,99.2,101.5,2124013
2022-01-25 00:00:00+05:30,99.9,106,98.05,105.75,1311354
2022-01-27 00:00:00+05:30,102.85,105.1,101.85,104.5,1041242
2022-01-28 00:00:00+05:30,106.3,108.7,104.7,105.2,1502816
2022-01-31 00:00:00+05:30,106.95,108.75,99.6,100.45,2817953
2022-02-01 00:00:00+05:30,101,102,98.85,101.1,2081369
2022-02-02 00:00:00+05:30,102.4,103.55,101.6,102.25,1368127
2022-02-03 00:00:00+05:30,102.8,108.4,102.75,105.05,3285317
2022-02-04 00:00:00+05:30,105.7,108,103.85,104.45,1802768
2022-02-07 00:00:00+05:30,105.05,106,103.2,104.3,1168641
2022-02-08 00:00:00+05:30,104.95,105.6,100.5,101.95,1065569
2022-02-09 00:00:00+05:30,102.7,103.55,100.7,102.15,1132943
2022-02-10 00:00:00+05:30,102.05,103.4,101.3,101.85,1021564
2022-02-11 00:00:00+05:30,101.8,102.45,99.2,100,1053905
2022-02-14 00:00:00+05:30,98.1,98.4,95,95.45,1106005
2022-02-15 00:00:00+05:30,97,97.6,92.1,95.6,1433777
2022-02-16 00:00:00+05:30,97,98,95.3,95.65,1165442
2022-02-17 00:00:00+05:30,96.1,96.95,94.1,94.6,798726
2022-02-18 00:00:00+05:30,94.4,95.3,92.6,93.05,522053
2022-02-21 00:00:00+05:30,92.05,92.85,88.15,88.95,857493
2022-02-22 00:00:00+05:30,86.6,87.4,84.3,85.05,1255962
2022-02-23 00:00:00+05:30,86.85,88.85,86.65,88.35,984491
2022-02-24 00:00:00+05:30,85,85.95,80,80.6,1432128
2022-02-25 00:00:00+05:30,83,86,83,85.5,1129796
2022-02-28 00:00:00+05:30,84.1,87.5,83.55,86.85,890536
2022-03-02 00:00:00+05:30,85.55,90.4,85.55,89.4,1212947
2022-03-03 00:00:00+05:30,90.95,92.45,89.65,90.35,842191
2022-03-04 00:00:00+05:30,89.75,90.8,86.3,87.8,544874
2022-03-07 00:00:00+05:30,87.25,87.25,84.1,84.8,666252
2022-03-08 00:00:00+05:30,86.4,87.3,84.1,86.15,592665
2022-03-09 00:00:00+05:30,86.75,89.45,86.7,89.05,632992
2022-03-10 00:00:00+05:30,91.55,91.9,86.7,87.2,1479691
2022-03-11 00:00:00+05:30,87.4,90.75,87.4,89.65,1013366
2022-03-14 00:00:00+05:30,90,91.6,87.6,89.1,827229
2022-03-15 00:00:00+05:30,89.75,90.55,87.1,87.45,746664
2022-03-16 00:00:00+05:30,88.45,89.05,87.5,88.05,551497
2022-03-17 00:00:00+05:30,91.3,96.7,91.05,93.05,7932449
2022-03-21 00:00:00+05:30,93.7,95.6,92.1,93.3,1695515
2022-03-22 00:00:00+05:30,93.65,94.25,91.85,92.45,773344
2022-03-23 00:00:00+05:30,93,98.65,91.4,93.95,3840221
2022-03-24 00:00:00+05:30,93.6,95.4,93.15,94.45,1336319
2022-03-25 00:00:00+05:30,94.95,96.2,93.45,93.85,1579961
2022-03-28 00:00:00+05:30,93.1,94.15,89.1,89.6,1588455
2022-03-29 00:00:00+05:30,90.4,91.35,88.05,88.75,1999386
2022-03-30 00:00:00+05:30,89.3,90.65,87.9,88.25,873271
2022-03-31 00:00:00+05:30,88.3,91.75,88.2,90.1,1458762
2022-04-01 00:00:00+05:30,90.4,93.5,90.1,93.25,1241579
2022-04-04 00:00:00+05:30,93.75,95.4,93.5,94.35,1009601
2022-04-05 00:00:00+05:30,94.5,96.5,94.5,95.65,1188231
2022-04-06 00:00:00+05:30,94.75,98.9,94.7,97.7,2018721
2022-04-07 00:00:00+05:30,98.3,99.5,95.25,95.8,1712348
2022-04-08 00:00:00+05:30,96.35,97.3,95.9,96.75,799967
