date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,471,488,450.7,462.5,327685
2022-01-04 00:00:00+05:30,464.9,487.6,455.05,458.7,140321
2022-01-05 00:00:00+05:30,460.55,485,438.1,472.9,214212
2022-01-06 00:00:00+05:30,463.45,478.65,462,467.4,123670
2022-01-07 00:00:00+05:30,467.1,479.45,466.55,468.35,120031
2022-01-10 00:00:00+05:30,474,479.95,454.05,457.9,160787
2022-01-11 00:00:00+05:30,458,464.75,445.05,448.15,101827
2022-01-12 00:00:00+05:30,452,487.4,447.3,482.65,386612
2022-01-13 00:00:00+05:30,485.55,527,483.45,513.55,548814
2022-01-14 00:00:00+05:30,517.7,530,506.4,516.25,256834
2022-01-17 00:00:00+05:30,519.8,521.35,495.05,501.55,155650
2022-01-18 00:00:00+05:30,506.85,506.85,472,475.55,150627
2022-01-19 00:00:00+05:30,475.5,522.8,470.1,513.15,244877
2022-01-20 00:00:00+05:30,510.15,564.45,510.15,559.2,372106
2022-01-21 00:00:00+05:30,558,559.95,504,516.25,481792
2022-01-24 00:00:00+05:30,548,548,471.35,479.65,408612
2022-01-25 00:00:00+05:30,478,511.25,462.95,500.55,204114
2022-01-27 00:00:00+05:30,493.5,517.15,493.45,497.2,94330
2022-01-28 00:00:00+05:30,504,513.15,485,487.9,89655
2022-01-31 00:00:00+05:30,489.9,505.95,480.1,485.6,71360
2022-02-01 00:00:00+05:30,485,503.1,485,492.5,107405
2022-02-02 00:00:00+05:30,496.9,541.75,491.35,535.45,423468
2022-02-03 00:00:00+05:30,539,556.9,526.1,531,192019
2022-02-04 00:00:00+05:30,532.5,540,523.65,530.35,67881
2022-02-07 00:00:00+05:30,531.65,549.95,512.1,515.65,94437
2022-02-08 00:00:00+05:30,512,532.45,492.95,498.35,129758
2022-02-09 00:00:00+05:30,507,514.85,495.55,501.5,42242
2022-02-10 00:00:00+05:30,501.5,507.7,493.6,498.3,48656
2022-02-11 00:00:00+05:30,487,496.4,471.5,474.8,83274
2022-02-14 00:00:00+05:30,449,463,440,446.5,123041
2022-02-15 00:00:00+05:30,446.5,459.25,426.65,455.05,112884
2022-02-16 00:00:00+05:30,459.5,479,453,456.95,60407
2022-02-17 00:00:00+05:30,452.05,490,446.35,483.75,207056
2022-02-18 00:00:00+05:30,479.5,485.65,455,460.05,92844
2022-02-21 00:00:00+05:30,451.15,457.6,432,435.6,75092
2022-02-22 00:00:00+05:30,406,420,404.8,407.8,122341
2022-02-23 00:00:00+05:30,414,428.4,413.95,421.8,57485
2022-02-24 00:00:00+05:30,403,414.95,380,384.55,126363
2022-02-25 00:00:00+05:30,418,423,410,423,100589
2022-02-28 00:00:00+05:30,420,442.9,408.7,430.25,91313
2022-03-02 00:00:00+05:30,429.9,430.75,387.25,423.25,75309
2022-03-03 00:00:00+05:30,438,445,430.1,440.1,51148
2022-03-04 00:00:00+05:30,435,444.75,426,434.8,44795
2022-03-07 00:00:00+05:30,429.15,430,401.2,418.05,47962
2022-03-08 00:00:00+05:30,412.65,445,412.65,436.95,48966
2022-03-09 00:00:00+05:30,455,460,444.65,455.25,64175
2022-03-10 00:00:00+05:30,468,474,453.55,457.7,45116
2022-03-11 00:00:00+05:30,455,495,455,483.7,86792
2022-03-14 00:00:00+05:30,493.9,506.05,475,489.95,122273
2022-03-15 00:00:00+05:30,494,506.05,465,472.7,78249
2022-03-16 00:00:00+05:30,487.95,490,474.95,479.5,24768
2022-03-17 00:00:00+05:30,497,497,475,478.6,45868
2022-03-21 00:00:00+05:30,487.8,489,461.9,464.9,37573
2022-03-22 00:00:00+05:30,474.95,485,465.05,473.5,41163
2022-03-23 00:00:00+05:30,477.95,495,475.3,490.65,74581
2022-03-24 00:00:00+05:30,495,515.5,495,499.45,144754
2022-03-25 00:00:00+05:30,503,515.55,501,505.1,67315
2022-03-28 00:00:00+05:30,518.9,525,485.1,499.6,73004
2022-03-29 00:00:00+05:30,493,514,493,497.85,43744
2022-03-30 00:00:00+05:30,505,505.3,493.6,498.45,34021
2022-03-31 00:00:00+05:30,504.95,541.4,500.75,526.5,191970
2022-04-01 00:00:00+05:30,526,540,514.55,517.85,76113
2022-04-04 00:00:00+05:30,522,528.5,508.55,517.75,51354
2022-04-05 00:00:00+05:30,520,523.4,510,511.8,37160
2022-04-06 00:00:00+05:30,511.4,515.35,494,498.2,67462
2022-04-07 00:00:00+05:30,502,504.3,477,481.55,76666
2022-04-08 00:00:00+05:30,488,498,478.1,489.05,41771
