date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,48,50.6,47,49.25,112006
2022-01-04 00:00:00+05:30,49.8,50.4,48.2,48.7,87439
2022-01-05 00:00:00+05:30,48.6,49,47.45,48,36512
2022-01-06 00:00:00+05:30,48,49.4,47.45,48.9,65377
2022-01-07 00:00:00+05:30,49.5,50.4,48.15,48.65,35895
2022-01-10 00:00:00+05:30,48.05,49.55,48.05,48.4,66816
2022-01-11 00:00:00+05:30,48.9,48.9,47.5,48.15,35506
2022-01-12 00:00:00+05:30,49.45,50.8,47.05,49.55,154636
2022-01-13 00:00:00+05:30,49.45,52.6,48.9,50.55,115723
2022-01-14 00:00:00+05:30,50,52.35,50,51.55,61463
2022-01-17 00:00:00+05:30,51.45,53.6,51,51.8,64119
2022-01-18 00:00:00+05:30,51.9,52.65,50,50.15,49404
2022-01-19 00:00:00+05:30,50,51.3,49.65,50.45,25750
2022-01-20 00:00:00+05:30,49.85,50.8,49.25,49.75,27314
2022-01-21 00:00:00+05:30,50.6,50.9,49.1,49.55,54541
2022-01-24 00:00:00+05:30,50.4,50.4,47,47.65,28922
2022-01-25 00:00:00+05:30,46.85,49.25,46.85,48.55,19049
2022-01-27 00:00:00+05:30,49.65,49.65,47.55,48.4,19982
2022-01-28 00:00:00+05:30,48.4,50.9,48.4,48.9,72876
2022-01-31 00:00:00+05:30,49.25,52.5,49.25,51.95,198857
2022-02-01 00:00:00+05:30,52.3,54.6,51.2,52.15,115585
2022-02-02 00:00:00+05:30,52.75,56.85,52.35,56,248707
2022-02-03 00:00:00+05:30,56.3,58.9,55.2,56.8,172528
2022-02-04 00:00:00+05:30,56.9,59,56.05,56.6,120145
2022-02-07 00:00:00+05:30,57.7,60.2,53.2,56.25,550471
2022-02-08 00:00:00+05:30,55.95,57.05,52.7,53.8,125937
2022-02-09 00:00:00+05:30,54.5,54.8,52.8,53.15,62190
2022-02-10 00:00:00+05:30,52.8,53.8,52.6,52.75,38440
2022-02-11 00:00:00+05:30,52.3,53.8,51.15,52.05,49313
2022-02-14 00:00:00+05:30,52.1,52.1,46.25,48.5,60527
2022-02-15 00:00:00+05:30,48.7,52.2,48.4,51.6,67772
2022-02-16 00:00:00+05:30,53.45,53.45,50.95,51.25,49689
2022-02-17 00:00:00+05:30,51.25,55,51.2,52.8,170505
2022-02-18 00:00:00+05:30,52.1,63.35,52.1,62.55,1961648
2022-02-21 00:00:00+05:30,64.2,67.4,60,60.7,2319981
2022-02-22 00:00:00+05:30,59,62.2,55.05,56.7,772074
2022-02-23 00:00:00+05:30,57.6,59.8,57,57.4,216094
2022-02-24 00:00:00+05:30,54.9,55.95,49.95,51.25,269505
2022-02-25 00:00:00+05:30,52.5,55,52.5,53.8,137939
2022-02-28 00:00:00+05:30,52.4,56,51.1,55.05,121649
2022-03-02 00:00:00+05:30,54.75,56,52.5,53.2,91717
2022-03-03 00:00:00+05:30,55.35,60.85,54.4,57.3,492600
2022-03-04 00:00:00+05:30,56.9,61.6,56,57.95,297693
2022-03-07 00:00:00+05:30,57.6,58.45,55.15,56.05,121556
2022-03-08 00:00:00+05:30,56.05,58.25,55.3,56.6,102153
2022-03-09 00:00:00+05:30,57.25,61.6,57,60.6,337541
2022-03-10 00:00:00+05:30,61.45,63.5,58.65,60.85,331138
2022-03-11 00:00:00+05:30,61.5,66.35,58.25,63.45,393094
2022-03-14 00:00:00+05:30,63.9,67.1,62.5,64.8,528580
2022-03-15 00:00:00+05:30,65.05,65.05,61,61.8,173236
2022-03-16 00:00:00+05:30,62.65,63.7,60.15,62.5,190661
2022-03-17 00:00:00+05:30,63,64.6,62.05,62.75,117975
2022-03-21 00:00:00+05:30,62.95,63.5,60.4,60.75,112638
2022-03-22 00:00:00+05:30,61.2,68,60.15,66.6,736177
2022-03-23 00:00:00+05:30,69,73.5,69,69.75,1204192
2022-03-24 00:00:00+05:30,69.45,72,69.1,70.75,256312
2022-03-25 00:00:00+05:30,71.6,75.95,70.15,70.7,1326351
2022-03-28 00:00:00+05:30,71.45,74.25,68,70,790047
2022-03-29 00:00:00+05:30,70.55,73.1,70.2,71.8,388057
2022-03-30 00:00:00+05:30,71.95,72.6,70,71.7,178895
2022-03-31 00:00:00+05:30,71,71.85,69.7,69.85,80008
2022-04-01 00:00:00+05:30,68.25,71.85,68.25,70.8,149878
2022-04-04 00:00:00+05:30,71.5,72.9,70.1,70.7,257067
2022-04-05 00:00:00+05:30,70.85,74.6,70.5,71.85,265512
2022-04-06 00:00:00+05:30,71.9,80.7,71.9,78.6,958780
2022-04-07 00:00:00+05:30,78.6,81.4,73.85,75.2,474850
2022-04-08 00:00:00+05:30,75.6,77.65,75,76.7,157807
