date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,26.5,27.05,26.35,26.4,527273
2022-01-04 00:00:00+05:30,26.55,31.65,26.3,31.25,10278932
2022-01-05 00:00:00+05:30,30.75,30.75,28.5,28.6,4731859
2022-01-06 00:00:00+05:30,28.3,30.4,28,29.35,3653699
2022-01-07 00:00:00+05:30,29.5,32.5,29.4,30.55,6335832
2022-01-10 00:00:00+05:30,30.75,31.55,29.5,30.55,1459557
2022-01-11 00:00:00+05:30,30.6,30.95,29,29.35,1079211
2022-01-12 00:00:00+05:30,29.45,30.3,28.35,28.65,1049755
2022-01-13 00:00:00+05:30,28.6,30.4,28.4,29.75,1992661
2022-01-14 00:00:00+05:30,29.3,30.9,29.3,30.15,1746896
2022-01-17 00:00:00+05:30,30.15,31.1,30.05,30.25,1455460
2022-01-18 00:00:00+05:30,30.55,30.7,29,29.3,1068259
2022-01-19 00:00:00+05:30,28.85,29.3,28.5,29.05,765296
2022-01-20 00:00:00+05:30,29,30.35,28.85,29.7,1278102
2022-01-21 00:00:00+05:30,29.35,29.9,28.5,28.85,483367
2022-01-24 00:00:00+05:30,28.75,28.75,26.3,26.5,583784
2022-01-25 00:00:00+05:30,26.4,27.6,25.75,27.2,465199
2022-01-27 00:00:00+05:30,27,27.95,26.8,27.5,535660
2022-01-28 00:00:00+05:30,27.85,28.85,27.55,27.8,432403
2022-01-31 00:00:00+05:30,28,28.45,27.55,27.75,197552
2022-02-01 00:00:00+05:30,28,28.55,27.5,27.65,298565
2022-02-02 00:00:00+05:30,27.85,28.25,27.05,27.4,332543
2022-02-03 00:00:00+05:30,27.55,29.35,27.5,28.7,799867
2022-02-04 00:00:00+05:30,28.6,29.5,28.05,28.3,634500
2022-02-07 00:00:00+05:30,28.45,30.9,28.4,29.95,2664854
2022-02-08 00:00:00+05:30,30.15,30.4,28.4,29,873464
2022-02-09 00:00:00+05:30,29,31.25,28.7,30.6,1913074
2022-02-10 00:00:00+05:30,31,31.05,29.6,29.85,1461733
2022-02-11 00:00:00+05:30,28.4,29.3,27.45,28.1,1152067
2022-02-14 00:00:00+05:30,27.4,27.4,23.9,24.3,1811450
2022-02-15 00:00:00+05:30,24.8,25.85,24.15,25.75,673899
2022-02-16 00:00:00+05:30,25.8,26.75,25.7,25.9,658052
2022-02-17 00:00:00+05:30,26.1,26.4,25.2,25.45,281082
2022-02-18 00:00:00+05:30,25.25,25.8,24.5,24.65,309508
2022-02-21 00:00:00+05:30,24.3,24.65,23.5,23.75,312186
2022-02-22 00:00:00+05:30,23,23.5,22.35,23,493416
2022-02-23 00:00:00+05:30,23.7,24.8,23.5,24.4,531388
2022-02-24 00:00:00+05:30,23.7,23.7,21.65,22.1,701635
2022-02-25 00:00:00+05:30,23.5,23.75,23.1,23.45,388685
2022-02-28 00:00:00+05:30,23.5,24.25,22.9,23.95,247574
2022-03-02 00:00:00+05:30,23.65,24.7,23.6,24.25,303055
2022-03-03 00:00:00+05:30,24.75,25.5,24.45,24.55,520100
2022-03-04 00:00:00+05:30,24.3,24.95,24,24.35,402176
2022-03-07 00:00:00+05:30,23.8,24.2,23.3,23.9,309614
2022-03-08 00:00:00+05:30,23.8,25.5,23.75,24.75,684683
2022-03-09 00:00:00+05:30,25,28.9,24.75,27.35,3068964
2022-03-10 00:00:00+05:30,28,28.7,26.55,26.8,1055717
2022-03-11 00:00:00+05:30,26.8,28.7,26.55,28,1389466
2022-03-14 00:00:00+05:30,28.15,29.85,27.7,28.85,2693959
2022-03-15 00:00:00+05:30,29.05,29.45,26.8,27.4,1020521
2022-03-16 00:00:00+05:30,27.85,28.05,27.15,27.35,485911
2022-03-17 00:00:00+05:30,27.6,28.2,27.05,27.15,325717
2022-03-21 00:00:00+05:30,27.5,28.3,26.7,27.35,662854
2022-03-22 00:00:00+05:30,27.45,27.85,27.2,27.3,341156
2022-03-23 00:00:00+05:30,27.4,27.6,26.65,27.05,276209
2022-03-24 00:00:00+05:30,27.25,27.6,26.85,26.95,349772
2022-03-25 00:00:00+05:30,27,27.35,25.8,26,566392
2022-03-28 00:00:00+05:30,26.25,26.45,25.3,25.45,388088
2022-03-29 00:00:00+05:30,25.55,25.7,24.9,25.05,293105
2022-03-30 00:00:00+05:30,25.3,25.95,25.05,25.35,289644
2022-03-31 00:00:00+05:30,25.35,25.6,25,25.05,345887
2022-04-01 00:00:00+05:30,25.3,26,25.15,25.8,294476
2022-04-04 00:00:00+05:30,26.3,26.85,26,26.6,388715
2022-04-05 00:00:00+05:30,26.85,27.2,26.6,26.7,458356
2022-04-06 00:00:00+05:30,26.7,31,26.6,30.05,5735885
2022-04-07 00:00:00+05:30,30.4,34.3,30.3,31.95,7444439
2022-04-08 00:00:00+05:30,32.3,33.75,31.4,32.1,2768447
