date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,1797,1828.1,1791.6,1824.45,1985109
2022-01-04 00:00:00+05:30,1830,1857,1815.3,1852.6,2635575
2022-01-05 00:00:00+05:30,1857,1928.35,1840.1,1922.15,4208167
2022-01-06 00:00:00+05:30,1907.1,1915,1875,1891.9,2258030
2022-01-07 00:00:00+05:30,1891.9,1925.4,1883.6,1904.25,2303351
2022-01-10 00:00:00+05:30,1904.25,1955.3,1901.35,1947.95,2862087
2022-01-11 00:00:00+05:30,1948,1954.25,1920.2,1936.8,2714019
2022-01-12 00:00:00+05:30,1954.8,1976.15,1947.15,1956.6,2149396
2022-01-13 00:00:00+05:30,1960,1966.9,1922.55,1926.35,1487152
2022-01-14 00:00:00+05:30,1909,1945,1898,1938.2,1828762
2022-01-17 00:00:00+05:30,1922,1952.95,1918.6,1937.45,1676473
2022-01-18 00:00:00+05:30,1930,1975,1930,1942.15,2081456
2022-01-19 00:00:00+05:30,1945,1945,1900.1,1905.65,1521702
2022-01-20 00:00:00+05:30,1925,1925,1877,1892.6,1489821
2022-01-21 00:00:00+05:30,1868.25,1901,1849.55,1893.75,1753896
2022-01-24 00:00:00+05:30,1884.1,1887.9,1810,1830.9,2547434
2022-01-25 00:00:00+05:30,1814.7,1873.9,1782.2,1854.65,2569065
2022-01-27 00:00:00+05:30,1840,1898.55,1821.15,1889.25,3718619
2022-01-28 00:00:00+05:30,1895,1956.9,1888.65,1898.3,4971964
2022-01-31 00:00:00+05:30,1920,1938.9,1841,1857.25,4516625
2022-02-01 00:00:00+05:30,1882,1905,1834.1,1882.3,3097086
2022-02-02 00:00:00+05:30,1910.8,1948,1896.9,1942.6,2710508
2022-02-03 00:00:00+05:30,1939.9,1942.45,1896.05,1909.05,2239713
2022-02-04 00:00:00+05:30,1914,1918,1880.25,1884.2,1771267
2022-02-07 00:00:00+05:30,1850,1890,1820,1828.45,2053959
2022-02-08 00:00:00+05:30,1835,1848.05,1793.1,1817.8,3569370
2022-02-09 00:00:00+05:30,1835.6,1847.8,1822.65,1835,1624058
2022-02-10 00:00:00+05:30,1835,1888.9,1830.25,1867.2,2508081
2022-02-11 00:00:00+05:30,1854.1,1854.1,1822,1828.25,1859755
2022-02-14 00:00:00+05:30,1790.05,1823.85,1737.95,1746.85,3026821
2022-02-15 00:00:00+05:30,1756,1819,1746.05,1813.1,2055275
2022-02-16 00:00:00+05:30,1815.1,1852.85,1800,1830.05,2269756
2022-02-17 00:00:00+05:30,1835,1844.25,1810.4,1817.3,2810229
2022-02-18 00:00:00+05:30,1809.05,1831,1805.85,1826.55,1229668
2022-02-21 00:00:00+05:30,1808,1851.3,1802.1,1827.1,1343911
2022-02-22 00:00:00+05:30,1790,1849.1,1790,1841.75,3022075
2022-02-23 00:00:00+05:30,1852.9,1912.85,1852.9,1886.1,6915921
2022-02-24 00:00:00+05:30,1834.35,1874.4,1776.75,1794.85,4956043
2022-02-25 00:00:00+05:30,1820.95,1866.25,1801.05,1856.7,3993886
2022-02-28 00:00:00+05:30,1837,1852,1814.7,1842.75,2712562
2022-03-02 00:00:00+05:30,1811.8,1819.35,1775.3,1806,2830955
2022-03-03 00:00:00+05:30,1812.95,1819.6,1772.6,1792.25,2962143
2022-03-04 00:00:00+05:30,1770,1785.95,1733.7,1752.15,2549194
2022-03-07 00:00:00+05:30,1693.5,1730.9,1680.05,1711.9,2697935
2022-03-08 00:00:00+05:30,1700,1729.5,1672.55,1723.1,5436496
2022-03-09 00:00:00+05:30,1723.1,1748.15,1692,1739.1,6919461
2022-03-10 00:00:00+05:30,1800,1813,1736,1754.35,4188469
2022-03-11 00:00:00+05:30,1745,1779.9,1736,1763,2506340
2022-03-14 00:00:00+05:30,1745.45,1797.35,1742,1788.75,3316649
2022-03-15 00:00:00+05:30,1784,1789.95,1714,1733.75,4807455
2022-03-16 00:00:00+05:30,1760,1774.8,1752.75,1760.5,2927241
2022-03-17 00:00:00+05:30,1790,1827.6,1782.55,1820,3359007
2022-03-21 00:00:00+05:30,1815.65,1830,1773,1777.1,2397699
2022-03-22 00:00:00+05:30,1777.1,1813.6,1755.35,1807.85,3397456
2022-03-23 00:00:00+05:30,1815,1827.25,1758,1769.75,3226340
2022-03-24 00:00:00+05:30,1715,1728.9,1701,1714.15,19710178
2022-03-25 00:00:00+05:30,1728,1731.8,1712,1722.25,3039150
2022-03-28 00:00:00+05:30,1728,1728,1692.05,1725.2,3070204
2022-03-29 00:00:00+05:30,1738,1740.9,1718.75,1730,2585790
2022-03-30 00:00:00+05:30,1749.4,1768.85,1736,1763.1,3358154
2022-03-31 00:00:00+05:30,1755.1,1778.75,1747,1753.85,2848408
2022-04-01 00:00:00+05:30,1749.3,1780,1745.6,1776.65,2373773
2022-04-04 00:00:00+05:30,1787,1840,1735,1836.05,3997566
2022-04-05 00:00:00+05:30,1836.05,1838.05,1794.2,1802.2,2132871
2022-04-06 00:00:00+05:30,1787.5,1793,1771.75,1779.4,2349001
2022-04-07 00:00:00+05:30,1771,1792,1763,1766.45,4388783
2022-04-08 00:00:00+05:30,1775.25,1790,1756.1,1784.5,2381671
