date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,77.75,79.5,77.7,79.1,5452006
2022-01-04 00:00:00+05:30,79.4,79.85,78.4,79.1,5718763
2022-01-05 00:00:00+05:30,79.1,80.75,78.95,80.55,6756104
2022-01-06 00:00:00+05:30,80.3,81.25,79.3,80.3,7547409
2022-01-07 00:00:00+05:30,81,81,79.05,79.8,4587306
2022-01-10 00:00:00+05:30,80.35,80.75,79.8,80.2,4928430
2022-01-11 00:00:00+05:30,80,80.6,78.9,79.15,4803348
2022-01-12 00:00:00+05:30,79.8,81.2,79.1,80.7,7569959
2022-01-13 00:00:00+05:30,80.9,81.15,79.9,80.1,6482408
2022-01-14 00:00:00+05:30,80.05,80.65,79,79.35,5824382
2022-01-17 00:00:00+05:30,79.8,80.5,79.35,80.1,4729624
2022-01-18 00:00:00+05:30,80.5,81.65,78.15,78.45,9254021
2022-01-19 00:00:00+05:30,78.5,78.75,77.5,78.4,5536134
2022-01-20 00:00:00+05:30,78.6,79.1,77.5,78.15,4458915
2022-01-21 00:00:00+05:30,78,78,74.75,75.55,10466841
2022-01-24 00:00:00+05:30,75,76,72.15,73.2,11520145
2022-01-25 00:00:00+05:30,73,74.2,72,73.3,8069783
2022-01-27 00:00:00+05:30,73.3,73.4,70.2,72.45,10005439
2022-01-28 00:00:00+05:30,72.9,76.2,72.8,74.6,9525908
2022-01-31 00:00:00+05:30,75.55,75.9,74.4,74.8,3708733
2022-02-01 00:00:00+05:30,75.7,76.8,74.6,76.4,6739349
2022-02-02 00:00:00+05:30,76.95,77.75,76.5,77.35,4577555
2022-02-03 00:00:00+05:30,77.5,77.5,76.2,76.4,2579279
2022-02-04 00:00:00+05:30,76.4,76.95,74.9,75.4,3357638
2022-02-07 00:00:00+05:30,75.45,75.8,74,74.5,4493230
2022-02-08 00:00:00+05:30,74.5,74.95,73.1,74.3,5286504
2022-02-09 00:00:00+05:30,74.75,75.65,74.5,75.4,5179124
2022-02-10 00:00:00+05:30,75.85,76.3,74.75,75.75,4765434
2022-02-11 00:00:00+05:30,75,75.45,73.95,74.15,4028548
2022-02-14 00:00:00+05:30,73,73,70.2,70.5,7599852
2022-02-15 00:00:00+05:30,70.85,72.3,68.75,72.1,7059354
2022-02-16 00:00:00+05:30,72.85,74.7,72.6,73,8365475
2022-02-17 00:00:00+05:30,73.3,73.55,71.85,72.05,3061696
2022-02-18 00:00:00+05:30,71.8,72.3,71.25,71.35,3002368
2022-02-21 00:00:00+05:30,70.7,72.15,69.75,69.95,5169706
2022-02-22 00:00:00+05:30,68.5,70.25,67.9,69.95,5791537
2022-02-23 00:00:00+05:30,70.45,71.2,69.45,69.75,4807096
2022-02-24 00:00:00+05:30,67,67.9,61.8,62.3,14926651
2022-02-25 00:00:00+05:30,65.25,66.5,64.3,65.7,8933247
2022-02-28 00:00:00+05:30,65,66.2,64.25,65.95,4569424
2022-03-02 00:00:00+05:30,65.6,66.3,62.5,63.7,11075595
2022-03-03 00:00:00+05:30,64.2,65,62.8,63.35,7564096
2022-03-04 00:00:00+05:30,62.8,63.5,61.3,61.55,8807420
2022-03-07 00:00:00+05:30,61,61,58.5,59.4,8645724
2022-03-08 00:00:00+05:30,59.5,62.75,59.5,62.4,7662249
2022-03-09 00:00:00+05:30,62.9,65.3,62.5,65,7350413
2022-03-10 00:00:00+05:30,67,67.55,65.15,65.55,6595100
2022-03-11 00:00:00+05:30,65.4,67.1,65,66.9,4819973
2022-03-14 00:00:00+05:30,66.5,66.85,64.75,66.3,5485706
2022-03-15 00:00:00+05:30,66.15,67.1,64.1,64.65,7802781
2022-03-16 00:00:00+05:30,65.85,66.9,65.5,66.6,5649439
2022-03-17 00:00:00+05:30,67.3,71.8,67.1,71.35,21714937
2022-03-21 00:00:00+05:30,71.55,72.7,69.9,72.4,11338457
2022-03-22 00:00:00+05:30,72.2,75.5,71.1,75.1,20021497
2022-03-23 00:00:00+05:30,75.4,90.1,75.25,87.25,111140201
2022-03-24 00:00:00+05:30,89.8,89.8,79.6,80.05,87968595
2022-03-25 00:00:00+05:30,80.65,87.95,80.55,83.2,86873136
2022-03-28 00:00:00+05:30,83,84.7,80.6,84.25,31595645
2022-03-29 00:00:00+05:30,84.25,84.5,82.4,82.65,16746890
2022-03-30 00:00:00+05:30,83.05,83.5,80.3,80.65,11067737
2022-03-31 00:00:00+05:30,81.2,82.35,80,80.6,14977835
2022-04-01 00:00:00+05:30,80.55,83.6,80.4,83.05,12632352
2022-04-04 00:00:00+05:30,83,85.95,82.9,85.35,19755604
2022-04-05 00:00:00+05:30,85.9,87.25,85.2,85.9,13588727
2022-04-06 00:00:00+05:30,85.8,89.5,85.05,87.15,18774367
2022-04-07 00:00:00+05:30,87.5,87.9,84.45,85.4,7249612
2022-04-08 00:00:00+05:30,85.6,86.7,84.85,85.1,5928674
